"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","35.650","35.070","35.800","35.020","399.66K","1.31%"
"Dec 30, 2019","35.190","35.280","35.360","35.080","385.42K","0.00%"
"Dec 27, 2019","35.190","35.530","35.530","35.170","457.03K","-0.54%"
"Dec 24, 2019","35.380","34.890","35.710","34.760","277.29K","1.67%"
"Dec 23, 2019","34.800","34.680","35.000","34.550","518.56K","0.61%"
"Dec 20, 2019","34.590","34.920","35.040","34.450","1.50M","-0.57%"
"Dec 19, 2019","34.790","35.010","35.050","34.570","1.51M","-0.23%"
"Dec 18, 2019","34.870","35.600","35.850","34.830","1.12M","-2.08%"
"Dec 17, 2019","35.610","35.710","36.000","35.600","1.14M","-0.28%"
"Dec 16, 2019","35.710","35.670","35.800","35.520","559.94K","1.05%"
"Dec 13, 2019","35.340","35.690","35.980","35.240","682.06K","0.26%"
"Dec 12, 2019","35.250","35.240","35.410","34.760","1.25M","0.71%"
"Dec 11, 2019","35.000","35.220","35.440","34.910","876.59K","-0.28%"
"Dec 10, 2019","35.100","34.920","35.310","34.470","1.15M","0.69%"
"Dec 09, 2019","34.860","34.770","34.910","34.650","617.50K","0.29%"
"Dec 06, 2019","34.760","34.210","34.880","34.170","704.74K","1.79%"
"Dec 05, 2019","34.150","34.160","34.670","34.110","942.33K","-0.06%"
"Dec 04, 2019","34.170","33.630","34.330","33.600","1.05M","1.91%"
"Dec 03, 2019","33.530","34.730","34.750","33.520","1.82M","-3.09%"
"Dec 02, 2019","34.600","35.510","35.660","34.600","1.39M","-2.07%"
"Nov 29, 2019","35.330","35.210","35.590","35.080","1.17M","-0.03%"
"Nov 28, 2019","35.340","35.040","35.340","34.860","747.67K","1.09%"
"Nov 27, 2019","34.960","34.960","35.420","34.910","1.06M","0.09%"
"Nov 26, 2019","34.930","34.670","34.970","34.510","1.56M","1.19%"
"Nov 25, 2019","34.520","34.860","35.020","34.480","863.32K","-0.49%"
"Nov 22, 2019","34.690","34.460","34.870","34.460","1.38M","0.96%"
"Nov 21, 2019","34.360","34.650","34.700","34.170","1.44M","-1.55%"
