"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","10.040","9.950","10.040","9.920","240.38K","-0.10%"
"Dec 30, 2019","10.050","9.910","10.050","9.900","486.66K","0.80%"
"Dec 27, 2019","9.970","9.900","10.100","9.800","944.63K","0.30%"
"Dec 24, 2019","9.940","9.930","9.990","9.900","153.45K","-0.40%"
"Dec 23, 2019","9.980","9.920","10.030","9.900","616.60K","-0.10%"
"Dec 20, 2019","9.990","10.050","10.070","9.910","1.90M","-0.79%"
"Dec 19, 2019","10.070","10.040","10.090","9.920","1.14M","0.90%"
"Dec 18, 2019","9.980","9.800","10.020","9.720","893.72K","1.53%"
"Dec 17, 2019","9.830","9.950","9.950","9.800","604.74K","-1.11%"
"Dec 16, 2019","9.940","9.870","10.060","9.850","1.95M","1.33%"
"Dec 13, 2019","9.810","10.000","10.050","9.760","1.28M","-0.10%"
"Dec 12, 2019","9.820","9.830","9.890","9.640","713.42K","-0.20%"
"Dec 11, 2019","9.840","9.830","9.910","9.760","515.87K","0.00%"
"Dec 10, 2019","9.840","9.980","9.980","9.710","874.90K","-1.20%"
"Dec 09, 2019","9.960","9.830","10.100","9.810","1.49M","2.05%"
"Dec 06, 2019","9.760","9.600","9.810","9.600","1.14M","1.88%"
"Dec 05, 2019","9.580","9.510","9.680","9.500","1.52M","0.63%"
"Dec 04, 2019","9.520","9.380","9.620","9.380","700.93K","1.38%"
"Dec 03, 2019","9.390","9.410","9.480","9.310","608.65K","-0.74%"
"Dec 02, 2019","9.460","9.500","9.630","9.400","1.17M","-0.53%"
"Nov 29, 2019","9.510","9.560","9.620","9.500","430.15K","-0.83%"
"Nov 28, 2019","9.590","9.680","9.680","9.450","828.87K","-0.93%"
"Nov 27, 2019","9.680","9.770","9.820","9.680","648.99K","-0.62%"
"Nov 26, 2019","9.740","9.740","9.750","9.670","1.01M","-0.31%"
"Nov 25, 2019","9.770","9.790","9.900","9.720","984.32K","0.21%"
"Nov 22, 2019","9.750","9.600","9.800","9.600","1.67M","1.88%"
"Nov 21, 2019","9.570","9.630","9.640","9.520","1.21M","-1.44%"
"Nov 20, 2019","9.710","9.580","9.750","9.470","865.93K","1.25%"
"Nov 19, 2019","9.590","9.600","9.780","9.520","2.17M","1.48%"
"Nov 18, 2019","9.450","9.640","9.680","9.340","1.87M","-2.17%"
"Nov 15, 2019","9.660","9.690","9.800","9.630","1.75M","0.21%"
