"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","170.50","171.05","172.75","170.50","73.39K","-1.47%"
"Dec 30, 2019","173.05","175.10","175.10","173.05","59.69K","-1.14%"
"Dec 27, 2019","175.05","175.10","175.40","173.80","99.09K","0.69%"
"Dec 24, 2019","173.85","174.05","174.35","172.75","28.26K","0.29%"
"Dec 23, 2019","173.35","171.90","175.00","171.00","96.65K","0.73%"
"Dec 20, 2019","172.10","172.20","172.45","170.70","333.14K","0.50%"
"Dec 19, 2019","171.25","174.50","175.15","171.25","136.48K","-1.81%"
"Dec 18, 2019","174.40","174.30","175.85","174.00","200.73K","-0.34%"
"Dec 17, 2019","175.00","174.20","175.80","174.00","199.76K","0.29%"
"Dec 16, 2019","174.50","175.95","176.35","174.10","378.55K","-0.26%"
"Dec 13, 2019","174.95","173.90","175.80","172.95","254.51K","2.07%"
"Dec 12, 2019","171.40","170.25","172.55","170.20","346.03K","0.68%"
"Dec 11, 2019","170.25","166.20","170.25","166.20","199.45K","2.34%"
"Dec 10, 2019","166.35","166.70","167.30","164.45","789.91K","0.03%"
"Dec 09, 2019","166.30","165.50","167.35","165.40","86.27K","0.42%"
"Dec 06, 2019","165.60","163.80","166.10","163.15","98.97K","1.28%"
"Dec 05, 2019","163.50","165.20","165.40","162.85","559.91K","-0.64%"
"Dec 04, 2019","164.55","163.50","165.25","163.40","173.98K","0.95%"
"Dec 03, 2019","163.00","163.25","164.00","162.35","167.83K","-0.21%"
"Dec 02, 2019","163.35","166.90","168.05","163.00","148.56K","-2.01%"
"Nov 29, 2019","166.70","166.35","168.05","166.25","234.22K","-0.54%"
"Nov 28, 2019","167.60","168.95","169.05","167.05","58.73K","-0.83%"
"Nov 27, 2019","169.00","169.65","170.20","168.10","126.11K","0.03%"
"Nov 26, 2019","168.95","166.80","169.40","166.80","522.11K","1.47%"
"Nov 25, 2019","166.50","167.35","167.85","166.45","101.14K","0.12%"
"Nov 22, 2019","166.30","166.15","167.35","165.65","123.78K","0.36%"
"Nov 21, 2019","165.70","166.85","167.45","165.40","135.61K","-1.07%"
"Nov 20, 2019","167.50","167.65","168.15","166.65","125.50K","-0.50%"
"Nov 19, 2019","168.35","167.95","169.65","167.40","106.10K","0.72%"
"Nov 18, 2019","167.15","166.10","167.15","165.35","127.68K","0.33%"
"Nov 15, 2019","166.60","163.85","166.60","163.75","162.96K","2.24%"
"Nov 14, 2019","162.95","163.35","163.70","162.50","108.99K","-0.24%"
"Nov 13, 2019","163.35","165.25","166.00","161.85","166.50K","-1.54%"
"Nov 12, 2019","165.90","168.70","168.90","165.70","293.54K","-1.54%"
"Nov 11, 2019","168.50","167.65","168.70","167.20","173.14K","0.60%"
"Nov 08, 2019","167.50","167.50","168.05","166.75","96.81K","-0.18%"
"Nov 07, 2019","167.80","167.30","168.05","166.35","99.91K","0.84%"
"Nov 06, 2019","166.40","167.00","168.20","166.25","142.54K","-0.60%"
"Nov 05, 2019","167.40","167.65","168.05","166.15","238.92K","-0.15%"
"Nov 04, 2019","167.65","167.50","168.65","166.55","202.03K","0.15%"
"Nov 01, 2019","167.40","164.90","168.55","164.85","149.00K","1.76%"
"Oct 31, 2019","164.50","163.80","164.95","163.15","172.98K","0.30%"
"Oct 30, 2019","164.00","167.60","167.70","163.25","226.63K","-2.38%"
"Oct 29, 2019","168.00","166.25","169.25","166.25","186.52K","0.72%"
"Oct 28, 2019","166.80","164.40","166.80","163.50","176.83K","1.09%"
"Oct 25, 2019","165.00","164.40","165.15","163.70","91.61K","0.55%"
"Oct 24, 2019","164.10","164.45","164.75","162.45","152.22K","-0.33%"
"Oct 23, 2019","164.65","167.60","167.75","164.25","189.07K","-1.64%"
"Oct 22, 2019","167.40","167.45","168.75","167.00","146.20K","-0.18%"
"Oct 21, 2019","167.70","168.40","168.75","166.05","125.53K","-0.15%"
"Oct 18, 2019","167.95","170.95","171.85","167.50","169.31K","-1.78%"
"Oct 17, 2019","171.00","167.20","172.20","167.20","332.59K","2.09%"
"Oct 16, 2019","167.50","168.80","169.60","167.50","115.77K","-0.68%"
"Oct 15, 2019","168.65","167.95","169.20","167.75","341.25K","0.42%"
"Oct 14, 2019","167.95","168.90","169.30","167.25","87.34K","-0.47%"
"Oct 11, 2019","168.75","167.90","169.10","167.00","145.01K","0.96%"
"Oct 10, 2019","167.15","166.65","167.45","165.00","93.40K","0.45%"
"Oct 09, 2019","166.40","164.95","166.40","164.45","206.96K","1.19%"
"Oct 08, 2019","164.45","166.30","166.55","163.75","141.84K","-0.66%"
