"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","14.329","14.563","14.563","14.329","139.86K","-1.68%"
"Dec 30, 2019","14.573","14.534","14.749","14.534","232.08K","0.00%"
"Dec 27, 2019","14.573","14.730","14.798","14.505","323.21K","-0.07%"
"Dec 24, 2019","14.583","14.642","14.661","14.348","93.56K","0.27%"
"Dec 23, 2019","14.544","14.456","14.691","14.377","218.48K","1.36%"
"Dec 20, 2019","14.348","14.201","14.387","14.064","699.52K","1.38%"
"Dec 19, 2019","14.152","14.221","14.299","13.761","407.05K","-0.34%"
"Dec 18, 2019","14.201","14.475","14.563","14.133","291.87K","-1.63%"
"Dec 17, 2019","14.436","14.387","14.583","14.240","355.40K","0.89%"
"Dec 16, 2019","14.309","14.466","14.671","14.309","460.20K","-0.20%"
"Dec 13, 2019","14.338","14.769","14.798","14.329","635.05K","-2.33%"
"Dec 12, 2019","14.681","14.877","14.955","14.681","263.43K","-1.32%"
"Dec 11, 2019","14.877","14.984","15.043","14.828","256.99K","-0.72%"
"Dec 10, 2019","14.984","15.033","15.072","14.749","294.42K","-0.26%"
"Dec 09, 2019","15.023","15.151","15.239","14.955","210.17K","-1.22%"
"Dec 06, 2019","15.209","15.239","15.258","15.082","172.45K","0.19%"
"Dec 05, 2019","15.180","15.033","15.278","14.867","389.46K","1.64%"
"Dec 04, 2019","14.935","14.857","15.004","14.769","582.83K","0.66%"
"Dec 03, 2019","14.837","14.955","15.092","14.700","252.12K","-0.72%"
"Dec 02, 2019","14.945","14.994","15.239","14.926","255.95K","-0.97%"
"Nov 29, 2019","15.092","15.102","15.219","14.994","233.45K","-0.06%"
"Nov 28, 2019","15.102","15.160","15.268","14.906","230.87K","-0.45%"
"Nov 27, 2019","15.170","14.896","15.268","14.828","371.56K","1.84%"
"Nov 26, 2019","14.896","14.632","14.945","14.534","385.91K","1.67%"
"Nov 25, 2019","14.651","14.485","14.700","14.338","424.69K","1.98%"
"Nov 22, 2019","14.368","14.534","14.818","14.231","499.09K","-1.14%"
"Nov 21, 2019","14.534","14.475","14.710","14.191","778.02K","0.54%"
"Nov 20, 2019","14.456","14.798","14.867","14.436","454.26K","-1.86%"
"Nov 19, 2019","14.730","14.955","15.111","14.681","432.91K","-1.31%"
"Nov 18, 2019","14.926","15.111","15.190","14.828","595.77K","-0.33%"
"Nov 15, 2019","14.974","14.945","15.297","14.867","854.60K","1.46%"
"Nov 14, 2019","14.759","14.867","14.935","14.436","979.57K","0.33%"
"Nov 13, 2019","14.710","14.877","15.053","14.407","13.92M","-11.48%"
"Nov 12, 2019","16.619","16.589","17.226","16.570","257.60K","-0.12%"
"Nov 11, 2019","16.638","17.030","18.106","16.521","504.84K","-1.90%"
"Nov 08, 2019","16.961","16.834","17.118","16.775","120.09K","0.52%"
"Nov 07, 2019","16.873","16.766","16.991","16.697","116.86K","0.64%"
"Nov 06, 2019","16.766","16.766","16.863","16.599","207.64K","-0.52%"
"Nov 05, 2019","16.854","16.531","16.863","16.491","171.00K","1.23%"
"Nov 04, 2019","16.648","16.707","16.785","16.501","134.00K","0.24%"
"Nov 01, 2019","16.609","16.413","16.707","16.413","128.24K","0.89%"
"Oct 31, 2019","16.462","16.462","16.521","16.315","93.65K","0.06%"
"Oct 30, 2019","16.452","16.345","16.570","16.227","142.93K","0.66%"
"Oct 29, 2019","16.345","16.354","16.413","16.100","118.30K","-0.30%"
"Oct 28, 2019","16.394","16.306","16.433","16.208","70.92K","-0.12%"
"Oct 25, 2019","16.413","16.580","16.580","16.257","146.45K","-0.77%"
"Oct 24, 2019","16.540","16.237","16.834","16.237","203.30K","3.81%"
"Oct 23, 2019","15.934","16.198","16.354","15.934","141.91K","-1.99%"
"Oct 22, 2019","16.257","16.120","16.472","16.071","115.26K","0.36%"
"Oct 21, 2019","16.198","16.247","16.345","15.992","143.29K","0.24%"
"Oct 18, 2019","16.159","16.374","16.443","16.120","138.30K","-1.61%"
"Oct 17, 2019","16.423","16.227","16.668","16.120","179.37K","0.12%"
"Oct 16, 2019","16.403","15.934","16.433","15.934","257.21K","2.01%"
"Oct 15, 2019","16.080","15.728","16.169","15.552","177.37K","3.07%"
"Oct 14, 2019","15.601","15.571","15.806","15.464","270.43K","0.44%"
"Oct 11, 2019","15.532","15.239","15.562","14.926","298.00K","3.79%"
"Oct 10, 2019","14.965","14.818","15.023","14.789","259.94K","0.07%"
"Oct 09, 2019","14.955","14.857","15.111","14.789","275.22K","1.19%"
"Oct 08, 2019","14.779","14.867","14.916","14.710","230.49K","-0.46%"
"Oct 07, 2019","14.847","15.082","15.170","14.789","106.37K","-1.56%"
"Oct 04, 2019","15.082","14.984","15.121","14.700","216.34K","0.65%"
"Oct 03, 2019","14.984","14.818","15.111","14.818","122.18K","0.72%"
"Oct 02, 2019","14.877","15.395","15.523","14.867","232.02K","-4.16%"
"Oct 01, 2019","15.523","15.699","15.855","15.386","130.37K","-1.18%"
"Sep 30, 2019","15.709","15.425","15.777","15.386","226.57K","2.16%"
"Sep 27, 2019","15.376","15.454","15.493","15.170","456.14K","-0.06%"
"Sep 26, 2019","15.386","15.239","15.464","15.111","316.36K","0.26%"
"Sep 25, 2019","15.346","15.464","15.620","15.258","197.16K","-1.63%"
"Sep 24, 2019","15.601","15.434","15.728","15.434","158.38K","1.21%"
"Sep 23, 2019","15.415","15.679","15.679","15.415","101.32K","-1.75%"
"Sep 20, 2019","15.689","15.611","15.738","15.571","107.31K","1.07%"
"Sep 19, 2019","15.523","15.513","15.679","15.483","108.79K","-0.44%"
"Sep 18, 2019","15.591","15.591","15.757","15.483","271.57K","1.08%"
"Sep 17, 2019","15.425","15.102","15.444","15.072","144.01K","2.27%"
"Sep 16, 2019","15.082","14.965","15.102","14.818","307.70K","0.39%"
"Sep 13, 2019","15.023","15.307","15.346","15.023","126.30K","-1.79%"
"Sep 12, 2019","15.297","15.748","15.748","15.229","181.66K","-1.88%"
"Sep 11, 2019","15.591","15.738","15.748","15.180","212.68K","1.53%"
