"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","72.800","72.700","73.300","72.200","148.69K","-0.16%"
"Dec 30, 2019","72.920","73.340","73.640","72.920","672.51K","-0.98%"
"Dec 27, 2019","73.640","74.400","74.400","73.120","525.34K","-0.08%"
"Dec 24, 2019","73.700","72.600","73.740","72.220","118.84K","1.29%"
"Dec 23, 2019","72.760","72.420","73.000","72.360","944.80K","0.78%"
"Dec 20, 2019","72.200","72.700","73.080","71.920","1.83M","-0.39%"
"Dec 19, 2019","72.480","72.860","73.440","72.060","928.22K","-0.52%"
"Dec 18, 2019","72.860","72.940","73.820","72.640","1.24M","-0.38%"
"Dec 17, 2019","73.140","72.820","73.340","72.720","1.23M","0.49%"
"Dec 16, 2019","72.780","73.000","73.140","72.640","893.67K","0.17%"
"Dec 13, 2019","72.660","72.520","72.800","71.780","712.19K","1.59%"
"Dec 12, 2019","71.520","72.160","72.360","71.180","993.98K","-0.33%"
"Dec 11, 2019","71.760","71.800","72.100","71.520","1.39M","-0.58%"
"Dec 10, 2019","72.180","72.320","72.340","71.300","3.70M","-0.41%"
"Dec 09, 2019","72.480","72.660","72.900","71.740","1.44M","-0.38%"
"Dec 06, 2019","72.760","72.480","72.960","72.020","859.13K","0.83%"
"Dec 05, 2019","72.160","72.280","72.880","72.160","622.70K","-0.19%"
"Dec 04, 2019","72.300","71.860","72.700","71.760","608.39K","0.61%"
"Dec 03, 2019","71.860","71.720","72.240","71.520","1.43M","0.62%"
"Dec 02, 2019","71.420","72.220","72.820","71.240","1.22M","-1.22%"
"Nov 29, 2019","72.300","71.620","72.660","71.480","776.20K","0.36%"
"Nov 28, 2019","72.040","71.900","72.160","71.680","296.10K","-0.17%"
"Nov 27, 2019","72.160","72.120","72.400","71.900","661.23K","0.36%"
"Nov 26, 2019","71.900","71.500","72.100","71.500","1.72M","0.62%"
"Nov 25, 2019","71.460","71.180","71.660","70.980","898.57K","0.70%"
"Nov 22, 2019","70.960","70.920","71.260","70.320","788.28K","0.00%"
