"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","93.800","94.400","94.400","93.450","36.60K","-0.58%"
"Dec 30, 2019","94.350","94.450","95.200","94.200","63.33K","-0.16%"
"Dec 27, 2019","94.500","92.950","94.800","92.750","51.78K","1.83%"
"Dec 24, 2019","92.800","92.700","92.850","92.000","15.98K","0.60%"
"Dec 23, 2019","92.250","92.600","92.600","91.800","70.26K","0.22%"
"Dec 20, 2019","92.050","93.000","93.000","91.900","158.47K","-0.11%"
"Dec 19, 2019","92.150","94.100","94.500","92.150","79.22K","-1.65%"
"Dec 18, 2019","93.700","94.600","95.000","93.500","56.95K","-1.00%"
"Dec 17, 2019","94.650","94.750","95.100","94.450","58.01K","0.00%"
"Dec 16, 2019","94.650","94.300","94.650","93.350","65.97K","0.85%"
"Dec 13, 2019","93.850","94.350","94.350","93.450","55.31K","0.59%"
"Dec 12, 2019","93.300","92.800","93.450","92.450","46.86K","0.48%"
"Dec 11, 2019","92.850","92.450","92.900","92.050","48.40K","0.98%"
"Dec 10, 2019","91.950","92.100","92.500","91.150","46.27K","-0.11%"
"Dec 09, 2019","92.050","91.450","92.600","91.450","129.74K","0.05%"
"Dec 06, 2019","92.000","91.600","92.400","91.250","51.18K","0.60%"
"Dec 05, 2019","91.450","91.600","92.400","91.400","92.73K","-0.22%"
"Dec 04, 2019","91.650","91.550","92.250","91.150","54.92K","0.55%"
"Dec 03, 2019","91.150","92.800","93.150","91.150","75.19K","-1.99%"
"Dec 02, 2019","93.000","94.400","95.100","92.500","68.22K","-1.06%"
"Nov 29, 2019","94.000","93.600","94.450","93.200","70.94K","0.00%"
"Nov 28, 2019","94.000","93.350","94.050","93.200","39.96K","0.27%"
"Nov 27, 2019","93.750","93.950","95.000","93.450","84.37K","0.37%"
"Nov 26, 2019","93.400","93.600","94.050","92.700","75.18K","0.00%"
"Nov 25, 2019","93.400","93.300","94.450","93.000","61.69K","0.76%"
"Nov 22, 2019","92.700","91.800","93.050","91.500","136.35K","1.53%"
"Nov 21, 2019","91.300","91.600","92.500","91.200","154.78K","-0.98%"
"Nov 20, 2019","92.200","92.550","92.550","91.500","135.34K","-0.27%"
"Nov 19, 2019","92.450","92.450","93.000","91.650","258.08K","0.65%"
"Nov 18, 2019","91.850","91.800","92.350","91.450","67.53K","0.44%"
"Nov 15, 2019","91.450","91.500","92.050","90.300","148.49K","0.27%"
"Nov 14, 2019","91.200","91.050","91.800","90.350","66.81K","0.22%"
"Nov 13, 2019","91.000","93.350","93.350","90.650","98.93K","-2.99%"
"Nov 12, 2019","93.800","94.300","95.800","93.550","78.45K","-0.48%"
"Nov 11, 2019","94.250","94.250","95.000","93.500","73.67K","-0.37%"
"Nov 08, 2019","94.600","92.150","96.300","91.800","130.03K","1.99%"
"Nov 07, 2019","92.750","93.750","93.800","92.250","69.08K","0.05%"
"Nov 06, 2019","92.700","92.450","93.300","92.050","73.62K","0.27%"
"Nov 05, 2019","92.450","92.800","94.000","91.850","86.28K","-0.43%"
"Nov 04, 2019","92.850","93.150","93.950","92.850","170.84K","-0.27%"
"Nov 01, 2019","93.100","93.100","93.900","92.800","57.33K","-0.37%"
"Oct 31, 2019","93.450","92.250","93.450","92.150","77.18K","1.14%"
"Oct 30, 2019","92.400","90.400","92.400","90.200","63.44K","1.76%"
"Oct 29, 2019","90.800","91.350","91.800","90.350","95.42K","-0.77%"
"Oct 28, 2019","91.500","91.350","92.100","90.950","36.20K","-0.11%"
"Oct 25, 2019","91.600","92.250","92.650","91.300","37.26K","-0.81%"
"Oct 24, 2019","92.350","91.700","92.650","91.650","44.74K","0.98%"
"Oct 23, 2019","91.450","91.750","92.350","90.850","73.60K","-0.65%"
"Oct 22, 2019","92.050","91.600","92.700","91.400","52.67K","-0.05%"
"Oct 21, 2019","92.100","91.350","92.100","90.800","56.13K","0.99%"
"Oct 18, 2019","91.200","92.100","92.550","90.900","54.43K","-0.98%"
"Oct 17, 2019","92.100","92.100","92.350","91.250","70.36K","0.11%"
"Oct 16, 2019","92.000","91.200","92.700","90.750","73.84K","0.33%"
"Oct 15, 2019","91.700","92.050","93.050","91.550","82.15K","-0.86%"
"Oct 14, 2019","92.500","91.350","93.150","90.350","89.72K","1.37%"
"Oct 11, 2019","91.250","91.350","91.700","90.600","83.71K","0.11%"
"Oct 10, 2019","91.150","90.750","91.150","89.550","107.34K","0.94%"
"Oct 09, 2019","90.300","90.800","92.150","88.300","143.07K","-1.79%"
"Oct 08, 2019","91.950","96.200","96.350","91.500","225.26K","-5.01%"
"Oct 07, 2019","96.800","95.250","96.800","94.750","62.14K","1.20%"
"Oct 04, 2019","95.650","95.350","95.900","94.800","66.63K","0.90%"
"Oct 03, 2019","94.800","95.950","96.350","94.550","59.48K","-0.94%"
"Oct 02, 2019","95.700","96.100","98.650","95.700","152.52K","0.16%"
"Oct 01, 2019","95.550","96.950","97.450","95.300","70.99K","-1.60%"
"Sep 30, 2019","97.100","97.050","97.100","95.700","50.66K","0.31%"
"Sep 27, 2019","96.800","96.300","98.700","96.300","71.64K","1.20%"
"Sep 26, 2019","95.650","94.650","96.000","94.400","89.28K","1.11%"
"Sep 25, 2019","94.600","96.850","96.850","94.400","71.76K","-2.32%"
"Sep 24, 2019","96.850","95.100","96.850","95.100","51.44K","1.47%"
"Sep 23, 2019","95.450","94.950","95.450","94.700","42.46K","0.53%"
"Sep 20, 2019","94.950","95.550","96.000","94.950","106.74K","-0.78%"
"Sep 19, 2019","95.700","96.500","96.700","95.000","44.44K","-0.83%"
"Sep 18, 2019","96.500","95.800","97.150","95.500","76.32K","0.57%"
"Sep 17, 2019","95.950","95.150","96.150","95.000","81.38K","0.52%"
"Sep 16, 2019","95.450","97.200","97.200","95.450","86.95K","-2.05%"
"Sep 13, 2019","97.450","97.700","97.700","95.650","83.05K","-0.51%"
"Sep 12, 2019","97.950","98.250","98.550","95.550","67.02K","0.05%"
"Sep 11, 2019","97.900","94.950","97.900","94.800","130.15K","2.89%"
"Sep 10, 2019","95.150","96.900","97.100","93.600","98.49K","-2.11%"
"Sep 09, 2019","97.200","98.250","98.350","96.950","50.49K","-0.51%"
"Sep 06, 2019","97.700","99.000","99.350","97.700","59.75K","-1.11%"
