"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","4.983","4.995","5.004","4.953","5.62M","-0.44%"
"Dec 30, 2019","5.005","5.013","5.045","5.005","9.53M","-0.67%"
"Dec 27, 2019","5.039","5.020","5.084","4.920","10.07M","-0.43%"
"Dec 24, 2019","5.061","5.042","5.070","5.031","2.89M","-0.57%"
"Dec 23, 2019","5.090","5.100","5.123","5.067","36.28M","-1.01%"
"Dec 20, 2019","5.142","5.112","5.166","5.106","51.16M","-0.23%"
"Dec 19, 2019","5.154","5.087","5.154","5.078","79.88M","1.16%"
"Dec 18, 2019","5.095","5.042","5.110","5.042","25.78M","0.93%"
"Dec 17, 2019","5.048","5.047","5.062","5.016","14.76M","-0.34%"
"Dec 16, 2019","5.065","4.973","5.068","4.968","19.83M","2.34%"
"Dec 13, 2019","4.949","5.040","5.069","4.945","51.16M","0.57%"
"Dec 12, 2019","4.921","4.782","4.939","4.745","37.28M","3.30%"
"Dec 11, 2019","4.764","4.739","4.809","4.732","25.84M","0.08%"
"Dec 10, 2019","4.760","4.760","4.772","4.682","19.88M","0.08%"
"Dec 09, 2019","4.756","4.790","4.837","4.756","22.68M","-0.56%"
"Dec 06, 2019","4.783","4.738","4.798","4.715","13.33M","1.25%"
"Dec 05, 2019","4.724","4.738","4.785","4.716","30.11M","-0.11%"
"Dec 04, 2019","4.729","4.641","4.750","4.641","28.08M","1.55%"
"Dec 03, 2019","4.657","4.707","4.729","4.633","46.60M","-0.79%"
"Dec 02, 2019","4.694","4.788","4.843","4.691","26.56M","-1.84%"
"Nov 29, 2019","4.782","4.798","4.832","4.768","15.58M","-0.52%"
"Nov 28, 2019","4.807","4.798","4.819","4.782","12.72M","-0.46%"
"Nov 27, 2019","4.829","4.795","4.849","4.775","18.11M","0.77%"
"Nov 26, 2019","4.792","4.824","4.824","4.763","19.03M","-0.50%"
"Nov 25, 2019","4.816","4.824","4.867","4.798","10.70M","0.38%"
"Nov 22, 2019","4.798","4.782","4.854","4.764","19.15M","0.78%"
"Nov 21, 2019","4.761","4.703","4.772","4.678","13.93M","0.74%"
"Nov 20, 2019","4.726","4.718","4.741","4.660","12.88M","-0.76%"
"Nov 19, 2019","4.762","4.760","4.823","4.745","12.41M","0.55%"
"Nov 18, 2019","4.736","4.793","4.822","4.691","16.59M","-0.67%"
"Nov 15, 2019","4.768","4.782","4.806","4.732","18.03M","0.59%"
"Nov 14, 2019","4.740","4.764","4.774","4.713","13.96M","-0.34%"
"Nov 13, 2019","4.756","4.865","4.880","4.715","26.06M","-3.27%"
"Nov 12, 2019","4.917","4.971","5.002","4.907","18.79M","-0.55%"
"Nov 11, 2019","4.944","4.925","4.965","4.892","14.02M","-0.28%"
"Nov 08, 2019","4.958","4.960","5.004","4.916","24.55M","-0.62%"
"Nov 07, 2019","4.989","4.904","4.998","4.885","18.90M","1.73%"
"Nov 06, 2019","4.904","4.980","5.035","4.885","19.11M","-1.01%"
"Nov 05, 2019","4.954","4.900","4.973","4.881","29.80M","1.56%"
"Nov 04, 2019","4.878","4.793","4.890","4.760","20.21M","3.06%"
"Nov 01, 2019","4.733","4.720","4.738","4.630","22.49M","0.21%"
"Oct 31, 2019","4.723","4.737","4.755","4.606","24.07M","-0.23%"
"Oct 30, 2019","4.734","4.851","4.864","4.690","33.39M","-2.51%"
"Oct 29, 2019","4.856","4.879","4.894","4.819","23.96M","-0.53%"
"Oct 28, 2019","4.882","4.886","4.905","4.850","12.04M","-0.06%"
"Oct 25, 2019","4.885","4.892","4.930","4.842","13.78M","-0.02%"
"Oct 24, 2019","4.886","4.930","4.967","4.865","16.25M","-0.45%"
"Oct 23, 2019","4.908","4.838","4.924","4.822","14.90M","0.43%"
"Oct 22, 2019","4.887","4.893","4.919","4.818","16.74M","-0.10%"
"Oct 21, 2019","4.892","4.800","4.909","4.788","18.28M","2.36%"
"Oct 18, 2019","4.779","4.705","4.790","4.705","18.97M","1.10%"
"Oct 17, 2019","4.727","4.779","4.876","4.727","22.81M","-1.68%"
"Oct 16, 2019","4.808","4.731","4.837","4.654","22.52M","1.24%"
"Oct 15, 2019","4.749","4.689","4.753","4.632","23.39M","2.46%"
"Oct 14, 2019","4.635","4.670","4.682","4.587","14.38M","-1.72%"
"Oct 11, 2019","4.716","4.542","4.719","4.542","23.30M","1.90%"
"Oct 10, 2019","4.628","4.516","4.628","4.510","18.48M","2.71%"
"Oct 09, 2019","4.506","4.520","4.555","4.481","12.99M","0.02%"
"Oct 08, 2019","4.505","4.607","4.620","4.462","16.22M","-1.79%"
"Oct 07, 2019","4.587","4.543","4.614","4.487","13.64M","1.15%"
"Oct 04, 2019","4.535","4.546","4.560","4.484","15.36M","0.35%"
"Oct 03, 2019","4.519","4.555","4.555","4.463","17.38M","0.00%"
"Oct 02, 2019","4.519","4.686","4.706","4.519","21.27M","-3.85%"
"Oct 01, 2019","4.700","4.820","4.828","4.700","16.18M","-1.67%"
"Sep 30, 2019","4.780","4.780","4.806","4.739","21.03M","0.70%"
"Sep 27, 2019","4.747","4.710","4.769","4.681","12.39M","1.13%"
"Sep 26, 2019","4.694","4.652","4.711","4.635","13.01M","0.38%"
"Sep 25, 2019","4.676","4.638","4.683","4.561","15.39M","0.13%"
"Sep 24, 2019","4.670","4.703","4.726","4.654","15.26M","-0.34%"
"Sep 23, 2019","4.686","4.841","4.850","4.674","26.23M","-4.37%"
"Sep 20, 2019","4.900","4.770","4.900","4.752","56.44M","2.40%"
"Sep 19, 2019","4.785","4.722","4.785","4.694","15.00M","1.98%"
"Sep 18, 2019","4.692","4.720","4.743","4.646","16.20M","-0.11%"
"Sep 17, 2019","4.697","4.771","4.782","4.669","18.44M","-2.04%"
"Sep 16, 2019","4.795","4.825","4.846","4.758","15.76M","-1.44%"
"Sep 13, 2019","4.865","4.770","4.872","4.758","27.14M","2.88%"
"Sep 12, 2019","4.729","4.678","4.775","4.554","26.76M","1.13%"
"Sep 11, 2019","4.676","4.740","4.772","4.653","19.60M","-0.43%"
"Sep 10, 2019","4.696","4.600","4.702","4.542","23.78M","2.04%"
"Sep 09, 2019","4.602","4.508","4.602","4.501","15.19M","2.49%"
"Sep 06, 2019","4.490","4.483","4.560","4.460","15.55M","-0.13%"
"Sep 05, 2019","4.496","4.359","4.497","4.350","24.41M","4.24%"
"Sep 04, 2019","4.313","4.338","4.363","4.303","12.70M","0.63%"
"Sep 03, 2019","4.286","4.268","4.319","4.242","14.72M","0.21%"
"Sep 02, 2019","4.277","4.296","4.330","4.277","8.06M","-0.74%"
"Aug 30, 2019","4.309","4.332","4.359","4.292","12.93M","-0.30%"
"Aug 29, 2019","4.322","4.266","4.368","4.263","14.91M","1.12%"
"Aug 28, 2019","4.274","4.290","4.312","4.244","11.51M","-0.37%"
"Aug 27, 2019","4.290","4.295","4.333","4.261","16.22M","0.33%"
"Aug 26, 2019","4.276","4.213","4.308","4.213","10.22M","0.85%"
"Aug 23, 2019","4.240","4.354","4.373","4.240","15.94M","-1.97%"
"Aug 22, 2019","4.325","4.229","4.371","4.229","15.13M","2.22%"
"Aug 21, 2019","4.231","4.204","4.261","4.204","9.79M","0.57%"
"Aug 20, 2019","4.207","4.250","4.258","4.190","16.55M","-1.45%"
"Aug 19, 2019","4.269","4.396","4.425","4.269","18.29M","-2.20%"
"Aug 16, 2019","4.365","4.234","4.375","4.208","41.08M","3.09%"
"Aug 15, 2019","4.234","4.281","4.298","4.187","20.11M","-0.24%"
"Aug 14, 2019","4.244","4.322","4.325","4.215","22.63M","-2.50%"
"Aug 13, 2019","4.353","4.263","4.395","4.230","23.50M","1.80%"
"Aug 12, 2019","4.276","4.444","4.451","4.276","20.75M","-3.61%"
"Aug 09, 2019","4.436","4.457","4.484","4.420","17.87M","-1.81%"
"Aug 08, 2019","4.518","4.470","4.538","4.423","17.72M","2.52%"
"Aug 07, 2019","4.407","4.447","4.485","4.368","20.66M","-0.16%"
"Aug 06, 2019","4.414","4.478","4.487","4.407","18.28M","-1.03%"
"Aug 05, 2019","4.460","4.474","4.502","4.435","20.46M","-1.37%"
"Aug 02, 2019","4.522","4.530","4.588","4.492","27.34M","-2.46%"
"Aug 01, 2019","4.636","4.601","4.723","4.590","20.29M","0.80%"
"Jul 31, 2019","4.599","4.680","4.725","4.570","25.00M","-1.25%"
"Jul 30, 2019","4.657","4.787","4.793","4.622","24.45M","-3.02%"
"Jul 29, 2019","4.802","4.821","4.848","4.777","11.45M","-0.64%"
"Jul 26, 2019","4.833","4.867","4.887","4.816","14.39M","-1.25%"
"Jul 25, 2019","4.894","4.878","5.046","4.860","27.63M","0.33%"
"Jul 24, 2019","4.878","4.851","4.905","4.830","13.45M","-0.04%"
"Jul 23, 2019","4.880","4.787","4.902","4.771","18.14M","2.85%"
"Jul 22, 2019","4.745","4.777","4.792","4.711","16.09M","-0.73%"
"Jul 19, 2019","4.780","4.861","4.901","4.758","21.04M","-1.57%"
"Jul 18, 2019","4.856","4.879","4.894","4.812","16.70M","-1.00%"
"Jul 17, 2019","4.905","4.952","4.965","4.900","14.72M","-1.33%"
"Jul 16, 2019","4.971","4.947","5.008","4.913","16.47M","0.91%"
"Jul 15, 2019","4.926","4.915","4.941","4.873","14.56M","0.59%"
"Jul 12, 2019","4.897","4.952","4.985","4.897","17.76M","-0.67%"
"Jul 11, 2019","4.930","4.963","4.973","4.883","16.83M","-0.28%"
"Jul 10, 2019","4.944","4.930","5.004","4.888","19.73M","-0.14%"
"Jul 09, 2019","4.951","4.965","4.973","4.910","17.03M","-0.68%"
"Jul 08, 2019","4.985","5.050","5.082","4.961","15.37M","-1.83%"
"Jul 05, 2019","5.078","5.083","5.135","5.034","15.02M","-0.18%"
"Jul 04, 2019","5.087","5.009","5.098","5.009","16.73M","1.19%"
"Jul 03, 2019","5.027","4.903","5.027","4.886","14.53M","1.97%"
"Jul 02, 2019","4.930","4.976","4.992","4.888","13.68M","-0.86%"
"Jul 01, 2019","4.973","4.981","5.026","4.973","14.33M","1.14%"
"Jun 28, 2019","4.917","4.910","4.934","4.888","13.44M","0.29%"
"Jun 27, 2019","4.903","4.912","4.972","4.865","15.37M","0.18%"
"Jun 26, 2019","4.894","4.861","4.930","4.834","18.47M","0.33%"
"Jun 25, 2019","4.878","4.887","4.893","4.831","13.83M","-0.79%"
"Jun 24, 2019","4.917","4.921","4.974","4.883","11.18M","-0.02%"
"Jun 21, 2019","4.918","4.960","5.014","4.891","44.32M","-0.43%"
"Jun 20, 2019","4.939","5.010","5.029","4.939","25.41M","-1.42%"
"Jun 19, 2019","5.010","4.921","5.010","4.892","20.10M","2.20%"
"Jun 18, 2019","4.902","4.861","4.922","4.801","23.27M","0.72%"
"Jun 17, 2019","4.867","4.918","4.939","4.867","13.57M","-0.23%"
"Jun 14, 2019","4.878","4.905","4.915","4.862","13.66M","-0.75%"
"Jun 13, 2019","4.915","4.920","4.968","4.894","13.84M","-0.49%"
"Jun 12, 2019","4.939","4.950","4.960","4.878","20.46M","-1.22%"
"Jun 11, 2019","5.000","5.041","5.062","5.000","15.17M","-1.34%"
"Jun 10, 2019","5.068","5.015","5.080","4.989","16.54M","2.95%"
"Jun 07, 2019","4.923","4.949","4.974","4.880","15.41M","-0.42%"
"Jun 06, 2019","4.944","4.960","5.079","4.896","27.26M","-0.72%"
"Jun 05, 2019","4.980","5.000","5.017","4.905","19.12M","-0.60%"
"Jun 04, 2019","5.010","4.843","5.016","4.840","26.55M","3.04%"
"Jun 03, 2019","4.862","4.817","4.865","4.778","20.28M","-0.10%"
"May 31, 2019","4.867","4.923","4.949","4.843","43.42M","-4.10%"
"May 30, 2019","5.075","5.049","5.093","5.033","11.76M","1.56%"
"May 29, 2019","4.997","4.996","5.028","4.948","17.14M","-0.99%"
"May 28, 2019","5.047","5.041","5.047","4.956","21.31M","0.22%"
"May 27, 2019","5.036","5.083","5.097","5.011","6.30M","0.24%"
"May 24, 2019","5.024","4.992","5.050","4.969","12.90M","1.03%"
"May 23, 2019","4.973","4.990","5.026","4.955","18.66M","-1.05%"
"May 22, 2019","5.026","5.115","5.140","5.000","19.37M","-1.78%"
"May 21, 2019","5.117","5.108","5.148","5.071","13.68M","0.85%"
"May 20, 2019","5.074","5.130","5.207","5.053","19.55M","-1.51%"
"May 17, 2019","5.152","5.150","5.179","5.090","22.67M","-0.77%"
"May 16, 2019","5.192","5.076","5.192","5.045","17.28M","1.98%"
"May 15, 2019","5.091","5.064","5.117","5.008","17.46M","0.16%"
"May 14, 2019","5.083","5.023","5.083","5.001","17.21M","2.03%"
"May 13, 2019","4.982","5.084","5.093","4.966","17.58M","-1.89%"
"May 10, 2019","5.078","5.138","5.158","5.040","13.74M","-0.31%"
"May 09, 2019","5.094","5.128","5.173","5.065","19.14M","-2.04%"
"May 08, 2019","5.200","5.155","5.200","5.105","18.16M","1.09%"
"May 07, 2019","5.144","5.256","5.265","5.141","23.50M","-2.56%"
"May 06, 2019","5.279","5.230","5.298","5.206","15.01M","-1.07%"
"May 03, 2019","5.336","5.374","5.407","5.286","12.55M","-0.24%"
"May 02, 2019","5.349","5.410","5.469","5.342","17.10M","-1.27%"
"Apr 30, 2019","5.418","5.385","5.418","5.303","19.21M","0.06%"
"Apr 29, 2019","5.415","5.396","5.434","5.354","13.33M","0.71%"
"Apr 26, 2019","5.377","5.375","5.391","5.303","17.17M","0.24%"
"Apr 25, 2019","5.364","5.415","5.422","5.324","16.90M","-0.83%"
"Apr 24, 2019","5.409","5.450","5.504","5.362","17.82M","-1.22%"
"Apr 23, 2019","5.476","5.577","5.589","5.446","21.17M","-2.11%"
"Apr 18, 2019","5.594","5.620","5.633","5.505","25.78M","-0.09%"
"Apr 17, 2019","5.599","5.546","5.679","5.525","21.25M","1.32%"
"Apr 16, 2019","5.526","5.494","5.546","5.453","13.37M","0.82%"
"Apr 15, 2019","5.481","5.510","5.568","5.425","18.84M","-0.56%"
"Apr 12, 2019","5.512","5.368","5.522","5.325","25.89M","2.64%"
"Apr 11, 2019","5.370","5.318","5.409","5.270","16.80M","1.44%"
"Apr 10, 2019","5.294","5.363","5.382","5.268","14.77M","-0.97%"
"Apr 09, 2019","5.346","5.319","5.415","5.316","14.64M","0.24%"
"Apr 08, 2019","5.333","5.340","5.372","5.308","13.31M","-2.95%"
"Apr 05, 2019","5.495","5.501","5.535","5.481","22.15M","-0.05%"
"Apr 04, 2019","5.498","5.406","5.507","5.382","22.00M","1.57%"
"Apr 03, 2019","5.413","5.407","5.446","5.386","20.60M","1.60%"
"Apr 02, 2019","5.328","5.310","5.381","5.282","20.88M","0.41%"
"Apr 01, 2019","5.306","5.197","5.337","5.156","31.48M","4.18%"
"Mar 29, 2019","5.093","5.096","5.123","5.051","22.46M","0.91%"
"Mar 28, 2019","5.047","5.070","5.094","5.005","21.81M","-1.35%"
"Mar 27, 2019","5.116","5.165","5.284","5.093","28.28M","-0.52%"
"Mar 26, 2019","5.143","5.213","5.228","5.127","16.78M","-1.10%"
"Mar 25, 2019","5.200","5.163","5.264","5.119","17.72M","0.23%"
"Mar 22, 2019","5.188","5.406","5.411","5.163","25.64M","-3.43%"
"Mar 21, 2019","5.372","5.388","5.408","5.341","16.57M","-0.87%"
"Mar 20, 2019","5.419","5.470","5.490","5.418","15.97M","-1.20%"
"Mar 19, 2019","5.485","5.439","5.550","5.412","17.40M","1.18%"
"Mar 18, 2019","5.421","5.397","5.472","5.390","14.84M","0.89%"
"Mar 15, 2019","5.373","5.299","5.382","5.270","44.04M","1.72%"
"Mar 14, 2019","5.282","5.275","5.342","5.264","14.89M","0.13%"
"Mar 13, 2019","5.275","5.191","5.299","5.180","19.22M","1.81%"
"Mar 12, 2019","5.181","5.233","5.246","5.150","14.31M","-0.38%"
"Mar 11, 2019","5.201","5.172","5.225","5.130","12.87M","1.27%"
"Mar 08, 2019","5.136","5.165","5.190","5.093","18.74M","-1.59%"
"Mar 07, 2019","5.219","5.388","5.437","5.172","26.44M","-2.85%"
"Mar 06, 2019","5.372","5.300","5.426","5.290","15.18M","1.22%"
"Mar 05, 2019","5.307","5.338","5.390","5.245","22.12M","-0.54%"
"Mar 04, 2019","5.336","5.422","5.450","5.321","15.31M","-0.80%"
"Mar 01, 2019","5.379","5.496","5.510","5.379","20.43M","-1.74%"
"Feb 28, 2019","5.474","5.344","5.492","5.319","23.93M","1.80%"
"Feb 27, 2019","5.377","5.232","5.385","5.226","23.09M","2.44%"
"Feb 26, 2019","5.249","5.228","5.255","5.177","11.31M","-0.11%"
"Feb 25, 2019","5.255","5.265","5.289","5.230","10.92M","0.54%"
"Feb 22, 2019","5.227","5.210","5.280","5.204","13.46M","0.06%"
"Feb 21, 2019","5.224","5.245","5.256","5.190","13.55M","-0.25%"
"Feb 20, 2019","5.237","5.199","5.251","5.178","13.59M","0.93%"
"Feb 19, 2019","5.189","5.200","5.248","5.128","13.58M","-0.73%"
"Feb 18, 2019","5.227","5.208","5.259","5.203","10.81M","0.64%"
"Feb 15, 2019","5.194","5.025","5.218","4.998","31.05M","3.30%"
"Feb 14, 2019","5.028","5.122","5.125","4.990","19.69M","-1.43%"
"Feb 13, 2019","5.101","5.189","5.216","5.101","18.85M","-1.92%"
"Feb 12, 2019","5.201","5.165","5.209","5.100","19.01M","1.68%"
"Feb 11, 2019","5.115","5.102","5.174","5.089","12.29M","1.13%"
"Feb 08, 2019","5.058","5.070","5.116","5.017","16.81M","-0.37%"
"Feb 07, 2019","5.077","5.210","5.235","5.068","19.90M","-3.13%"
"Feb 06, 2019","5.241","5.171","5.245","5.164","17.10M","0.34%"
"Feb 05, 2019","5.223","5.183","5.230","5.156","22.47M","1.01%"
"Feb 04, 2019","5.171","5.178","5.222","5.110","15.84M","-0.50%"
"Feb 01, 2019","5.197","5.205","5.261","5.062","23.99M","0.52%"
"Jan 31, 2019","5.170","5.284","5.293","5.087","24.38M","-1.67%"
"Jan 30, 2019","5.258","5.270","5.299","5.235","13.68M","-0.04%"
"Jan 29, 2019","5.260","5.256","5.281","5.211","13.28M","0.29%"
"Jan 28, 2019","5.245","5.275","5.331","5.234","14.76M","-1.11%"
"Jan 25, 2019","5.304","5.253","5.309","5.220","17.98M","1.90%"
"Jan 24, 2019","5.205","5.247","5.270","5.145","19.26M","-0.42%"
"Jan 23, 2019","5.227","5.158","5.265","5.141","15.68M","1.10%"
"Jan 22, 2019","5.170","5.155","5.178","5.134","14.20M","-0.69%"
"Jan 21, 2019","5.206","5.200","5.210","5.156","8.29M","0.12%"
"Jan 18, 2019","5.200","5.089","5.200","5.074","30.15M","3.24%"
"Jan 17, 2019","5.037","5.065","5.110","5.024","18.76M","-1.43%"
"Jan 16, 2019","5.110","5.013","5.110","5.000","22.12M","2.43%"
"Jan 15, 2019","4.989","5.013","5.069","4.911","16.05M","0.00%"
"Jan 14, 2019","4.989","4.999","5.016","4.927","19.46M","-0.93%"
"Jan 11, 2019","5.036","4.980","5.049","4.944","19.02M","1.04%"
"Jan 10, 2019","4.984","4.908","5.005","4.883","15.95M","0.87%"
"Jan 09, 2019","4.941","4.920","5.027","4.899","21.94M","1.35%"
"Jan 08, 2019","4.875","4.860","4.923","4.835","16.37M","0.87%"
"Jan 07, 2019","4.833","4.883","4.894","4.801","15.31M","-0.37%"
"Jan 04, 2019","4.851","4.739","4.878","4.722","23.42M","3.74%"
"Jan 03, 2019","4.676","4.626","4.739","4.626","16.78M","0.28%"
"Jan 02, 2019","4.663","4.574","4.696","4.510","15.43M","0.58%"
"Dec 31, 2018","4.636","4.635","4.663","4.620","6.38M","-0.11%"
"Dec 28, 2018","4.641","4.559","4.648","4.550","18.32M","2.11%"
"Dec 27, 2018","4.545","4.600","4.638","4.476","31.74M","-0.29%"
"Dec 24, 2018","4.558","4.574","4.599","4.543","5.46M","-1.32%"
"Dec 21, 2018","4.619","4.633","4.660","4.534","45.31M","-0.75%"
"Dec 20, 2018","4.654","4.650","4.715","4.623","21.87M","-1.57%"
"Dec 19, 2018","4.728","4.705","4.784","4.704","20.01M","0.96%"
"Dec 18, 2018","4.683","4.702","4.764","4.671","23.96M","-0.49%"
"Dec 17, 2018","4.706","4.705","4.758","4.692","17.93M","-0.15%"
"Dec 14, 2018","4.713","4.702","4.724","4.601","17.83M","-0.51%"
"Dec 13, 2018","4.737","4.707","4.811","4.666","25.13M","1.87%"
