"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","1.903","1.890","1.903","1.885","2.02M","-0.31%"
"Dec 30, 2019","1.909","1.887","1.923","1.887","6.12M","1.17%"
"Dec 27, 2019","1.887","1.910","1.932","1.887","5.09M","-1.97%"
"Dec 24, 2019","1.925","1.902","1.925","1.902","837.31K","0.84%"
"Dec 23, 2019","1.909","1.923","1.946","1.902","3.43M","-1.34%"
"Dec 20, 2019","1.935","1.929","1.942","1.912","9.94M","0.05%"
"Dec 19, 2019","1.934","1.871","1.936","1.867","6.76M","3.26%"
"Dec 18, 2019","1.873","1.867","1.885","1.857","5.21M","0.11%"
"Dec 17, 2019","1.871","1.879","1.889","1.859","4.01M","-1.11%"
"Dec 16, 2019","1.892","1.866","1.904","1.863","5.56M","1.88%"
"Dec 13, 2019","1.857","1.900","1.938","1.855","7.75M","0.05%"
"Dec 12, 2019","1.856","1.775","1.868","1.768","6.74M","4.27%"
"Dec 11, 2019","1.780","1.772","1.795","1.761","3.87M","0.51%"
"Dec 10, 2019","1.771","1.787","1.795","1.754","5.32M","-1.17%"
"Dec 09, 2019","1.792","1.796","1.815","1.783","3.47M","0.11%"
"Dec 06, 2019","1.790","1.774","1.798","1.762","6.50M","1.07%"
"Dec 05, 2019","1.771","1.776","1.798","1.766","9.31M","-0.39%"
"Dec 04, 2019","1.778","1.726","1.778","1.720","5.83M","3.25%"
"Dec 03, 2019","1.722","1.751","1.770","1.706","9.90M","-1.88%"
"Dec 02, 2019","1.755","1.768","1.797","1.753","8.88M","-0.17%"
"Nov 29, 2019","1.758","1.780","1.796","1.755","5.71M","-1.57%"
"Nov 28, 2019","1.786","1.830","1.834","1.781","5.94M","-2.24%"
"Nov 27, 2019","1.827","1.819","1.850","1.804","8.01M","0.44%"
"Nov 26, 2019","1.819","1.806","1.820","1.788","12.70M","0.94%"
"Nov 25, 2019","1.802","1.778","1.817","1.778","7.54M","2.74%"
"Nov 22, 2019","1.754","1.724","1.791","1.715","8.14M","1.92%"
"Nov 21, 2019","1.721","1.692","1.727","1.681","4.70M","0.94%"
"Nov 20, 2019","1.705","1.705","1.714","1.666","11.29M","-1.04%"
"Nov 19, 2019","1.723","1.725","1.743","1.711","6.29M","0.53%"
"Nov 18, 2019","1.714","1.708","1.736","1.692","7.99M","0.59%"
"Nov 15, 2019","1.704","1.673","1.704","1.660","10.09M","2.65%"
"Nov 14, 2019","1.660","1.672","1.685","1.638","8.49M","-0.66%"
"Nov 13, 2019","1.671","1.685","1.694","1.628","22.10M","-3.35%"
"Nov 12, 2019","1.729","1.826","1.855","1.713","14.40M","-4.58%"
"Nov 11, 2019","1.812","1.808","1.825","1.788","4.23M","0.00%"
"Nov 08, 2019","1.812","1.845","1.845","1.794","6.22M","-2.32%"
"Nov 07, 2019","1.855","1.796","1.861","1.792","7.83M","3.34%"
"Nov 06, 2019","1.795","1.857","1.888","1.787","10.20M","-2.71%"
"Nov 05, 2019","1.845","1.818","1.855","1.808","6.92M","1.82%"
"Nov 04, 2019","1.812","1.742","1.815","1.742","9.71M","4.98%"
"Nov 01, 2019","1.726","1.710","1.734","1.689","6.72M","1.05%"
"Oct 31, 2019","1.708","1.693","1.723","1.669","8.16M","0.71%"
"Oct 30, 2019","1.696","1.692","1.720","1.656","9.74M","-0.24%"
"Oct 29, 2019","1.700","1.742","1.742","1.680","10.75M","-2.63%"
"Oct 28, 2019","1.746","1.770","1.778","1.708","12.66M","-1.80%"
"Oct 25, 2019","1.778","1.772","1.786","1.754","6.92M","0.91%"
"Oct 24, 2019","1.762","1.824","1.841","1.758","9.25M","-4.29%"
"Oct 23, 2019","1.841","1.840","1.863","1.818","7.00M","0.00%"
"Oct 22, 2019","1.841","1.877","1.885","1.830","5.59M","-1.60%"
"Oct 21, 2019","1.871","1.816","1.891","1.816","7.88M","3.48%"
"Oct 18, 2019","1.808","1.817","1.839","1.800","6.05M","-0.93%"
"Oct 17, 2019","1.825","1.815","1.862","1.788","9.75M","0.05%"
"Oct 16, 2019","1.824","1.792","1.857","1.763","10.98M","2.13%"
"Oct 15, 2019","1.786","1.760","1.801","1.742","6.95M","2.35%"
"Oct 14, 2019","1.745","1.766","1.766","1.722","5.88M","-1.13%"
"Oct 11, 2019","1.765","1.711","1.765","1.711","7.78M","3.46%"
"Oct 10, 2019","1.706","1.647","1.714","1.646","8.37M","3.39%"
"Oct 09, 2019","1.650","1.636","1.667","1.627","3.52M","0.92%"
"Oct 08, 2019","1.635","1.671","1.687","1.607","8.79M","-1.92%"
"Oct 07, 2019","1.667","1.671","1.671","1.622","8.09M","-0.12%"
"Oct 04, 2019","1.669","1.687","1.687","1.645","6.31M","-0.42%"
"Oct 03, 2019","1.676","1.683","1.685","1.602","11.44M","-0.71%"
"Oct 02, 2019","1.688","1.708","1.747","1.688","13.17M","-1.80%"
