"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","6.532","6.550","6.572","6.520","564.27K","-0.88%"
"Dec 30, 2019","6.590","6.592","6.640","6.576","2.05M","0.09%"
"Dec 27, 2019","6.584","6.572","6.618","6.546","1.37M","-0.18%"
"Dec 24, 2019","6.596","6.566","6.596","6.526","795.95K","1.13%"
"Dec 23, 2019","6.522","6.750","6.756","6.492","2.24M","-3.69%"
"Dec 20, 2019","6.772","6.690","6.832","6.674","5.78M","1.38%"
"Dec 19, 2019","6.680","6.712","6.712","6.468","3.48M","0.54%"
"Dec 18, 2019","6.644","6.670","6.686","6.618","1.81M","-0.21%"
"Dec 17, 2019","6.658","6.680","6.694","6.574","1.99M","-0.75%"
"Dec 16, 2019","6.708","6.718","6.746","6.674","2.60M","0.72%"
"Dec 13, 2019","6.660","6.824","6.860","6.640","3.00M","-0.30%"
"Dec 12, 2019","6.680","6.494","6.756","6.474","2.31M","3.15%"
"Dec 11, 2019","6.476","6.420","6.524","6.400","1.79M","0.84%"
"Dec 10, 2019","6.422","6.496","6.502","6.400","2.16M","-1.23%"
"Dec 09, 2019","6.502","6.542","6.566","6.502","1.25M","-0.52%"
"Dec 06, 2019","6.536","6.454","6.546","6.444","1.72M","1.36%"
"Dec 05, 2019","6.448","6.414","6.496","6.412","1.45M","0.28%"
"Dec 04, 2019","6.430","6.292","6.450","6.274","1.72M","2.32%"
"Dec 03, 2019","6.284","6.304","6.332","6.230","1.89M","-0.22%"
"Dec 02, 2019","6.298","6.384","6.492","6.286","2.40M","-0.79%"
"Nov 29, 2019","6.348","6.342","6.412","6.306","1.92M","-0.25%"
"Nov 28, 2019","6.364","6.370","6.390","6.342","1.19M","-0.31%"
"Nov 27, 2019","6.384","6.344","6.448","6.332","1.50M","0.98%"
"Nov 26, 2019","6.322","6.360","6.360","6.270","2.01M","-0.35%"
"Nov 25, 2019","6.344","6.304","6.408","6.304","1.45M","0.95%"
"Nov 22, 2019","6.284","6.162","6.296","6.162","2.80M","2.18%"
"Nov 21, 2019","6.150","6.088","6.174","6.078","1.70M","0.33%"
"Nov 20, 2019","6.130","6.100","6.148","6.048","2.11M","-0.45%"
"Nov 19, 2019","6.158","6.146","6.240","6.128","1.91M","0.49%"
"Nov 18, 2019","6.128","6.098","6.170","6.078","1.44M","0.26%"
"Nov 15, 2019","6.112","6.072","6.138","6.016","2.72M","1.06%"
"Nov 14, 2019","6.048","6.066","6.112","6.010","8.57M","-1.14%"
"Nov 13, 2019","6.118","6.326","6.326","6.010","3.03M","-3.74%"
"Nov 12, 2019","6.356","6.454","6.520","6.334","2.70M","-1.43%"
"Nov 11, 2019","6.448","6.374","6.448","6.318","2.74M","0.66%"
"Nov 08, 2019","6.406","6.506","6.506","6.350","1.70M","-2.05%"
"Nov 07, 2019","6.540","6.410","6.564","6.376","2.09M","2.28%"
"Nov 06, 2019","6.394","6.526","6.596","6.366","2.57M","-1.81%"
"Nov 05, 2019","6.512","6.490","6.516","6.414","4.24M","0.96%"
"Nov 04, 2019","6.450","6.348","6.458","6.346","2.58M","2.51%"
"Nov 01, 2019","6.292","6.200","6.306","6.160","2.19M","1.48%"
"Oct 31, 2019","6.200","6.300","6.320","6.122","2.91M","-1.46%"
"Oct 30, 2019","6.292","6.360","6.362","6.160","2.33M","-0.88%"
"Oct 29, 2019","6.348","6.320","6.350","6.262","2.17M","0.89%"
"Oct 28, 2019","6.292","6.326","6.350","6.250","1.74M","0.06%"
"Oct 25, 2019","6.288","6.308","6.348","6.262","1.88M","-0.22%"
"Oct 24, 2019","6.302","6.354","6.420","6.292","2.10M","-0.76%"
"Oct 23, 2019","6.350","6.330","6.406","6.280","2.95M","-0.94%"
"Oct 22, 2019","6.410","6.458","6.502","6.364","2.55M","-0.77%"
"Oct 21, 2019","6.460","6.204","6.516","6.204","4.84M","4.60%"
"Oct 18, 2019","6.176","6.134","6.226","6.090","3.20M","0.16%"
"Oct 17, 2019","6.166","6.130","6.280","6.092","2.48M","0.52%"
"Oct 16, 2019","6.134","6.048","6.174","5.956","8.38M","1.05%"
"Oct 15, 2019","6.070","6.012","6.086","5.924","7.74M","1.78%"
"Oct 14, 2019","5.964","5.964","5.968","5.876","8.32M","-0.83%"
"Oct 11, 2019","6.014","5.810","6.014","5.810","3.03M","3.51%"
"Oct 10, 2019","5.810","5.572","5.810","5.572","2.82M","4.27%"
"Oct 09, 2019","5.572","5.532","5.602","5.524","1.58M","0.65%"
"Oct 08, 2019","5.536","5.630","5.640","5.454","1.72M","-1.21%"
"Oct 07, 2019","5.604","5.564","5.604","5.452","3.46M","0.72%"
"Oct 04, 2019","5.564","5.594","5.594","5.510","1.91M","0.14%"
"Oct 03, 2019","5.556","5.618","5.618","5.492","1.72M","-0.61%"
"Oct 02, 2019","5.590","5.684","5.734","5.578","2.38M","-2.10%"
"Oct 01, 2019","5.710","5.830","5.894","5.710","8.35M","-1.45%"
"Sep 30, 2019","5.794","5.776","5.882","5.750","9.22M","1.01%"
"Sep 27, 2019","5.736","5.674","5.800","5.638","2.50M","1.38%"
"Sep 26, 2019","5.658","5.664","5.684","5.588","1.44M","-0.11%"
"Sep 25, 2019","5.664","5.638","5.664","5.516","1.93M","0.11%"
"Sep 24, 2019","5.658","5.646","5.720","5.628","2.34M","-0.07%"
"Sep 23, 2019","5.662","5.790","5.792","5.608","2.00M","-3.21%"
"Sep 20, 2019","5.850","5.938","5.986","5.798","6.84M","-2.27%"
"Sep 19, 2019","5.986","5.724","5.986","5.700","3.02M","4.54%"
"Sep 18, 2019","5.726","5.760","5.794","5.658","3.48M","-0.17%"
"Sep 17, 2019","5.736","5.950","5.950","5.736","3.82M","-3.14%"
"Sep 16, 2019","5.922","6.030","6.066","5.842","2.90M","-2.79%"
"Sep 13, 2019","6.092","5.988","6.118","5.930","6.67M","3.61%"
"Sep 12, 2019","5.880","5.874","6.024","5.694","4.88M","0.48%"
"Sep 11, 2019","5.852","5.928","6.046","5.822","4.89M","-0.31%"
"Sep 10, 2019","5.870","5.640","5.870","5.582","5.05M","4.23%"
"Sep 09, 2019","5.632","5.514","5.632","5.508","1.89M","2.36%"
"Sep 06, 2019","5.502","5.500","5.568","5.452","2.90M","-0.69%"
"Sep 05, 2019","5.540","5.254","5.540","5.244","3.29M","5.77%"
"Sep 04, 2019","5.238","5.208","5.264","5.200","1.66M","1.59%"
"Sep 03, 2019","5.156","5.226","5.248","5.140","3.29M","-1.26%"
"Sep 02, 2019","5.222","5.280","5.312","5.208","1.05M","-1.43%"
"Aug 30, 2019","5.298","5.338","5.358","5.280","1.12M","-0.38%"
"Aug 29, 2019","5.318","5.266","5.380","5.266","1.12M","0.87%"
"Aug 28, 2019","5.272","5.326","5.350","5.258","1.18M","-0.86%"
"Aug 27, 2019","5.318","5.364","5.412","5.312","1.61M","-1.12%"
"Aug 26, 2019","5.378","5.310","5.396","5.306","1.03M","0.71%"
"Aug 23, 2019","5.340","5.422","5.442","5.340","2.46M","-1.26%"
"Aug 22, 2019","5.408","5.310","5.466","5.304","1.46M","1.73%"
"Aug 21, 2019","5.316","5.314","5.370","5.308","1.05M","0.04%"
"Aug 20, 2019","5.314","5.352","5.388","5.300","2.03M","-0.71%"
"Aug 19, 2019","5.352","5.462","5.530","5.348","2.34M","-1.65%"
"Aug 16, 2019","5.442","5.268","5.442","5.186","5.08M","3.26%"
"Aug 15, 2019","5.270","5.236","5.340","5.176","2.50M","0.88%"
"Aug 14, 2019","5.224","5.470","5.480","5.200","3.75M","-4.88%"
"Aug 13, 2019","5.492","5.450","5.538","5.420","2.24M","-0.04%"
"Aug 12, 2019","5.494","5.732","5.732","5.494","1.95M","-3.41%"
"Aug 09, 2019","5.688","5.750","5.784","5.676","9.65M","-2.20%"
"Aug 08, 2019","5.816","5.800","5.838","5.712","1.96M","0.97%"
"Aug 07, 2019","5.760","5.780","5.820","5.694","2.03M","-0.10%"
"Aug 06, 2019","5.766","5.868","5.882","5.766","1.34M","-1.40%"
"Aug 05, 2019","5.848","5.750","5.928","5.742","1.61M","0.86%"
"Aug 02, 2019","5.798","5.818","5.894","5.754","2.29M","-2.16%"
"Aug 01, 2019","5.926","5.882","5.962","5.876","1.89M","0.99%"
"Jul 31, 2019","5.868","5.926","5.964","5.866","3.85M","0.24%"
"Jul 30, 2019","5.854","6.060","6.074","5.822","4.16M","-3.43%"
"Jul 29, 2019","6.062","6.134","6.182","6.056","1.59M","-1.27%"
"Jul 26, 2019","6.140","6.284","6.308","6.046","3.09M","-3.25%"
"Jul 25, 2019","6.346","6.354","6.456","6.258","4.11M","1.47%"
"Jul 24, 2019","6.254","6.268","6.302","6.208","2.75M","-0.57%"
"Jul 23, 2019","6.290","6.160","6.294","6.106","2.80M","2.81%"
"Jul 22, 2019","6.118","6.366","6.390","6.096","3.30M","-3.90%"
"Jul 19, 2019","6.366","6.450","6.480","6.358","3.61M","-0.59%"
"Jul 18, 2019","6.404","6.388","6.458","6.358","3.74M","-1.11%"
"Jul 17, 2019","6.476","6.536","6.540","6.474","2.36M","-1.28%"
"Jul 16, 2019","6.560","6.454","6.576","6.426","3.15M","1.93%"
"Jul 15, 2019","6.436","6.478","6.506","6.436","1.82M","-0.34%"
"Jul 12, 2019","6.458","6.364","6.462","6.364","2.29M","1.38%"
"Jul 11, 2019","6.370","6.320","6.388","6.298","1.36M","0.79%"
"Jul 10, 2019","6.320","6.352","6.404","6.316","2.44M","0.19%"
"Jul 09, 2019","6.308","6.330","6.350","6.270","6.95M","0.00%"
"Jul 08, 2019","6.308","6.390","6.416","6.286","2.15M","-1.35%"
"Jul 05, 2019","6.394","6.384","6.460","6.310","2.72M","0.22%"
"Jul 04, 2019","6.380","6.270","6.392","6.262","2.09M","1.56%"
"Jul 03, 2019","6.282","6.140","6.282","6.100","2.27M","1.85%"
"Jul 02, 2019","6.168","6.228","6.260","6.118","2.30M","-0.90%"
"Jul 01, 2019","6.224","6.112","6.256","6.100","3.38M","2.74%"
"Jun 28, 2019","6.058","5.992","6.058","5.990","8.01M","1.20%"
"Jun 27, 2019","5.986","5.950","6.004","5.916","2.22M","1.66%"
"Jun 26, 2019","5.888","5.880","5.948","5.810","3.34M","0.44%"
"Jun 25, 2019","5.862","5.930","5.930","5.824","2.59M","-1.25%"
"Jun 24, 2019","5.936","5.890","5.980","5.856","2.50M","-0.24%"
"Jun 21, 2019","5.950","5.926","6.034","5.882","5.41M","0.85%"
"Jun 20, 2019","5.900","6.070","6.094","5.896","3.36M","-2.32%"
"Jun 19, 2019","6.040","6.056","6.106","6.016","2.83M","0.27%"
"Jun 18, 2019","6.024","6.150","6.152","5.950","6.97M","-2.11%"
"Jun 17, 2019","6.154","6.158","6.236","6.154","1.57M","0.00%"
"Jun 14, 2019","6.154","6.200","6.224","6.130","2.67M","-1.50%"
"Jun 13, 2019","6.248","6.300","6.334","6.234","1.85M","-0.83%"
"Jun 12, 2019","6.300","6.372","6.424","6.272","2.12M","-2.05%"
"Jun 11, 2019","6.432","6.446","6.494","6.402","1.96M","-0.25%"
"Jun 10, 2019","6.448","6.382","6.456","6.366","3.22M","1.48%"
"Jun 07, 2019","6.354","6.362","6.414","6.294","2.84M","0.54%"
"Jun 06, 2019","6.320","6.488","6.586","6.314","3.09M","-2.77%"
"Jun 05, 2019","6.500","6.500","6.526","6.422","3.00M","0.40%"
"Jun 04, 2019","6.474","6.348","6.510","6.348","2.16M","1.51%"
"Jun 03, 2019","6.378","6.436","6.436","6.322","1.98M","-1.54%"
"May 31, 2019","6.478","6.550","6.580","6.436","1.63M","-2.12%"
"May 30, 2019","6.618","6.600","6.656","6.580","1.13M","0.85%"
"May 29, 2019","6.562","6.590","6.612","6.514","2.08M","-0.94%"
"May 28, 2019","6.624","6.606","6.624","6.510","2.00M","0.55%"
"May 27, 2019","6.588","6.600","6.650","6.572","535.57K","0.43%"
"May 24, 2019","6.560","6.560","6.604","6.522","1.38M","0.09%"
"May 23, 2019","6.554","6.560","6.592","6.492","2.24M","-0.27%"
"May 22, 2019","6.572","6.668","6.710","6.568","2.24M","-2.29%"
"May 21, 2019","6.726","6.724","6.746","6.662","1.14M","0.15%"
"May 20, 2019","6.716","6.714","6.810","6.680","1.44M","-0.47%"
"May 17, 2019","6.748","6.740","6.770","6.696","1.34M","-0.35%"
"May 16, 2019","6.772","6.690","6.772","6.636","2.16M","1.01%"
"May 15, 2019","6.704","6.700","6.708","6.590","1.34M","0.36%"
"May 14, 2019","6.680","6.750","6.762","6.650","1.37M","-0.65%"
"May 13, 2019","6.724","6.780","6.796","6.706","1.36M","-0.88%"
"May 10, 2019","6.784","6.814","6.874","6.756","1.17M","0.18%"
"May 09, 2019","6.772","6.848","6.880","6.770","1.60M","-2.00%"
"May 08, 2019","6.910","6.820","6.912","6.782","1.77M","1.02%"
"May 07, 2019","6.840","6.942","6.986","6.830","1.47M","-1.67%"
"May 06, 2019","6.956","6.900","6.970","6.864","1.12M","-0.97%"
"May 03, 2019","7.024","7.130","7.130","6.982","1.91M","-1.04%"
"May 02, 2019","7.098","7.100","7.200","7.038","1.89M","-0.28%"
"Apr 30, 2019","7.118","7.108","7.186","7.096","2.42M","-0.84%"
"Apr 29, 2019","7.178","7.024","7.178","7.024","2.66M","1.70%"
"Apr 26, 2019","7.058","6.980","7.080","6.960","2.46M","0.83%"
"Apr 25, 2019","7.000","7.078","7.078","6.950","2.72M","0.06%"
"Apr 24, 2019","6.996","7.160","7.160","6.986","2.05M","-2.02%"
"Apr 23, 2019","7.140","7.346","7.346","7.124","2.82M","-2.80%"
"Apr 18, 2019","7.346","7.330","7.366","7.238","2.17M","-0.11%"
"Apr 17, 2019","7.354","7.300","7.396","7.276","1.68M","0.88%"
"Apr 16, 2019","7.290","7.276","7.340","7.222","1.68M","0.19%"
"Apr 15, 2019","7.276","7.250","7.286","7.200","2.46M","0.33%"
"Apr 12, 2019","7.252","7.054","7.252","6.992","3.42M","2.43%"
"Apr 11, 2019","7.080","7.004","7.102","6.940","1.76M","1.49%"
"Apr 10, 2019","6.976","7.032","7.114","6.966","1.87M","-0.85%"
"Apr 09, 2019","7.036","7.090","7.154","7.004","3.05M","-0.93%"
"Apr 08, 2019","7.102","7.156","7.158","7.070","1.05M","-0.67%"
"Apr 05, 2019","7.150","7.150","7.220","7.084","1.99M","0.00%"
"Apr 04, 2019","7.150","7.090","7.200","7.032","1.88M","0.76%"
"Apr 03, 2019","7.096","7.034","7.096","7.000","2.27M","1.78%"
"Apr 02, 2019","6.972","7.018","7.036","6.942","3.38M","-0.54%"
"Apr 01, 2019","7.010","6.820","7.032","6.820","2.55M","3.24%"
"Mar 29, 2019","6.790","6.818","6.832","6.738","2.20M","0.00%"
"Mar 28, 2019","6.790","6.832","6.846","6.760","1.46M","-0.85%"
"Mar 27, 2019","6.848","6.796","6.978","6.758","3.54M","0.77%"
"Mar 26, 2019","6.796","6.908","6.912","6.780","3.73M","-2.41%"
"Mar 25, 2019","6.964","6.920","7.026","6.890","2.49M","0.37%"
"Mar 22, 2019","6.938","7.030","7.032","6.902","3.84M","-0.37%"
"Mar 21, 2019","6.964","7.010","7.024","6.934","1.65M","-1.36%"
"Mar 20, 2019","7.060","7.136","7.194","7.060","1.64M","-1.34%"
"Mar 19, 2019","7.156","7.136","7.224","7.126","3.73M","0.34%"
"Mar 18, 2019","7.132","7.024","7.170","7.024","2.44M","1.83%"
"Mar 15, 2019","7.004","6.980","7.024","6.950","3.08M","0.63%"
"Mar 14, 2019","6.960","7.014","7.098","6.960","8.35M","-0.77%"
"Mar 13, 2019","7.014","6.864","7.036","6.850","2.77M","2.39%"
"Mar 12, 2019","6.850","6.900","6.918","6.796","2.46M","-0.49%"
"Mar 11, 2019","6.884","6.936","6.936","6.830","1.40M","0.00%"
"Mar 08, 2019","6.884","6.910","6.940","6.854","1.75M","-0.78%"
"Mar 07, 2019","6.938","7.162","7.248","6.916","3.62M","-3.05%"
"Mar 06, 2019","7.156","7.200","7.244","7.140","3.12M","-0.61%"
"Mar 05, 2019","7.200","7.150","7.248","7.130","2.12M","0.78%"
"Mar 04, 2019","7.144","7.202","7.216","7.102","1.40M","-0.22%"
"Mar 01, 2019","7.160","7.250","7.264","7.146","2.86M","-0.86%"
"Feb 28, 2019","7.222","7.048","7.250","7.028","3.01M","2.21%"
"Feb 27, 2019","7.066","6.966","7.104","6.966","3.02M","0.94%"
"Feb 26, 2019","7.000","6.910","7.028","6.910","961.10K","0.72%"
"Feb 25, 2019","6.950","6.952","7.004","6.918","2.33M","0.70%"
"Feb 22, 2019","6.902","6.940","6.962","6.892","1.04M","-0.46%"
"Feb 21, 2019","6.934","6.966","6.966","6.860","1.38M","-0.14%"
"Feb 20, 2019","6.944","6.946","6.960","6.880","1.76M","0.23%"
"Feb 19, 2019","6.928","6.874","6.928","6.834","1.08M","0.17%"
"Feb 18, 2019","6.916","6.920","6.974","6.892","1.72M","0.06%"
"Feb 15, 2019","6.912","6.650","6.920","6.604","3.38M","3.88%"
"Feb 14, 2019","6.654","6.758","6.788","6.648","2.20M","-0.72%"
"Feb 13, 2019","6.702","6.738","6.784","6.672","2.16M","-0.56%"
"Feb 12, 2019","6.740","6.690","6.768","6.632","1.74M","1.29%"
"Feb 11, 2019","6.654","6.602","6.688","6.572","1.31M","1.59%"
"Feb 08, 2019","6.550","6.590","6.620","6.510","2.24M","-0.85%"
"Feb 07, 2019","6.606","6.672","6.744","6.606","2.03M","-1.78%"
"Feb 06, 2019","6.726","6.600","6.726","6.572","2.24M","1.45%"
"Feb 05, 2019","6.630","6.602","6.676","6.546","3.09M","0.61%"
"Feb 04, 2019","6.590","6.712","6.712","6.530","3.42M","-2.14%"
"Feb 01, 2019","6.734","6.804","6.826","6.686","4.37M","-1.09%"
"Jan 31, 2019","6.808","6.982","7.018","6.782","3.71M","-2.38%"
"Jan 30, 2019","6.974","7.022","7.034","6.936","1.83M","-0.68%"
"Jan 29, 2019","7.022","7.060","7.060","6.964","2.30M","-0.34%"
"Jan 28, 2019","7.046","7.240","7.250","7.046","2.96M","-3.48%"
"Jan 25, 2019","7.300","7.404","7.404","7.246","2.73M","0.36%"
"Jan 24, 2019","7.274","7.346","7.478","7.194","4.01M","1.37%"
"Jan 23, 2019","7.176","6.984","7.270","6.984","2.42M","2.19%"
"Jan 22, 2019","7.022","6.980","7.050","6.934","2.71M","-0.26%"
"Jan 21, 2019","7.040","7.094","7.108","6.994","1.84M","-1.04%"
"Jan 18, 2019","7.114","7.074","7.142","7.044","3.07M","1.74%"
"Jan 17, 2019","6.992","7.040","7.094","6.992","1.59M","-1.49%"
"Jan 16, 2019","7.098","6.922","7.104","6.910","3.21M","3.20%"
"Jan 15, 2019","6.878","6.850","6.926","6.846","1.43M","1.03%"
"Jan 14, 2019","6.808","6.830","6.842","6.744","1.87M","-0.53%"
"Jan 11, 2019","6.844","6.984","7.004","6.836","2.51M","-2.23%"
"Jan 10, 2019","7.000","7.050","7.110","6.968","2.00M","-1.16%"
"Jan 09, 2019","7.082","7.280","7.314","7.058","1.87M","-2.13%"
"Jan 08, 2019","7.236","7.150","7.304","7.150","2.49M","1.15%"
"Jan 07, 2019","7.154","7.154","7.206","7.092","2.66M","-0.06%"
"Jan 04, 2019","7.158","6.990","7.190","6.976","1.73M","3.11%"
"Jan 03, 2019","6.942","6.930","7.020","6.880","2.14M","-0.54%"
"Jan 02, 2019","6.980","6.940","7.012","6.800","1.22M","-0.54%"
"Dec 31, 2018","7.018","6.894","7.018","6.856","723.18K","2.24%"
"Dec 28, 2018","6.864","6.772","6.890","6.772","1.89M","1.75%"
"Dec 27, 2018","6.746","6.978","6.978","6.702","2.34M","-1.92%"
"Dec 24, 2018","6.878","6.898","6.958","6.854","538.13K","-1.21%"
"Dec 21, 2018","6.962","7.100","7.136","6.802","4.22M","-1.89%"
"Dec 20, 2018","7.096","7.088","7.172","7.026","2.31M","-0.81%"
"Dec 19, 2018","7.154","7.170","7.266","7.154","2.50M","0.22%"
"Dec 18, 2018","7.138","7.286","7.358","7.138","2.46M","-2.22%"
"Dec 17, 2018","7.300","7.326","7.370","7.298","1.93M","-0.35%"
"Dec 14, 2018","7.326","7.264","7.342","7.132","2.89M","0.03%"
"Dec 13, 2018","7.324","7.322","7.400","7.282","3.48M","1.13%"
"Dec 12, 2018","7.242","7.100","7.252","7.100","2.03M","2.43%"
"Dec 11, 2018","7.070","7.086","7.194","7.028","2.22M","0.23%"
"Dec 10, 2018","7.054","7.078","7.162","7.044","2.34M","-0.51%"
"Dec 07, 2018","7.090","7.154","7.218","7.090","1.49M","-0.34%"
"Dec 06, 2018","7.114","7.220","7.248","7.058","3.29M","-2.63%"
"Dec 05, 2018","7.306","7.244","7.364","7.210","1.63M","-0.03%"
"Dec 04, 2018","7.308","7.468","7.522","7.308","2.09M","-2.72%"
"Dec 03, 2018","7.512","7.488","7.534","7.424","2.09M","1.79%"
"Nov 30, 2018","7.380","7.420","7.440","7.370","3.47M","-0.46%"
"Nov 29, 2018","7.414","7.500","7.560","7.400","2.13M","-0.88%"
"Nov 28, 2018","7.480","7.518","7.550","7.460","1.14M","-0.35%"
"Nov 27, 2018","7.506","7.540","7.604","7.454","1.56M","-0.69%"
"Nov 26, 2018","7.558","7.458","7.628","7.458","1.95M","1.61%"
"Nov 23, 2018","7.438","7.412","7.468","7.400","1.59M","0.49%"
"Nov 22, 2018","7.402","7.440","7.482","7.402","1.53M","-1.28%"
"Nov 21, 2018","7.498","7.550","7.564","7.426","1.57M","0.08%"
"Nov 20, 2018","7.492","7.640","7.658","7.472","2.00M","-1.94%"
"Nov 19, 2018","7.640","7.690","7.790","7.640","1.65M","-0.57%"
"Nov 16, 2018","7.684","7.630","7.718","7.546","2.68M","1.29%"
"Nov 15, 2018","7.586","7.550","7.626","7.500","1.43M","0.61%"
"Nov 14, 2018","7.540","7.548","7.588","7.476","1.50M","-0.74%"
"Nov 13, 2018","7.596","7.530","7.622","7.496","1.29M","0.90%"
"Nov 12, 2018","7.528","7.580","7.580","7.500","1.07M","-0.26%"
"Nov 09, 2018","7.548","7.448","7.560","7.440","1.65M","0.08%"
"Nov 08, 2018","7.542","7.522","7.558","7.480","1.43M","0.29%"
"Nov 07, 2018","7.520","7.750","7.750","7.476","3.75M","2.42%"
"Nov 06, 2018","7.342","7.414","7.422","7.226","1.89M","-1.05%"
"Nov 05, 2018","7.420","7.390","7.474","7.376","1.26M","0.35%"
"Nov 02, 2018","7.394","7.422","7.462","7.320","2.84M","0.74%"
