"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","2.800","2.790","2.800","2.760","8.84M","0.00%"
"Dec 30, 2019","2.800","2.820","2.830","2.800","17.97M","-0.71%"
"Dec 27, 2019","2.820","2.830","2.870","2.820","7.22M","-0.35%"
"Dec 24, 2019","2.830","2.830","2.840","2.820","2.69M","0.00%"
"Dec 23, 2019","2.830","2.850","2.870","2.820","7.97M","-1.39%"
"Dec 20, 2019","2.870","2.850","2.870","2.830","25.42M","0.35%"
"Dec 19, 2019","2.860","2.810","2.860","2.810","23.07M","1.42%"
"Dec 18, 2019","2.820","2.770","2.820","2.770","14.05M","1.81%"
"Dec 17, 2019","2.770","2.780","2.790","2.750","8.98M","-0.72%"
"Dec 16, 2019","2.790","2.770","2.810","2.760","11.34M","1.45%"
"Dec 13, 2019","2.750","2.830","2.880","2.750","20.74M","-0.72%"
"Dec 12, 2019","2.770","2.660","2.780","2.650","21.75M","4.53%"
"Dec 11, 2019","2.650","2.650","2.680","2.650","13.49M","-0.75%"
"Dec 10, 2019","2.670","2.720","2.720","2.660","16.08M","-1.84%"
"Dec 09, 2019","2.720","2.730","2.760","2.720","8.28M","-1.09%"
"Dec 06, 2019","2.750","2.740","2.770","2.710","10.94M","1.10%"
"Dec 05, 2019","2.720","2.730","2.770","2.720","12.92M","-0.37%"
"Dec 04, 2019","2.730","2.650","2.730","2.650","13.04M","3.02%"
"Dec 03, 2019","2.650","2.680","2.690","2.630","12.12M","-0.38%"
"Dec 02, 2019","2.660","2.690","2.760","2.660","16.56M","-0.75%"
"Nov 29, 2019","2.680","2.680","2.700","2.660","10.83M","0.00%"
"Nov 28, 2019","2.680","2.710","2.720","2.680","6.35M","-1.47%"
"Nov 27, 2019","2.720","2.690","2.720","2.670","10.52M","1.87%"
"Nov 26, 2019","2.670","2.690","2.690","2.650","15.04M","-0.37%"
"Nov 25, 2019","2.680","2.710","2.720","2.670","10.66M","-0.37%"
"Nov 22, 2019","2.690","2.680","2.710","2.670","16.40M","0.75%"
"Nov 21, 2019","2.670","2.620","2.670","2.620","9.47M","0.75%"
"Nov 20, 2019","2.650","2.650","2.650","2.610","8.72M","-0.38%"
"Nov 19, 2019","2.660","2.660","2.700","2.650","11.72M","0.76%"
"Nov 18, 2019","2.640","2.640","2.670","2.610","11.85M","0.38%"
"Nov 15, 2019","2.630","2.620","2.650","2.590","13.03M","1.54%"
"Nov 14, 2019","2.590","2.600","2.620","2.560","23.71M","0.00%"
"Nov 13, 2019","2.590","2.630","2.630","2.550","24.90M","-2.26%"
"Nov 12, 2019","2.650","2.780","2.800","2.640","27.17M","-3.99%"
"Nov 11, 2019","2.760","2.770","2.790","2.730","22.75M","-1.08%"
"Nov 08, 2019","2.790","2.780","2.810","2.740","16.33M","-0.36%"
"Nov 07, 2019","2.800","2.740","2.810","2.740","20.21M","2.56%"
"Nov 06, 2019","2.730","2.780","2.810","2.710","16.87M","-1.44%"
"Nov 05, 2019","2.770","2.700","2.790","2.690","24.68M","2.97%"
"Nov 04, 2019","2.690","2.660","2.700","2.650","15.80M","1.51%"
"Nov 01, 2019","2.650","2.570","2.670","2.570","19.23M","3.52%"
"Oct 31, 2019","2.560","2.560","2.570","2.480","20.28M","2.40%"
"Oct 30, 2019","2.500","2.530","2.550","2.470","12.12M","-1.19%"
"Oct 29, 2019","2.530","2.550","2.550","2.500","12.77M","-0.39%"
"Oct 28, 2019","2.540","2.560","2.570","2.530","13.14M","-0.39%"
"Oct 25, 2019","2.550","2.540","2.570","2.530","11.54M","0.39%"
"Oct 24, 2019","2.540","2.600","2.610","2.530","13.37M","-1.93%"
"Oct 23, 2019","2.590","2.560","2.600","2.540","17.53M","1.17%"
"Oct 22, 2019","2.560","2.650","2.670","2.560","20.62M","-3.40%"
"Oct 21, 2019","2.650","2.590","2.670","2.580","17.88M","3.52%"
"Oct 18, 2019","2.560","2.560","2.600","2.540","22.85M","-0.78%"
"Oct 17, 2019","2.580","2.600","2.670","2.570","19.53M","-1.53%"
"Oct 16, 2019","2.620","2.560","2.640","2.530","25.70M","1.55%"
"Oct 15, 2019","2.580","2.540","2.580","2.510","17.65M","2.38%"
"Oct 14, 2019","2.520","2.500","2.520","2.460","17.47M","-0.40%"
"Oct 11, 2019","2.530","2.410","2.530","2.410","28.67M","5.42%"
"Oct 10, 2019","2.400","2.300","2.410","2.300","15.07M","4.35%"
"Oct 09, 2019","2.300","2.290","2.320","2.280","8.99M","0.44%"
"Oct 08, 2019","2.290","2.350","2.360","2.260","10.46M","-1.72%"
"Oct 07, 2019","2.330","2.290","2.330","2.260","12.93M","1.75%"
"Oct 04, 2019","2.290","2.310","2.310","2.270","12.82M","-0.43%"
"Oct 03, 2019","2.300","2.290","2.310","2.260","14.45M","0.00%"
"Oct 02, 2019","2.300","2.350","2.380","2.300","16.10M","-2.95%"
"Oct 01, 2019","2.370","2.430","2.450","2.370","17.51M","-1.66%"
"Sep 30, 2019","2.410","2.410","2.440","2.400","16.08M","0.42%"
"Sep 27, 2019","2.400","2.370","2.420","2.350","13.39M","1.27%"
"Sep 26, 2019","2.370","2.360","2.370","2.330","15.95M","0.00%"
"Sep 25, 2019","2.370","2.330","2.370","2.290","16.61M","0.85%"
"Sep 24, 2019","2.350","2.350","2.390","2.340","13.06M","0.00%"
"Sep 23, 2019","2.350","2.380","2.390","2.320","15.17M","-2.08%"
"Sep 20, 2019","2.400","2.380","2.400","2.360","34.13M","0.42%"
"Sep 19, 2019","2.390","2.310","2.400","2.300","22.92M","3.91%"
"Sep 18, 2019","2.300","2.300","2.330","2.280","21.74M","0.44%"
"Sep 17, 2019","2.290","2.380","2.390","2.290","26.14M","-3.78%"
"Sep 16, 2019","2.380","2.390","2.410","2.340","27.28M","-0.83%"
"Sep 13, 2019","2.400","2.250","2.410","2.250","33.30M","7.14%"
"Sep 12, 2019","2.240","2.270","2.300","2.170","30.27M","-0.88%"
"Sep 11, 2019","2.260","2.290","2.330","2.250","28.31M","-0.44%"
"Sep 10, 2019","2.270","2.210","2.270","2.090","45.12M","2.71%"
"Sep 09, 2019","2.210","2.150","2.210","2.150","20.29M","3.27%"
"Sep 06, 2019","2.140","2.150","2.190","2.120","16.79M","-0.93%"
"Sep 05, 2019","2.160","2.070","2.160","2.070","23.91M","5.37%"
"Sep 04, 2019","2.050","2.050","2.060","2.040","11.46M","1.49%"
"Sep 03, 2019","2.020","2.010","2.040","1.990","17.17M","0.00%"
"Sep 02, 2019","2.020","2.050","2.060","2.020","6.91M","-1.94%"
"Aug 30, 2019","2.060","2.080","2.100","2.050","9.92M","-0.96%"
"Aug 29, 2019","2.080","2.040","2.100","2.040","9.25M","1.46%"
"Aug 28, 2019","2.050","2.050","2.060","2.040","12.12M","0.00%"
"Aug 27, 2019","2.050","2.040","2.070","2.040","12.51M","0.49%"
"Aug 26, 2019","2.040","2.020","2.060","2.010","6.67M","0.49%"
"Aug 23, 2019","2.030","2.090","2.100","2.030","11.28M","-1.46%"
"Aug 22, 2019","2.060","2.000","2.090","2.000","12.76M","3.00%"
"Aug 21, 2019","2.000","2.020","2.040","2.000","7.83M","-0.99%"
"Aug 20, 2019","2.020","2.060","2.070","2.010","11.88M","-2.42%"
