"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","21.080","21.180","21.380","21.000","67.28K","-2.04%"
"Dec 30, 2019","21.520","21.600","21.640","21.400","286.25K","-0.46%"
"Dec 27, 2019","21.620","21.800","21.800","21.520","112.30K","0.56%"
"Dec 24, 2019","21.500","21.500","21.700","21.500","36.08K","-0.46%"
"Dec 23, 2019","21.600","21.460","21.640","21.440","204.66K","0.75%"
"Dec 20, 2019","21.440","21.700","21.920","21.280","233.84K","-0.65%"
"Dec 19, 2019","21.580","21.760","21.840","21.520","104.24K","-1.01%"
"Dec 18, 2019","21.800","21.980","21.980","21.540","142.05K","-0.37%"
"Dec 17, 2019","21.880","22.000","22.240","21.860","122.45K","-0.55%"
"Dec 16, 2019","22.000","22.280","22.280","21.940","133.50K","-0.18%"
"Dec 13, 2019","22.040","21.820","22.280","21.760","327.28K","2.80%"
"Dec 12, 2019","21.440","21.100","21.540","20.840","202.56K","2.29%"
"Dec 11, 2019","20.960","20.900","21.260","20.800","167.10K","-0.57%"
"Dec 10, 2019","21.080","21.340","21.340","20.720","326.78K","-0.94%"
"Dec 09, 2019","21.280","21.600","21.740","21.280","103.02K","-1.30%"
"Dec 06, 2019","21.560","21.360","21.640","21.240","148.89K","1.32%"
"Dec 05, 2019","21.280","21.420","21.600","21.280","264.20K","-0.56%"
"Dec 04, 2019","21.400","21.500","21.800","21.280","222.43K","0.28%"
"Dec 03, 2019","21.340","21.500","21.620","21.060","455.77K","-0.56%"
"Dec 02, 2019","21.460","21.960","22.260","21.420","170.94K","-1.92%"
"Nov 29, 2019","21.880","21.800","22.300","21.760","157.13K","-0.55%"
"Nov 28, 2019","22.000","22.120","22.160","21.860","175.86K","-0.81%"
"Nov 27, 2019","22.180","22.420","22.560","22.120","121.06K","-0.54%"
"Nov 26, 2019","22.300","22.100","22.420","21.940","210.78K","0.27%"
"Nov 25, 2019","22.240","21.900","22.260","21.900","221.46K","2.11%"
"Nov 22, 2019","21.780","21.460","22.000","21.420","251.10K","1.49%"
"Nov 21, 2019","21.460","22.020","22.020","21.280","676.83K","-2.90%"
"Nov 20, 2019","22.100","22.280","22.360","21.940","150.84K","-0.99%"
"Nov 19, 2019","22.320","22.280","22.880","22.160","254.33K","0.45%"
"Nov 18, 2019","22.220","22.960","23.000","22.080","305.83K","-3.39%"
"Nov 15, 2019","23.000","22.560","23.080","22.520","191.64K","2.13%"
"Nov 14, 2019","22.520","22.340","22.760","22.020","146.57K","0.54%"
"Nov 13, 2019","22.400","22.700","22.700","21.900","161.47K","-1.23%"
"Nov 12, 2019","22.680","23.260","23.340","22.540","147.60K","-1.48%"
"Nov 11, 2019","23.020","22.920","23.140","22.740","129.57K","-0.17%"
"Nov 08, 2019","23.060","23.300","23.300","22.880","178.15K","-1.03%"
"Nov 07, 2019","23.300","23.140","23.440","23.120","166.92K","1.13%"
"Nov 06, 2019","23.040","22.920","23.280","22.860","185.01K","0.17%"
"Nov 05, 2019","23.000","22.400","23.000","22.160","257.25K","2.59%"
"Nov 04, 2019","22.420","21.660","22.440","21.600","299.22K","4.09%"
"Nov 01, 2019","21.540","22.420","22.460","21.420","252.80K","-3.49%"
"Oct 31, 2019","22.320","22.280","22.540","21.560","157.17K","1.09%"
"Oct 30, 2019","22.080","22.960","22.960","22.020","130.07K","-3.83%"
"Oct 29, 2019","22.960","22.860","23.120","22.720","143.33K","0.35%"
"Oct 28, 2019","22.880","22.500","22.960","22.460","135.14K","1.42%"
"Oct 25, 2019","22.560","22.200","22.560","22.140","136.30K","1.26%"
"Oct 24, 2019","22.280","22.440","22.640","22.240","155.35K","0.18%"
