"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","35.77","35.88","36.24","35.28","237.65K","0.84%"
"Dec 30, 2019","35.48","36.50","36.50","35.48","670.05K","-2.74%"
"Dec 27, 2019","36.47","36.00","36.47","35.55","1.50M","1.88%"
"Dec 24, 2019","35.80","35.99","35.99","35.60","168.79K","-0.31%"
"Dec 23, 2019","35.91","35.30","35.91","35.21","759.46K","1.77%"
"Dec 20, 2019","35.29","34.68","35.29","34.53","1.64M","2.16%"
"Dec 19, 2019","34.54","34.80","34.82","34.18","1.33M","-0.72%"
"Dec 18, 2019","34.80","34.87","35.38","34.77","890.42K","-0.27%"
"Dec 17, 2019","34.89","35.45","35.61","34.75","896.05K","-1.34%"
"Dec 16, 2019","35.36","35.24","35.57","35.04","510.19K","0.74%"
"Dec 13, 2019","35.10","35.91","35.99","34.69","2.13M","-1.47%"
"Dec 12, 2019","35.63","36.44","36.72","35.63","1.98M","-1.82%"
"Dec 11, 2019","36.29","36.03","36.39","35.85","483.92K","0.72%"
"Dec 10, 2019","36.03","36.39","36.39","35.88","1.57M","-1.00%"
"Dec 09, 2019","36.39","36.68","36.84","36.16","1.00M","-0.76%"
"Dec 06, 2019","36.67","36.23","36.95","35.98","701.00K","1.47%"
"Dec 05, 2019","36.14","36.22","36.67","35.77","2.46M","-0.39%"
"Dec 04, 2019","36.28","36.18","36.53","35.95","2.00M","0.57%"
"Dec 03, 2019","36.07","35.83","36.31","35.74","2.22M","1.18%"
"Dec 02, 2019","35.65","36.43","36.53","35.51","2.09M","-1.95%"
"Nov 29, 2019","36.36","36.34","36.45","35.96","1.02M","0.33%"
"Nov 28, 2019","36.24","36.73","36.75","36.18","366.39K","-1.14%"
"Nov 27, 2019","36.66","36.69","37.11","36.28","792.94K","0.15%"
"Nov 26, 2019","36.60","35.06","36.68","35.06","2.78M","4.33%"
"Nov 25, 2019","35.08","35.04","35.34","34.78","1.92M","0.61%"
"Nov 22, 2019","34.87","35.43","35.44","34.87","540.53K","-1.32%"
"Nov 21, 2019","35.34","35.22","35.79","35.17","819.56K","-0.13%"
"Nov 20, 2019","35.38","34.52","35.55","34.39","891.35K","2.79%"
"Nov 19, 2019","34.42","35.30","35.72","34.19","1.02M","-2.15%"
"Nov 18, 2019","35.18","35.43","35.43","34.37","819.09K","-0.55%"
"Nov 15, 2019","35.37","33.97","35.57","33.97","1.65M","4.35%"
"Nov 14, 2019","33.90","34.34","34.69","33.84","791.24K","-1.28%"
