"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","11.360","11.200","11.450","11.190","198.96K","-0.09%"
"Dec 30, 2019","11.370","11.540","11.540","11.350","331.63K","-1.39%"
"Dec 27, 2019","11.530","11.410","11.530","11.380","423.10K","1.77%"
"Dec 24, 2019","11.330","11.360","11.380","11.270","184.25K","0.00%"
"Dec 23, 2019","11.330","11.260","11.330","11.180","635.85K","1.43%"
"Dec 20, 2019","11.170","11.360","11.430","11.170","2.54M","-1.50%"
"Dec 19, 2019","11.340","11.230","11.410","11.160","688.70K","1.25%"
"Dec 18, 2019","11.200","11.150","11.200","11.120","686.36K","0.54%"
"Dec 17, 2019","11.140","11.270","11.320","11.130","748.57K","-1.15%"
"Dec 16, 2019","11.270","11.280","11.320","11.200","488.60K","0.45%"
"Dec 13, 2019","11.220","11.190","11.270","11.160","566.23K","0.81%"
"Dec 12, 2019","11.130","11.490","11.490","11.130","580.04K","-2.71%"
"Dec 11, 2019","11.440","11.600","11.600","11.380","427.32K","-1.04%"
"Dec 10, 2019","11.560","11.560","11.640","11.460","424.39K","0.43%"
"Dec 09, 2019","11.510","11.580","11.590","11.490","315.00K","-0.86%"
"Dec 06, 2019","11.610","11.330","11.640","11.330","621.33K","2.47%"
"Dec 05, 2019","11.330","11.320","11.450","11.320","308.23K","-0.09%"
"Dec 04, 2019","11.340","11.330","11.380","11.280","456.43K","0.62%"
"Dec 03, 2019","11.270","11.240","11.400","11.240","720.56K","0.09%"
"Dec 02, 2019","11.260","11.420","11.530","11.260","540.16K","-1.66%"
"Nov 29, 2019","11.450","11.500","11.570","11.430","443.94K","-0.35%"
"Nov 28, 2019","11.490","11.500","11.590","11.430","370.46K","-0.26%"
"Nov 27, 2019","11.520","11.600","11.610","11.480","379.94K","0.09%"
"Nov 26, 2019","11.510","11.410","11.590","11.360","648.92K","0.79%"
"Nov 25, 2019","11.420","11.430","11.540","11.370","459.64K","0.09%"
"Nov 22, 2019","11.410","11.500","11.590","11.410","592.72K","-0.87%"
"Nov 21, 2019","11.510","11.630","11.680","11.470","535.85K","-1.29%"
"Nov 20, 2019","11.660","11.900","11.950","11.620","512.25K","-2.02%"
"Nov 19, 2019","11.900","11.860","11.940","11.810","376.40K","0.08%"
"Nov 18, 2019","11.890","11.740","11.900","11.700","1.36M","1.45%"
"Nov 15, 2019","11.720","11.600","11.830","11.570","505.29K","1.12%"
"Nov 14, 2019","11.590","11.720","11.770","11.520","564.78K","-0.43%"
"Nov 13, 2019","11.640","11.630","11.700","11.550","809.59K","-0.17%"
"Nov 12, 2019","11.660","11.700","11.800","11.650","1.52M","0.00%"
"Nov 11, 2019","11.660","11.570","11.700","11.560","446.46K","0.43%"
"Nov 08, 2019","11.610","11.550","11.640","11.550","720.28K","0.43%"
"Nov 07, 2019","11.560","11.450","11.590","11.360","812.47K","0.78%"
"Nov 06, 2019","11.470","11.370","11.500","11.240","1.80M","0.97%"
"Nov 05, 2019","11.360","11.490","11.490","11.300","526.05K","-1.05%"
"Nov 04, 2019","11.480","11.360","11.560","11.360","666.91K","0.44%"
"Nov 01, 2019","11.430","11.630","11.690","11.430","336.75K","-1.30%"
"Oct 31, 2019","11.580","11.600","11.630","11.520","547.36K","0.17%"
"Oct 30, 2019","11.560","11.510","11.560","11.460","619.05K","0.52%"
"Oct 29, 2019","11.500","11.460","11.520","11.440","608.61K","0.00%"
