"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","23.790","24.200","24.200","23.730","676.46K","-2.38%"
"Dec 30, 2019","24.370","24.820","24.850","24.300","962.33K","-4.39%"
"Dec 27, 2019","25.490","25.440","25.570","25.260","1.86M","1.15%"
"Dec 24, 2019","25.200","25.130","25.250","24.970","371.93K","0.24%"
"Dec 23, 2019","25.140","24.880","25.140","24.750","1.32M","1.09%"
"Dec 20, 2019","24.870","24.630","24.870","24.530","4.12M","1.51%"
"Dec 19, 2019","24.500","24.470","24.550","24.380","3.65M","0.49%"
"Dec 18, 2019","24.380","24.600","24.750","24.380","1.03M","-0.69%"
"Dec 17, 2019","24.550","24.650","24.750","24.470","1.24M","-0.20%"
"Dec 16, 2019","24.600","24.430","24.650","24.410","1.30M","1.32%"
"Dec 13, 2019","24.280","24.300","24.350","24.100","1.17M","0.58%"
"Dec 12, 2019","24.140","24.390","24.480","24.140","1.67M","-0.62%"
"Dec 11, 2019","24.290","24.230","24.390","24.170","1.25M","0.21%"
"Dec 10, 2019","24.240","24.270","24.340","24.030","3.04M","-0.16%"
"Dec 09, 2019","24.280","24.300","24.370","24.140","1.70M","-0.25%"
"Dec 06, 2019","24.340","24.220","24.400","24.100","717.84K","0.70%"
"Dec 05, 2019","24.170","24.230","24.420","24.160","1.18M","-0.25%"
"Dec 04, 2019","24.230","24.000","24.310","23.900","940.82K","1.13%"
"Dec 03, 2019","23.960","23.990","24.160","23.840","2.58M","0.13%"
"Dec 02, 2019","23.930","24.780","24.780","23.880","1.33M","-3.04%"
"Nov 29, 2019","24.680","24.700","24.790","24.540","996.10K","-0.08%"
"Nov 28, 2019","24.700","24.670","24.920","24.600","1.36M","0.57%"
"Nov 27, 2019","24.560","24.600","24.670","24.410","1.44M","0.78%"
"Nov 26, 2019","24.370","24.600","24.600","24.300","4.72M","-1.02%"
"Nov 25, 2019","24.620","24.350","24.750","24.230","1.71M","1.69%"
"Nov 22, 2019","24.210","24.190","24.450","24.130","734.54K","-0.16%"
"Nov 21, 2019","24.250","24.280","24.450","24.140","909.90K","-0.25%"
"Nov 20, 2019","24.310","24.320","24.430","24.220","918.38K","-0.16%"
"Nov 19, 2019","24.350","24.100","24.500","24.100","1.16M","0.66%"
"Nov 18, 2019","24.190","23.690","24.240","23.620","1.32M","2.11%"
"Nov 15, 2019","23.690","23.410","23.830","23.400","1.96M","1.20%"
"Nov 14, 2019","23.410","23.800","23.920","23.390","827.17K","-1.14%"
"Nov 13, 2019","23.680","23.710","23.900","23.350","1.25M","-0.29%"
"Nov 12, 2019","23.750","23.880","23.950","23.700","1.07M","-0.63%"
"Nov 11, 2019","23.900","23.860","23.960","23.770","877.95K","-0.04%"
"Nov 08, 2019","23.910","23.650","24.000","23.640","1.09M","1.06%"
"Nov 07, 2019","23.660","24.060","24.150","23.630","1.16M","-1.54%"
"Nov 06, 2019","24.030","23.930","24.100","23.720","1.09M","-0.17%"
"Nov 05, 2019","24.070","24.200","24.260","23.710","1.83M","-0.82%"
"Nov 04, 2019","24.270","24.330","24.470","24.220","975.49K","0.08%"
"Nov 01, 2019","24.250","24.410","24.440","23.970","761.74K","-0.61%"
