"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","22.740","23.040","23.110","22.690","504.11K","-1.98%"
"Dec 30, 2019","23.200","23.280","23.350","23.010","599.74K","-0.77%"
"Dec 27, 2019","23.380","23.400","23.430","23.270","870.16K","-0.09%"
"Dec 24, 2019","23.400","23.250","23.410","23.020","418.63K","0.69%"
"Dec 23, 2019","23.240","23.110","23.380","22.900","3.19M","0.74%"
"Dec 20, 2019","23.070","22.500","23.280","22.440","26.61M","2.67%"
"Dec 19, 2019","22.470","21.930","22.500","21.800","2.96M","0.04%"
"Dec 18, 2019","22.460","22.650","22.900","22.460","3.79M","-0.62%"
"Dec 17, 2019","22.600","22.500","22.740","22.240","1.18M","-0.04%"
"Dec 16, 2019","22.610","22.400","22.620","22.330","954.83K","1.57%"
"Dec 13, 2019","22.260","22.600","22.750","22.230","1.37M","-0.49%"
"Dec 12, 2019","22.370","22.680","22.690","22.220","1.13M","-1.41%"
"Dec 11, 2019","22.690","22.500","22.790","22.410","759.84K","0.62%"
"Dec 10, 2019","22.550","22.500","22.620","22.400","569.65K","0.22%"
"Dec 09, 2019","22.500","22.710","22.770","22.380","777.32K","-1.14%"
"Dec 06, 2019","22.760","22.540","22.890","22.490","1.61M","1.11%"
"Dec 05, 2019","22.510","22.360","22.560","22.350","1.93M","0.76%"
"Dec 04, 2019","22.340","22.330","22.370","22.170","4.07M","0.40%"
"Dec 03, 2019","22.250","22.060","22.400","22.060","934.70K","0.86%"
"Dec 02, 2019","22.060","22.610","22.610","22.060","1.26M","-2.43%"
"Nov 29, 2019","22.610","22.500","22.840","22.400","1.05M","0.40%"
"Nov 28, 2019","22.520","22.550","22.670","22.450","1.02M","0.18%"
"Nov 27, 2019","22.480","22.870","22.870","22.470","1.20M","-0.57%"
"Nov 26, 2019","22.610","22.790","22.950","22.610","1.96M","-1.22%"
"Nov 25, 2019","22.890","22.960","23.130","22.790","770.04K","0.70%"
"Nov 22, 2019","22.730","22.760","22.940","22.630","895.87K","-0.04%"
"Nov 21, 2019","22.740","22.710","23.040","22.560","771.19K","-0.13%"
"Nov 20, 2019","22.770","22.920","22.960","22.580","838.53K","-0.57%"
"Nov 19, 2019","22.900","23.000","23.250","22.900","807.71K","-0.78%"
"Nov 18, 2019","23.080","22.650","23.130","22.650","928.81K","1.50%"
"Nov 15, 2019","22.740","22.650","22.750","22.450","890.33K","0.49%"
"Nov 14, 2019","22.630","22.720","22.780","22.560","494.33K","-0.04%"
"Nov 13, 2019","22.640","22.350","22.780","22.300","1.24M","0.18%"
"Nov 12, 2019","22.600","22.950","23.120","22.410","1.34M","-1.61%"
"Nov 11, 2019","22.970","23.080","23.160","22.720","2.28M","-0.30%"
"Nov 08, 2019","23.040","23.100","23.240","22.950","1.09M","0.04%"
"Nov 07, 2019","23.030","22.880","23.180","22.700","1.69M","2.36%"
"Nov 06, 2019","22.500","22.120","22.670","21.970","958.37K","1.58%"
"Nov 05, 2019","22.150","21.950","22.180","21.780","1.18M","0.77%"
"Nov 04, 2019","21.980","22.020","22.450","21.770","1.34M","0.23%"
"Nov 01, 2019","21.930","22.270","22.320","21.840","870.23K","-1.17%"
"Oct 31, 2019","22.190","21.750","23.060","21.750","3.41M","5.52%"
"Oct 30, 2019","21.030","20.950","21.030","20.750","890.66K","0.19%"
"Oct 29, 2019","20.990","20.970","20.990","20.620","1.98M","0.00%"
"Oct 28, 2019","20.990","20.930","21.050","20.800","764.34K","0.57%"
"Oct 25, 2019","20.870","21.050","21.210","20.830","1.07M","-0.86%"
"Oct 24, 2019","21.050","20.960","21.130","20.870","672.88K","0.91%"
"Oct 23, 2019","20.860","20.720","20.960","20.720","1.18M","0.77%"
"Oct 22, 2019","20.700","20.640","20.750","20.360","810.70K","1.17%"
"Oct 21, 2019","20.460","20.400","20.610","20.290","1.05M","0.54%"
"Oct 18, 2019","20.350","20.270","20.450","20.210","1.87M","0.25%"
"Oct 17, 2019","20.300","20.770","20.890","20.300","1.63M","-1.93%"
"Oct 16, 2019","20.700","20.800","20.890","20.590","1.21M","0.15%"
"Oct 15, 2019","20.670","20.850","20.850","20.410","1.05M","-0.19%"
