"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","26.616","26.202","26.616","26.152","1.14M","0.86%"
"Dec 30, 2019","26.389","26.695","26.695","26.320","714.45K","-1.47%"
"Dec 27, 2019","26.784","26.991","26.991","26.596","993.26K","-0.15%"
"Dec 24, 2019","26.823","26.646","26.991","26.290","879.86K","0.55%"
"Dec 23, 2019","26.675","26.350","26.853","26.330","1.53M","0.93%"
"Dec 20, 2019","26.429","26.488","26.567","26.202","4.58M","-0.07%"
"Dec 19, 2019","26.448","26.656","26.754","26.379","3.96M","-0.92%"
"Dec 18, 2019","26.695","26.774","27.060","26.616","1.64M","-0.26%"
"Dec 17, 2019","26.764","26.804","26.853","26.448","3.89M","-0.33%"
"Dec 16, 2019","26.853","26.547","26.912","26.419","3.31M","0.11%"
"Dec 13, 2019","26.823","27.119","27.179","26.744","1.16M","0.07%"
"Dec 12, 2019","26.804","26.744","27.169","26.705","5.63M","0.44%"
"Dec 11, 2019","26.685","26.774","26.843","26.547","867.12K","-0.33%"
"Dec 10, 2019","26.774","26.675","26.863","26.369","824.79K","0.07%"
"Dec 09, 2019","26.754","26.517","26.833","26.399","1.30M","1.27%"
"Dec 06, 2019","26.419","26.241","26.478","26.093","1.00M","0.71%"
"Dec 05, 2019","26.231","26.300","26.429","26.231","3.59M","-0.23%"
"Dec 04, 2019","26.290","25.817","26.389","25.797","2.53M","2.54%"
"Dec 03, 2019","25.639","25.688","26.103","25.639","1.93M","0.12%"
"Dec 02, 2019","25.610","26.517","26.636","25.531","3.68M","-3.71%"
"Nov 29, 2019","26.596","26.527","26.725","26.409","863.01K","-0.11%"
"Nov 28, 2019","26.626","26.429","26.626","26.261","2.65M","0.71%"
"Nov 27, 2019","26.439","26.261","26.527","26.103","1.39M","0.68%"
"Nov 26, 2019","26.261","26.064","26.320","25.807","2.60M","0.60%"
"Nov 25, 2019","26.103","25.955","26.133","25.797","1.47M","1.22%"
"Nov 22, 2019","25.787","26.073","26.133","25.738","1.64M","-0.87%"
"Nov 21, 2019","26.014","26.103","26.162","25.777","998.32K","-0.60%"
"Nov 20, 2019","26.172","26.004","26.389","25.965","2.07M","0.23%"
"Nov 19, 2019","26.113","25.866","26.290","25.846","1.11M","1.15%"
"Nov 18, 2019","25.817","25.688","25.896","25.550","1.64M","0.11%"
"Nov 15, 2019","25.787","25.619","25.846","25.570","3.58M","0.77%"
"Nov 14, 2019","25.590","25.688","25.886","25.452","756.63K","-0.23%"
"Nov 13, 2019","25.649","25.758","25.807","25.432","1.81M","-0.46%"
"Nov 12, 2019","25.767","25.876","25.915","25.619","3.16M","-0.08%"
"Nov 11, 2019","25.787","25.649","25.807","25.610","1.19M","0.08%"
"Nov 08, 2019","25.767","25.422","25.767","25.284","1.32M","1.01%"
"Nov 07, 2019","25.511","26.073","26.083","25.452","2.86M","-1.75%"
"Nov 06, 2019","25.965","26.142","26.182","25.590","1.06M","-1.19%"
"Nov 05, 2019","26.277","26.414","26.492","26.267","2.19M","-0.56%"
"Nov 04, 2019","26.424","26.551","26.590","26.346","2.26M","0.00%"
"Nov 01, 2019","26.424","25.876","26.482","25.876","1.76M","2.08%"
"Oct 31, 2019","25.886","25.729","25.915","25.651","1.53M","0.80%"
"Oct 30, 2019","25.680","25.729","25.905","25.563","1.78M","0.19%"
"Oct 29, 2019","25.631","25.729","25.778","25.357","8.94M","-0.49%"
"Oct 28, 2019","25.759","25.622","25.827","25.397","2.08M","0.30%"
"Oct 25, 2019","25.680","25.367","25.759","25.367","4.32M","1.23%"
"Oct 24, 2019","25.367","25.318","25.416","25.269","2.43M","0.12%"
"Oct 23, 2019","25.338","25.504","25.661","25.240","3.83M","-1.37%"
"Oct 22, 2019","25.690","25.485","25.856","25.406","1.95M","0.19%"
"Oct 21, 2019","25.641","25.534","25.788","25.299","2.52M","0.81%"
"Oct 18, 2019","25.436","25.426","25.553","25.191","1.29M","0.12%"
"Oct 17, 2019","25.406","24.947","25.475","24.780","1.41M","1.96%"
"Oct 16, 2019","24.917","25.191","25.250","24.849","1.22M","-1.70%"
"Oct 15, 2019","25.348","25.426","25.543","25.211","1.36M","-0.15%"
"Oct 14, 2019","25.387","25.035","25.622","25.025","2.95M","0.97%"
"Oct 11, 2019","25.142","25.289","25.289","24.898","3.47M","-0.43%"
"Oct 10, 2019","25.250","25.299","25.357","24.995","696.73K","0.23%"
"Oct 09, 2019","25.191","25.123","25.455","25.113","1.13M","0.55%"
"Oct 08, 2019","25.054","25.309","25.465","24.947","993.82K","-1.12%"
"Oct 07, 2019","25.338","25.309","25.436","25.074","1.07M","0.23%"
"Oct 04, 2019","25.279","25.025","25.279","24.927","1.40M","1.33%"
"Oct 03, 2019","24.947","24.810","25.328","24.790","1.34M","0.99%"
"Oct 02, 2019","24.702","25.543","25.631","24.702","2.18M","-3.74%"
"Oct 01, 2019","25.661","25.984","26.081","25.602","2.05M","-1.06%"
"Sep 30, 2019","25.935","25.719","26.072","25.700","1.18M","0.65%"
"Sep 27, 2019","25.768","26.169","26.248","25.612","1.34M","-1.16%"
"Sep 26, 2019","26.072","25.543","26.199","25.543","1.18M","1.91%"
"Sep 25, 2019","25.582","25.915","25.964","25.543","1.32M","-1.28%"
"Sep 24, 2019","25.915","25.886","26.013","25.543","2.04M","0.72%"
"Sep 23, 2019","25.729","25.895","25.944","25.710","1.02M","-0.68%"
"Sep 20, 2019","25.905","25.602","26.013","25.602","2.56M","0.88%"
"Sep 19, 2019","25.680","25.260","25.915","25.260","1.74M","1.16%"
"Sep 18, 2019","25.387","25.123","25.543","25.074","1.86M","0.66%"
"Sep 17, 2019","25.220","25.025","25.289","24.859","2.08M","1.06%"
"Sep 16, 2019","24.956","24.976","25.220","24.849","2.75M","-0.93%"
"Sep 13, 2019","25.191","25.240","25.240","25.015","854.20K","-0.50%"
"Sep 12, 2019","25.318","24.917","25.475","24.898","1.66M","2.25%"
"Sep 11, 2019","24.761","24.898","24.966","24.624","4.75M","-0.08%"
"Sep 10, 2019","24.780","25.377","25.436","24.526","3.18M","-2.73%"
"Sep 09, 2019","25.475","25.837","25.876","25.416","2.55M","-1.48%"
"Sep 06, 2019","25.856","25.680","25.964","25.582","2.30M","1.26%"
"Sep 05, 2019","25.534","25.807","25.925","25.504","2.17M","-0.38%"
"Sep 04, 2019","25.631","25.631","25.729","25.416","2.01M","-0.34%"
"Sep 03, 2019","25.719","25.534","25.866","25.455","3.42M","0.15%"
"Sep 02, 2019","25.680","25.318","25.680","25.309","957.51K","1.47%"
"Aug 30, 2019","25.309","25.485","25.514","25.220","10.37M","-0.81%"
"Aug 29, 2019","25.514","25.406","25.534","25.250","1.47M","0.66%"
"Aug 28, 2019","25.348","25.123","25.436","25.123","1.01M","0.19%"
"Aug 27, 2019","25.299","24.986","25.299","24.898","1.46M","1.17%"
"Aug 26, 2019","25.005","24.829","25.015","24.810","848.31K","0.31%"
"Aug 23, 2019","24.927","24.995","25.269","24.927","1.06M","0.00%"
"Aug 22, 2019","24.927","24.995","25.123","24.849","972.78K","-0.51%"
"Aug 21, 2019","25.054","24.888","25.103","24.741","1.36M","1.15%"
"Aug 20, 2019","24.770","24.849","25.152","24.722","1.69M","-0.39%"
"Aug 19, 2019","24.868","24.898","24.927","24.653","2.20M","0.36%"
"Aug 16, 2019","24.780","24.565","24.800","24.516","992.18K","0.96%"
"Aug 15, 2019","24.545","24.643","24.800","24.340","4.41M","0.08%"
"Aug 14, 2019","24.526","24.692","24.937","24.487","2.73M","-0.52%"
"Aug 13, 2019","24.653","24.291","24.966","24.291","1.65M","1.00%"
"Aug 12, 2019","24.408","24.262","24.594","24.086","926.63K","0.60%"
"Aug 09, 2019","24.262","24.301","24.360","24.164","1.51M","-0.24%"
"Aug 08, 2019","24.320","24.174","24.320","23.958","1.58M","1.10%"
"Aug 07, 2019","24.056","23.489","24.232","23.489","3.11M","2.54%"
"Aug 06, 2019","23.460","23.186","23.753","23.186","1.05M","0.97%"
"Aug 05, 2019","23.235","23.166","23.323","23.078","1.71M","-0.84%"
"Aug 02, 2019","23.430","22.961","23.489","22.873","2.54M","0.67%"
"Aug 01, 2019","23.274","22.921","23.293","22.921","2.96M","1.02%"
"Jul 31, 2019","23.039","23.010","23.235","22.892","2.36M","-1.42%"
"Jul 30, 2019","23.371","23.733","23.763","23.244","1.41M","-1.77%"
"Jul 29, 2019","23.792","23.597","23.910","23.538","1.51M","0.25%"
"Jul 26, 2019","23.733","23.636","23.870","23.557","1.24M","0.12%"
"Jul 25, 2019","23.704","23.910","24.135","23.704","1.37M","-0.62%"
"Jul 24, 2019","23.851","23.763","23.939","23.645","1.70M","-0.45%"
"Jul 23, 2019","23.958","23.919","24.174","23.890","1.73M","0.37%"
"Jul 22, 2019","23.870","23.567","23.968","23.518","1.93M","1.12%"
"Jul 19, 2019","23.606","23.528","23.714","23.352","2.17M","0.79%"
"Jul 18, 2019","23.420","23.332","23.469","23.156","2.03M","-0.33%"
"Jul 17, 2019","23.499","23.166","23.538","23.146","2.40M","1.48%"
"Jul 16, 2019","23.156","22.804","23.166","22.745","2.53M","1.37%"
"Jul 15, 2019","22.843","22.657","22.912","22.560","2.52M","1.17%"
"Jul 12, 2019","22.579","22.520","22.638","22.374","1.63M","0.35%"
"Jul 11, 2019","22.501","22.256","22.618","22.256","3.03M","1.10%"
"Jul 10, 2019","22.256","22.188","22.442","21.914","2.47M","0.66%"
"Jul 09, 2019","22.109","22.168","22.344","22.012","2.46M","-0.88%"
"Jul 08, 2019","22.305","22.139","22.344","22.090","2.92M","0.66%"
"Jul 05, 2019","22.158","22.432","22.530","22.109","1.01M","-1.52%"
"Jul 04, 2019","22.501","22.618","22.657","22.413","821.81K","-0.39%"
"Jul 03, 2019","22.589","22.334","22.706","22.334","1.57M","1.49%"
"Jul 02, 2019","22.256","22.256","22.315","22.061","1.50M","0.53%"
"Jul 01, 2019","22.139","22.295","22.295","21.992","1.38M","0.53%"
"Jun 28, 2019","22.021","21.689","22.119","21.581","1.45M","1.26%"
"Jun 27, 2019","21.748","21.943","22.021","21.748","1.47M","-0.80%"
"Jun 26, 2019","21.924","22.295","22.334","21.904","1.55M","-1.19%"
"Jun 25, 2019","22.188","21.894","22.286","21.894","2.20M","0.84%"
"Jun 24, 2019","22.002","21.845","22.080","21.836","958.89K","1.08%"
"Jun 21, 2019","21.767","22.002","22.129","21.767","3.69M","-1.02%"
"Jun 20, 2019","21.992","22.012","22.139","21.894","1.45M","0.36%"
"Jun 19, 2019","21.914","21.943","22.002","21.855","1.78M","0.00%"
"Jun 18, 2019","21.914","21.581","21.992","21.386","2.23M","1.36%"
"Jun 17, 2019","21.620","21.650","21.777","21.620","1.80M","-0.18%"
"Jun 14, 2019","21.659","21.571","21.728","21.552","1.65M","0.41%"
"Jun 13, 2019","21.571","21.454","21.650","21.434","1.48M","0.59%"
"Jun 12, 2019","21.444","21.346","21.562","21.327","2.21M","0.09%"
"Jun 11, 2019","21.425","21.415","21.513","21.249","4.98M","0.60%"
"Jun 10, 2019","21.298","21.317","21.474","21.200","1.75M","0.46%"
"Jun 07, 2019","21.200","20.808","21.229","20.769","1.25M","2.46%"
"Jun 06, 2019","20.691","20.642","20.750","20.534","1.62M","0.81%"
"Jun 05, 2019","20.525","20.388","20.711","20.388","1.92M","0.82%"
"Jun 04, 2019","20.358","20.642","20.671","20.358","4.38M","-1.65%"
"Jun 03, 2019","20.701","20.769","20.808","20.466","3.02M","-1.08%"
"May 31, 2019","20.926","20.759","20.936","20.720","2.19M","0.09%"
"May 30, 2019","20.906","20.789","21.014","20.701","1.19M","0.33%"
"May 29, 2019","20.838","21.131","21.161","20.799","1.98M","-2.11%"
"May 28, 2019","21.288","21.268","21.288","21.053","3.57M","-0.05%"
"May 27, 2019","21.298","21.258","21.395","21.180","748.45K","0.74%"
"May 24, 2019","21.141","20.955","21.249","20.916","2.11M","1.03%"
"May 23, 2019","20.926","20.945","21.092","20.877","1.73M","-0.33%"
"May 22, 2019","20.994","20.955","21.190","20.955","1.30M","-0.05%"
"May 21, 2019","21.004","20.671","21.024","20.662","1.31M","1.37%"
"May 20, 2019","20.720","20.759","20.975","20.544","4.88M","-0.56%"
"May 17, 2019","20.838","20.583","20.916","20.544","2.70M","1.00%"
"May 16, 2019","20.632","19.928","20.632","19.928","2.72M","3.33%"
"May 15, 2019","19.967","19.977","20.055","19.801","3.49M","0.54%"
"May 14, 2019","19.859","19.654","19.889","19.595","2.57M","0.61%"
"May 13, 2019","19.740","20.012","20.031","19.682","1.66M","-0.93%"
"May 10, 2019","19.924","20.012","20.254","19.924","3.96M","-0.39%"
"May 09, 2019","20.002","20.138","20.293","19.953","2.43M","-0.87%"
"May 08, 2019","20.177","19.866","20.380","19.070","4.23M","-3.53%"
"May 07, 2019","20.914","20.846","21.147","20.817","1.90M","-0.14%"
"May 06, 2019","20.943","20.875","21.040","20.681","2.88M","-0.92%"
"May 03, 2019","21.137","21.254","21.264","21.031","2.56M","-0.05%"
"May 02, 2019","21.147","21.254","21.264","21.079","2.43M","-0.77%"
"Apr 30, 2019","21.312","21.234","21.399","21.137","2.30M","0.41%"
"Apr 29, 2019","21.225","21.069","21.225","21.011","1.16M","0.14%"
"Apr 26, 2019","21.196","21.079","21.225","20.953","1.66M","0.65%"
"Apr 25, 2019","21.060","20.749","21.060","20.613","2.18M","1.17%"
"Apr 24, 2019","20.817","20.574","20.827","20.565","1.94M","1.56%"
"Apr 23, 2019","20.497","20.380","20.516","20.293","1.64M","0.62%"
"Apr 18, 2019","20.371","20.206","20.429","20.206","1.78M","0.91%"
"Apr 17, 2019","20.186","20.099","20.206","19.856","2.17M","0.68%"
"Apr 16, 2019","20.050","20.041","20.157","19.982","2.08M","-0.29%"
"Apr 15, 2019","20.109","20.177","20.274","20.060","1.98M","0.15%"
"Apr 12, 2019","20.080","19.895","20.157","19.866","2.64M","0.93%"
"Apr 11, 2019","19.895","20.002","20.050","19.643","1.87M","-0.73%"
"Apr 10, 2019","20.041","20.157","20.235","19.992","1.73M","-0.72%"
"Apr 09, 2019","20.186","20.303","20.419","20.186","1.66M","-0.95%"
"Apr 08, 2019","20.380","20.613","20.642","20.293","2.87M","-1.18%"
"Apr 05, 2019","20.623","20.526","20.972","20.409","3.40M","0.00%"
"Apr 04, 2019","20.623","20.720","20.788","20.555","1.21M","-0.42%"
"Apr 03, 2019","20.710","20.545","20.778","20.526","1.69M","1.04%"
"Apr 02, 2019","20.497","20.429","20.526","20.322","1.79M","0.62%"
"Apr 01, 2019","20.371","20.371","20.468","20.274","1.58M","0.53%"
"Mar 29, 2019","20.264","20.186","20.409","20.167","1.42M","0.38%"
"Mar 28, 2019","20.186","20.196","20.264","20.089","1.36M","-0.05%"
"Mar 27, 2019","20.196","20.225","20.254","19.953","1.60M","-0.14%"
"Mar 26, 2019","20.225","19.992","20.245","19.885","1.73M","1.91%"
"Mar 25, 2019","19.847","19.847","19.982","19.798","1.49M","-0.54%"
"Mar 22, 2019","19.953","20.002","20.050","19.856","2.06M","-0.24%"
"Mar 21, 2019","20.002","20.128","20.235","19.963","1.19M","-0.67%"
"Mar 20, 2019","20.138","20.264","20.351","20.118","1.79M","-0.62%"
"Mar 19, 2019","20.264","20.361","20.361","20.070","1.83M","-0.57%"
"Mar 18, 2019","20.380","20.225","20.380","20.206","885.35K","0.57%"
"Mar 15, 2019","20.264","20.012","20.293","20.012","5.00M","1.26%"
"Mar 14, 2019","20.012","19.944","20.089","19.827","1.26M","-0.05%"
"Mar 13, 2019","20.021","20.012","20.099","19.895","1.52M","-0.15%"
"Mar 12, 2019","20.050","20.070","20.109","19.895","1.14M","-0.10%"
"Mar 11, 2019","20.070","19.944","20.109","19.827","1.04M","0.68%"
"Mar 08, 2019","19.934","20.303","20.322","19.837","1.81M","-2.42%"
"Mar 07, 2019","20.429","20.322","20.468","20.206","1.59M","0.67%"
"Mar 06, 2019","20.293","20.147","20.371","20.147","1.59M","0.24%"
"Mar 05, 2019","20.245","20.274","20.293","19.973","1.40M","-0.05%"
"Mar 04, 2019","20.254","20.147","20.342","20.099","2.23M","0.48%"
"Mar 01, 2019","20.157","19.750","20.545","19.633","3.24M","2.52%"
"Feb 28, 2019","19.662","18.929","19.662","18.929","2.66M","2.84%"
"Feb 27, 2019","19.119","19.293","19.337","19.080","1.67M","-1.01%"
"Feb 26, 2019","19.313","19.138","19.352","19.027","1.73M","0.63%"
"Feb 25, 2019","19.192","19.439","19.507","19.158","2.11M","-1.27%"
"Feb 22, 2019","19.439","19.279","19.488","19.201","2.89M","0.65%"
"Feb 21, 2019","19.313","19.517","19.682","19.313","3.47M","-1.00%"
"Feb 20, 2019","19.507","19.303","19.555","19.284","1.25M","1.21%"
"Feb 19, 2019","19.274","19.318","19.323","19.138","1.49M","-0.23%"
"Feb 18, 2019","19.318","19.216","19.376","19.167","913.61K","0.45%"
"Feb 15, 2019","19.230","19.133","19.274","18.978","1.05M","0.63%"
"Feb 14, 2019","19.109","19.167","19.259","19.075","1.10M","0.31%"
"Feb 13, 2019","19.051","19.099","19.104","18.910","881.38K","0.20%"
"Feb 12, 2019","19.012","19.119","19.162","19.012","1.06M","-0.25%"
"Feb 11, 2019","19.061","18.929","19.094","18.876","1.41M","1.11%"
"Feb 08, 2019","18.852","18.862","19.002","18.745","1.77M","-0.33%"
"Feb 07, 2019","18.915","18.910","19.080","18.891","1.67M","-0.13%"
"Feb 06, 2019","18.939","19.158","19.167","18.891","1.33M","-1.26%"
"Feb 05, 2019","19.182","19.065","19.182","18.837","2.21M","0.79%"
"Feb 04, 2019","19.031","19.022","19.094","18.881","1.23M","-0.13%"
"Feb 01, 2019","19.056","19.094","19.201","18.905","1.07M","0.33%"
"Jan 31, 2019","18.993","18.832","18.993","18.779","2.40M","1.40%"
"Jan 30, 2019","18.731","18.735","18.794","18.580","2.78M","-0.26%"
