"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","31.430","31.600","31.640","31.290","198.48K","-0.85%"
"Dec 30, 2019","31.700","32.130","32.130","31.670","308.78K","-1.18%"
"Dec 27, 2019","32.080","32.310","32.310","31.740","267.56K","0.31%"
"Dec 24, 2019","31.980","32.000","32.050","31.790","99.30K","0.03%"
"Dec 23, 2019","31.970","31.640","32.000","31.510","862.52K","1.14%"
"Dec 20, 2019","31.610","31.460","31.710","31.340","814.05K","0.60%"
"Dec 19, 2019","31.420","31.300","31.420","31.130","612.15K","0.48%"
"Dec 18, 2019","31.270","31.490","31.620","31.170","555.58K","-0.64%"
"Dec 17, 2019","31.470","31.550","31.650","31.320","738.55K","0.00%"
"Dec 16, 2019","31.470","31.440","31.540","31.300","1.54M","0.74%"
"Dec 13, 2019","31.240","31.220","31.460","30.840","562.68K","0.55%"
"Dec 12, 2019","31.070","31.110","31.250","30.930","1.30M","0.29%"
"Dec 11, 2019","30.980","31.130","31.180","30.950","1.11M","-0.77%"
"Dec 10, 2019","31.220","31.250","31.250","30.620","1.36M","0.10%"
"Dec 09, 2019","31.190","31.100","31.590","30.800","934.68K","1.83%"
"Dec 06, 2019","30.630","30.180","30.760","30.090","519.56K","1.52%"
"Dec 05, 2019","30.170","30.720","30.760","30.080","2.14M","-1.50%"
"Dec 04, 2019","30.630","30.500","30.830","30.350","588.71K","0.26%"
"Dec 03, 2019","30.550","30.400","30.830","30.360","544.00K","0.46%"
"Dec 02, 2019","30.410","31.020","31.110","30.340","601.91K","-1.93%"
"Nov 29, 2019","31.010","31.010","31.170","30.910","544.43K","-0.74%"
"Nov 28, 2019","31.240","30.900","31.240","30.820","411.72K","1.00%"
"Nov 27, 2019","30.930","31.100","31.100","30.800","554.49K","-0.16%"
"Nov 26, 2019","30.980","30.800","30.980","30.520","1.46M","0.81%"
"Nov 25, 2019","30.730","30.210","30.750","30.020","2.54M","2.43%"
"Nov 22, 2019","30.000","29.930","30.100","29.670","1.72M","0.67%"
"Nov 21, 2019","29.800","29.650","29.830","29.100","2.37M","0.51%"
"Nov 20, 2019","29.650","29.770","29.960","29.650","742.63K","-0.20%"
"Nov 19, 2019","29.710","29.680","29.860","29.480","454.44K","0.47%"
"Nov 18, 2019","29.570","29.370","29.780","29.340","2.15M","1.02%"
"Nov 15, 2019","29.270","29.420","29.550","29.110","755.59K","-0.51%"
"Nov 14, 2019","29.420","29.620","29.750","29.350","723.68K","0.07%"
"Nov 13, 2019","29.400","28.700","29.550","28.670","849.77K","2.26%"
"Nov 12, 2019","28.750","28.940","28.940","28.580","1.47M","-0.03%"
"Nov 11, 2019","28.760","28.550","29.140","28.550","378.66K","0.03%"
"Nov 08, 2019","28.750","28.660","28.750","28.210","527.66K","0.38%"
"Nov 07, 2019","28.640","29.000","29.260","28.540","675.87K","-1.58%"
"Nov 06, 2019","29.100","28.600","29.100","28.480","556.66K","1.39%"
"Nov 05, 2019","28.700","29.350","29.380","28.620","724.24K","-2.71%"
"Nov 04, 2019","29.500","29.410","29.510","29.090","631.85K","0.34%"
"Nov 01, 2019","29.400","28.920","29.400","28.890","567.26K","1.80%"
"Oct 31, 2019","28.880","28.840","29.020","28.670","702.68K","0.17%"
"Oct 30, 2019","28.830","28.620","28.860","28.280","891.24K","0.70%"
"Oct 29, 2019","28.630","29.000","29.990","28.470","4.60M","1.38%"
"Oct 28, 2019","28.240","28.280","28.350","27.920","740.20K","1.58%"
"Oct 25, 2019","27.800","28.110","28.110","27.730","405.18K","-0.64%"
"Oct 24, 2019","27.980","27.460","28.080","27.260","775.39K","2.60%"
"Oct 23, 2019","27.270","27.190","27.470","27.040","790.69K","0.37%"
"Oct 22, 2019","27.170","27.000","27.200","26.900","591.48K","0.52%"
"Oct 21, 2019","27.030","27.280","27.310","26.730","632.90K","-0.92%"
"Oct 18, 2019","27.280","27.410","27.490","27.080","510.75K","-0.18%"
"Oct 17, 2019","27.330","26.860","27.620","26.860","854.60K","1.26%"
"Oct 16, 2019","26.990","27.000","27.270","26.960","1.16M","-0.15%"
"Oct 15, 2019","27.030","27.250","27.350","26.990","856.05K","-0.81%"
"Oct 14, 2019","27.250","27.000","27.300","27.000","536.77K","0.52%"
"Oct 11, 2019","27.110","27.010","27.110","26.850","594.13K","0.41%"
"Oct 10, 2019","27.000","27.450","27.500","26.980","638.62K","-1.39%"
"Oct 09, 2019","27.380","27.080","27.520","27.080","798.85K","1.33%"
"Oct 08, 2019","27.020","27.100","27.330","26.970","736.71K","-0.04%"
"Oct 07, 2019","27.030","26.740","27.060","26.650","926.89K","1.43%"
"Oct 04, 2019","26.650","26.690","26.870","26.500","1.04M","0.41%"
"Oct 03, 2019","26.540","26.700","26.830","26.380","861.57K","0.15%"
"Oct 02, 2019","26.500","26.500","26.650","26.260","1.18M","-0.56%"
"Oct 01, 2019","26.650","27.140","27.270","26.570","1.13M","-1.44%"
"Sep 30, 2019","27.040","26.990","27.220","26.800","476.17K","0.00%"
"Sep 27, 2019","27.040","27.030","27.110","26.800","511.39K","0.30%"
"Sep 26, 2019","26.960","26.830","27.010","26.790","334.80K","0.04%"
"Sep 25, 2019","26.950","27.360","27.400","26.870","439.13K","-1.61%"
"Sep 24, 2019","27.390","26.950","27.570","26.950","2.47M","1.07%"
"Sep 23, 2019","27.100","26.560","27.190","26.560","1.27M","2.34%"
"Sep 20, 2019","26.480","26.800","27.200","26.480","2.63M","-2.18%"
"Sep 19, 2019","27.070","27.350","27.490","26.920","1.02M","-1.17%"
"Sep 18, 2019","27.390","26.830","27.610","26.830","731.71K","1.56%"
"Sep 17, 2019","26.970","26.850","26.970","26.600","1.02M","0.97%"
"Sep 16, 2019","26.710","27.000","27.170","26.710","600.71K","-1.44%"
"Sep 13, 2019","27.100","27.510","27.710","27.020","721.31K","-1.81%"
"Sep 12, 2019","27.600","27.870","28.230","27.440","530.53K","-0.43%"
