"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","8.849","8.883","8.916","8.843","6.98M","-1.12%"
"Dec 30, 2019","8.949","8.964","9.001","8.947","11.46M","-0.41%"
"Dec 27, 2019","8.986","8.964","9.009","8.916","10.60M","0.82%"
"Dec 24, 2019","8.912","8.887","8.949","8.876","2.39M","-0.37%"
"Dec 23, 2019","8.945","8.914","8.945","8.887","11.38M","0.13%"
"Dec 20, 2019","8.934","8.831","8.934","8.791","26.00M","1.62%"
"Dec 19, 2019","8.791","8.837","8.876","8.756","24.70M","-0.48%"
"Dec 18, 2019","8.833","8.833","8.901","8.816","23.64M","0.07%"
"Dec 17, 2019","8.828","8.762","8.853","8.747","17.45M","0.86%"
"Dec 16, 2019","8.752","8.714","8.772","8.698","15.35M","0.91%"
"Dec 13, 2019","8.673","8.604","8.687","8.534","15.87M","0.99%"
"Dec 12, 2019","8.588","8.627","8.637","8.565","15.01M","-0.42%"
"Dec 11, 2019","8.625","8.496","8.627","8.477","24.86M","1.77%"
"Dec 10, 2019","8.475","8.482","8.504","8.398","15.90M","-0.02%"
"Dec 09, 2019","8.477","8.452","8.500","8.430","13.31M","0.25%"
"Dec 06, 2019","8.455","8.386","8.500","8.344","10.17M","1.25%"
"Dec 05, 2019","8.351","8.361","8.455","8.351","12.55M","-0.09%"
"Dec 04, 2019","8.359","8.315","8.394","8.272","10.15M","0.84%"
"Dec 03, 2019","8.290","8.319","8.371","8.257","31.38M","0.07%"
"Dec 02, 2019","8.284","8.596","8.600","8.267","25.79M","-3.74%"
"Nov 29, 2019","8.606","8.585","8.633","8.583","9.77M","0.13%"
"Nov 28, 2019","8.594","8.598","8.646","8.571","4.81M","-0.13%"
"Nov 27, 2019","8.606","8.581","8.654","8.573","14.54M","0.36%"
"Nov 26, 2019","8.575","8.558","8.577","8.492","32.64M","-0.02%"
"Nov 25, 2019","8.577","8.546","8.623","8.534","12.00M","0.27%"
"Nov 22, 2019","8.554","8.554","8.587","8.523","12.14M","0.07%"
"Nov 21, 2019","8.548","8.556","8.608","8.515","12.95M","-0.34%"
"Nov 20, 2019","8.577","8.573","8.637","8.550","12.56M","-0.18%"
"Nov 19, 2019","8.592","8.621","8.656","8.577","10.47M","-0.18%"
"Nov 18, 2019","8.608","8.486","8.608","8.467","10.62M","1.25%"
"Nov 15, 2019","8.502","8.511","8.538","8.484","27.75M","0.20%"
"Nov 14, 2019","8.484","8.519","8.615","8.484","23.13M","-0.38%"
