"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","7.220","7.300","7.362","7.182","877.61K","-1.10%"
"Dec 30, 2019","7.300","7.352","7.376","7.300","857.08K","-0.98%"
"Dec 27, 2019","7.372","7.350","7.398","7.328","861.84K","0.44%"
"Dec 24, 2019","7.340","7.280","7.362","7.280","393.37K","0.77%"
"Dec 23, 2019","7.284","7.360","7.376","7.284","6.19M","-1.57%"
"Dec 20, 2019","7.400","7.338","7.400","7.282","1.71M","1.09%"
"Dec 19, 2019","7.320","7.400","7.432","7.280","1.15M","-0.76%"
"Dec 18, 2019","7.376","7.330","7.402","7.314","1.58M","0.44%"
"Dec 17, 2019","7.344","7.588","7.662","7.318","8.44M","-4.03%"
"Dec 16, 2019","7.652","7.506","7.690","7.506","3.52M","1.43%"
"Dec 13, 2019","7.544","6.950","7.566","6.928","17.27M","14.82%"
"Dec 12, 2019","6.570","6.504","6.636","6.504","8.41M","1.36%"
"Dec 11, 2019","6.482","6.502","6.536","6.432","3.13M","0.09%"
"Dec 10, 2019","6.476","6.536","6.536","6.410","1.10M","-1.16%"
"Dec 09, 2019","6.552","6.620","6.660","6.552","1.04M","-1.36%"
"Dec 06, 2019","6.642","6.502","6.674","6.488","3.03M","2.31%"
"Dec 05, 2019","6.492","6.490","6.506","6.448","7.38M","-0.12%"
"Dec 04, 2019","6.500","6.348","6.500","6.340","1.37M","3.01%"
"Dec 03, 2019","6.310","6.338","6.446","6.238","7.95M","-0.50%"
"Dec 02, 2019","6.342","6.480","6.530","6.342","12.10M","-2.43%"
"Nov 29, 2019","6.500","6.610","6.610","6.462","2.41M","-1.54%"
"Nov 28, 2019","6.602","6.568","6.652","6.550","1.33M","-1.23%"
"Nov 27, 2019","6.684","6.680","6.710","6.618","4.30M","0.51%"
"Nov 26, 2019","6.650","6.608","6.668","6.580","1.83M","0.42%"
"Nov 25, 2019","6.622","6.500","6.626","6.498","1.99M","2.54%"
"Nov 22, 2019","6.458","6.404","6.470","6.380","2.30M","1.19%"
"Nov 21, 2019","6.382","6.382","6.404","6.322","1.78M","-0.53%"
"Nov 20, 2019","6.416","6.434","6.510","6.382","1.88M","-0.59%"
"Nov 19, 2019","6.454","6.484","6.512","6.414","8.32M","0.62%"
"Nov 18, 2019","6.414","6.540","6.596","6.404","10.91M","-1.60%"
"Nov 15, 2019","6.518","6.376","6.540","6.350","4.39M","2.94%"
"Nov 14, 2019","6.332","6.272","6.358","6.220","1.19M","0.54%"
"Nov 13, 2019","6.298","6.320","6.320","6.204","1.72M","-0.76%"
"Nov 12, 2019","6.346","6.346","6.380","6.288","2.72M","0.70%"
"Nov 11, 2019","6.302","6.278","6.340","6.196","2.09M","0.35%"
"Nov 08, 2019","6.280","6.276","6.324","6.118","3.22M","-0.73%"
"Nov 07, 2019","6.326","6.376","6.464","6.290","1.87M","-0.22%"
"Nov 06, 2019","6.340","6.330","6.388","6.316","1.63M","0.44%"
"Nov 05, 2019","6.312","6.410","6.410","6.306","1.81M","-0.72%"
"Nov 04, 2019","6.358","6.400","6.426","6.308","3.96M","1.08%"
"Nov 01, 2019","6.290","6.180","6.298","6.166","2.18M","2.14%"
"Oct 31, 2019","6.158","5.998","6.188","5.802","2.76M","2.02%"
"Oct 30, 2019","6.036","6.120","6.156","5.984","3.60M","-0.72%"
"Oct 29, 2019","6.080","6.004","6.118","5.978","3.63M","0.73%"
"Oct 28, 2019","6.036","5.996","6.078","5.988","1.95M","0.37%"
"Oct 25, 2019","6.014","5.980","6.032","5.882","2.10M","0.37%"
"Oct 24, 2019","5.992","5.966","6.050","5.956","1.82M","0.88%"
"Oct 23, 2019","5.940","5.976","6.028","5.842","6.63M","-0.80%"
"Oct 22, 2019","5.988","6.080","6.134","5.954","2.37M","-1.93%"
"Oct 21, 2019","6.106","5.894","6.146","5.894","3.81M","3.70%"
"Oct 18, 2019","5.888","5.900","6.002","5.850","2.81M","-0.51%"
