"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","10.180","10.100","10.250","10.080","150.12K","-0.10%"
"Dec 30, 2019","10.190","10.330","10.330","10.140","302.28K","-1.07%"
"Dec 27, 2019","10.300","10.170","10.400","10.130","563.89K","1.78%"
"Dec 24, 2019","10.120","10.120","10.150","10.060","136.09K","0.10%"
"Dec 23, 2019","10.110","10.080","10.160","10.050","553.58K","0.30%"
"Dec 20, 2019","10.080","9.960","10.080","9.930","1.18M","1.51%"
"Dec 19, 2019","9.930","9.750","9.945","9.700","547.19K","1.53%"
"Dec 18, 2019","9.780","9.900","9.920","9.745","357.16K","-1.41%"
"Dec 17, 2019","9.920","9.930","10.060","9.870","511.08K","-0.60%"
"Dec 16, 2019","9.980","9.655","10.080","9.640","736.00K","4.12%"
"Dec 13, 2019","9.585","9.600","9.760","9.545","967.48K","1.11%"
"Dec 12, 2019","9.480","9.270","9.505","9.180","1.38M","2.76%"
"Dec 11, 2019","9.225","9.215","9.370","9.200","448.43K","-0.38%"
"Dec 10, 2019","9.260","9.300","9.315","9.130","470.22K","-0.54%"
"Dec 09, 2019","9.310","9.400","9.425","9.305","479.35K","-0.96%"
"Dec 06, 2019","9.400","9.245","9.505","9.245","569.40K","2.34%"
"Dec 05, 2019","9.185","9.310","9.360","9.150","2.00M","-1.50%"
"Dec 04, 2019","9.325","9.240","9.420","9.240","618.02K","1.25%"
"Dec 03, 2019","9.210","9.385","9.445","9.090","991.41K","-1.50%"
"Dec 02, 2019","9.350","9.750","9.845","9.345","758.51K","-3.95%"
"Nov 29, 2019","9.735","9.735","9.795","9.640","549.50K","-0.15%"
"Nov 28, 2019","9.750","9.750","9.795","9.615","394.60K","-0.05%"
"Nov 27, 2019","9.755","9.550","9.790","9.510","846.74K","2.47%"
"Nov 26, 2019","9.520","9.450","9.550","9.340","532.80K","0.58%"
"Nov 25, 2019","9.465","9.415","9.535","9.345","573.84K","1.23%"
"Nov 22, 2019","9.350","9.255","9.480","9.255","737.88K","0.54%"
"Nov 21, 2019","9.300","9.345","9.460","9.265","621.92K","-1.48%"
"Nov 20, 2019","9.440","9.440","9.455","9.230","642.94K","0.32%"
"Nov 19, 2019","9.410","9.530","9.700","9.380","834.36K","-0.42%"
"Nov 18, 2019","9.450","9.560","9.615","9.350","637.17K","-0.84%"
"Nov 15, 2019","9.530","9.485","9.625","9.360","1.43M","0.85%"
"Nov 14, 2019","9.450","9.450","9.590","9.390","824.40K","-0.21%"
"Nov 13, 2019","9.470","9.635","9.635","9.295","933.86K","-2.07%"
"Nov 12, 2019","9.670","9.670","9.785","9.640","622.89K","-0.15%"
"Nov 11, 2019","9.685","9.500","9.685","9.460","1.70M","1.73%"
"Nov 08, 2019","9.520","9.365","9.540","9.350","685.14K","0.95%"
"Nov 07, 2019","9.430","9.280","9.455","9.200","1.15M","2.50%"
"Nov 06, 2019","9.200","9.050","9.320","9.005","1.18M","3.60%"
"Nov 05, 2019","8.880","8.825","8.940","8.740","539.10K","0.45%"
"Nov 04, 2019","8.840","8.815","9.180","8.815","617.18K","0.23%"
"Nov 01, 2019","8.820","8.660","8.825","8.575","362.23K","1.85%"
"Oct 31, 2019","8.660","8.580","8.705","8.515","459.58K","0.76%"
"Oct 30, 2019","8.595","8.500","8.595","8.430","438.69K","0.64%"
"Oct 29, 2019","8.540","8.605","8.620","8.465","877.36K","0.41%"
"Oct 28, 2019","8.505","8.405","8.560","8.405","255.59K","0.77%"
"Oct 25, 2019","8.440","8.425","8.440","8.340","265.45K","0.60%"
"Oct 24, 2019","8.390","8.280","8.435","8.250","368.45K","1.15%"
"Oct 23, 2019","8.295","8.400","8.460","8.220","546.49K","-1.37%"
"Oct 22, 2019","8.410","8.640","8.750","8.375","610.52K","-3.22%"
"Oct 21, 2019","8.690","8.585","8.775","8.480","699.40K","1.64%"
"Oct 18, 2019","8.550","8.510","8.670","8.445","639.36K","0.65%"
"Oct 17, 2019","8.495","8.380","8.545","8.285","528.47K","1.43%"
"Oct 16, 2019","8.375","8.345","8.430","8.265","679.39K","0.24%"
"Oct 15, 2019","8.355","8.475","8.520","8.275","467.94K","-1.30%"
"Oct 14, 2019","8.465","8.600","8.600","8.255","792.34K","-1.28%"
"Oct 11, 2019","8.575","8.130","8.625","8.100","1.17M","7.05%"
"Oct 10, 2019","8.010","7.370","8.130","7.350","1.90M","9.58%"
"Oct 09, 2019","7.310","7.360","7.390","7.245","402.49K","-0.81%"
"Oct 08, 2019","7.370","7.695","7.695","7.350","503.82K","-3.53%"
"Oct 07, 2019","7.640","7.710","7.710","7.520","523.87K","0.46%"
"Oct 04, 2019","7.605","7.565","7.700","7.545","580.63K","1.06%"
"Oct 03, 2019","7.525","7.650","7.720","7.450","641.71K","-2.46%"
"Oct 02, 2019","7.715","7.905","7.905","7.700","593.24K","-2.40%"
"Oct 01, 2019","7.905","8.000","8.115","7.850","404.89K","-0.44%"
"Sep 30, 2019","7.940","7.970","8.045","7.900","505.74K","-0.94%"
"Sep 27, 2019","8.015","7.805","8.040","7.795","374.23K","2.95%"
"Sep 26, 2019","7.785","7.865","8.000","7.765","391.31K","-0.76%"
