"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","31.450","31.520","31.710","31.160","726.01K","-0.94%"
"Dec 30, 2019","31.750","32.090","32.160","31.730","1.64M","-1.24%"
"Dec 27, 2019","32.150","31.890","32.190","31.670","3.02M","1.20%"
"Dec 24, 2019","31.770","31.460","31.770","31.350","754.88K","0.35%"
"Dec 23, 2019","31.660","31.390","31.700","31.320","1.93M","0.73%"
"Dec 20, 2019","31.430","31.260","31.470","31.110","5.50M","0.51%"
"Dec 19, 2019","31.270","31.100","31.300","31.000","4.13M","0.55%"
"Dec 18, 2019","31.100","30.960","31.240","30.820","4.49M","0.23%"
"Dec 17, 2019","31.030","30.970","31.240","30.880","4.21M","-0.23%"
"Dec 16, 2019","31.100","30.690","31.130","30.450","3.27M","1.80%"
"Dec 13, 2019","30.550","30.500","30.900","30.360","3.95M","1.29%"
"Dec 12, 2019","30.160","30.190","30.450","30.000","4.11M","0.13%"
"Dec 11, 2019","30.120","28.990","30.330","28.600","9.18M","5.24%"
"Dec 10, 2019","28.620","28.820","28.900","28.430","5.39M","-0.38%"
"Dec 09, 2019","28.730","28.800","28.930","28.670","3.36M","-0.66%"
"Dec 06, 2019","28.920","28.110","28.940","28.110","4.18M","3.14%"
"Dec 05, 2019","28.040","28.160","28.440","28.040","2.07M","0.00%"
"Dec 04, 2019","28.040","27.820","28.210","27.780","2.11M","0.50%"
"Dec 03, 2019","27.900","27.690","28.110","27.690","2.26M","0.83%"
"Dec 02, 2019","27.670","28.350","28.430","27.570","7.62M","-2.09%"
"Nov 29, 2019","28.260","28.080","28.470","28.070","2.20M","0.11%"
"Nov 28, 2019","28.230","27.840","28.230","27.820","1.63M","1.18%"
"Nov 27, 2019","27.900","27.920","28.070","27.870","1.86M","-0.07%"
"Nov 26, 2019","27.920","27.740","27.930","27.730","4.54M","0.72%"
"Nov 25, 2019","27.720","27.570","27.760","27.450","6.27M","0.84%"
"Nov 22, 2019","27.490","27.580","27.740","27.400","3.59M","-0.22%"
"Nov 21, 2019","27.550","27.220","27.550","27.070","3.05M","0.77%"
"Nov 20, 2019","27.340","27.600","27.620","27.330","2.65M","-1.09%"
"Nov 19, 2019","27.640","28.180","28.190","27.560","2.57M","-1.64%"
"Nov 18, 2019","28.100","27.900","28.100","27.790","2.41M","0.43%"
