"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","2.360","2.382","2.402","2.360","1.88M","-1.38%"
"Dec 30, 2019","2.393","2.409","2.420","2.393","2.63M","-1.12%"
"Dec 27, 2019","2.420","2.405","2.420","2.402","12.66M","0.79%"
"Dec 24, 2019","2.401","2.420","2.420","2.401","951.80K","-0.95%"
"Dec 23, 2019","2.424","2.423","2.431","2.400","25.11M","-0.21%"
"Dec 20, 2019","2.429","2.369","2.429","2.362","31.04M","2.97%"
"Dec 19, 2019","2.359","2.430","2.430","2.359","28.41M","-4.34%"
"Dec 18, 2019","2.466","2.462","2.482","2.460","3.99M","0.04%"
"Dec 17, 2019","2.465","2.476","2.497","2.461","5.97M","-0.24%"
"Dec 16, 2019","2.471","2.560","2.564","2.446","10.31M","-3.74%"
"Dec 13, 2019","2.567","2.600","2.617","2.567","13.17M","0.04%"
"Dec 12, 2019","2.566","2.552","2.573","2.503","4.05M","0.63%"
"Dec 11, 2019","2.550","2.574","2.574","2.550","3.38M","-0.78%"
"Dec 10, 2019","2.570","2.596","2.599","2.554","11.95M","-0.96%"
"Dec 09, 2019","2.595","2.595","2.614","2.580","14.01M","0.00%"
"Dec 06, 2019","2.595","2.534","2.595","2.530","27.23M","2.73%"
"Dec 05, 2019","2.526","2.531","2.558","2.522","24.06M","-0.32%"
"Dec 04, 2019","2.534","2.472","2.534","2.472","3.00M","2.18%"
"Dec 03, 2019","2.480","2.549","2.554","2.480","4.87M","-2.36%"
"Dec 02, 2019","2.540","2.575","2.582","2.540","3.51M","-0.74%"
"Nov 29, 2019","2.559","2.559","2.579","2.552","3.73M","-0.70%"
"Nov 28, 2019","2.577","2.552","2.577","2.552","1.84M","0.59%"
"Nov 27, 2019","2.562","2.527","2.573","2.524","4.51M","1.67%"
"Nov 26, 2019","2.520","2.507","2.522","2.500","7.79M","0.44%"
"Nov 25, 2019","2.509","2.518","2.528","2.507","2.75M","0.36%"
"Nov 22, 2019","2.500","2.499","2.525","2.497","3.32M","0.77%"
"Nov 21, 2019","2.481","2.498","2.498","2.474","3.10M","-0.76%"
"Nov 20, 2019","2.500","2.508","2.508","2.476","3.78M","-0.79%"
