"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","7.860","7.890","7.970","7.850","105.15K","-0.76%"
"Dec 30, 2019","7.920","7.990","8.040","7.920","308.48K","-1.37%"
"Dec 27, 2019","8.030","8.070","8.080","7.960","243.06K","0.25%"
"Dec 24, 2019","8.010","8.100","8.120","8.010","88.67K","-1.11%"
"Dec 23, 2019","8.100","7.920","8.100","7.920","332.78K","1.50%"
"Dec 20, 2019","7.980","8.000","8.030","7.880","838.57K","0.25%"
"Dec 19, 2019","7.960","8.050","8.060","7.940","302.19K","-1.00%"
"Dec 18, 2019","8.040","7.970","8.040","7.950","691.67K","0.37%"
"Dec 17, 2019","8.010","7.950","8.060","7.910","671.81K","0.63%"
"Dec 16, 2019","7.960","7.850","7.980","7.820","482.32K","2.18%"
"Dec 13, 2019","7.790","7.810","7.900","7.720","776.12K","0.52%"
"Dec 12, 2019","7.750","7.560","7.750","7.530","688.89K","2.65%"
"Dec 11, 2019","7.550","7.670","7.680","7.530","351.59K","-1.31%"
"Dec 10, 2019","7.650","7.790","7.790","7.620","405.61K","-1.67%"
"Dec 09, 2019","7.780","7.790","7.870","7.740","341.31K","-0.13%"
"Dec 06, 2019","7.790","7.580","7.840","7.580","632.79K","2.77%"
"Dec 05, 2019","7.580","7.470","7.620","7.460","1.25M","1.47%"
"Dec 04, 2019","7.470","7.420","7.540","7.390","441.80K","1.36%"
"Dec 03, 2019","7.370","7.420","7.450","7.320","684.82K","-0.67%"
"Dec 02, 2019","7.420","7.560","7.640","7.410","499.16K","-1.46%"
"Nov 29, 2019","7.530","7.550","7.620","7.510","456.99K","-0.92%"
"Nov 28, 2019","7.600","7.620","7.650","7.560","567.25K","-0.78%"
"Nov 27, 2019","7.660","7.610","7.670","7.560","415.37K","1.06%"
"Nov 26, 2019","7.580","7.580","7.610","7.500","488.15K","-0.66%"
"Nov 25, 2019","7.630","7.640","7.670","7.610","307.43K","0.13%"
"Nov 22, 2019","7.620","7.450","7.620","7.450","404.73K","2.14%"
"Nov 21, 2019","7.460","7.580","7.580","7.450","702.69K","-2.10%"
"Nov 20, 2019","7.620","7.640","7.650","7.510","377.87K","-0.26%"
"Nov 19, 2019","7.640","7.610","7.760","7.560","1.38M","1.06%"
"Nov 18, 2019","7.560","7.750","7.750","7.510","509.24K","-1.95%"
"Nov 15, 2019","7.710","7.740","7.780","7.620","681.79K","0.13%"
"Nov 14, 2019","7.700","7.580","7.720","7.520","830.81K","1.32%"
"Nov 13, 2019","7.600","7.610","7.640","7.490","647.35K","0.13%"
"Nov 12, 2019","7.590","7.610","7.670","7.550","688.04K","0.00%"
"Nov 11, 2019","7.590","7.490","7.590","7.450","463.16K","1.20%"
"Nov 08, 2019","7.500","7.310","7.560","7.290","928.89K","1.08%"
"Nov 07, 2019","7.420","7.410","7.540","7.400","562.83K","0.27%"
"Nov 06, 2019","7.400","7.330","7.420","7.300","433.95K","0.41%"
"Nov 05, 2019","7.370","7.340","7.370","7.270","594.68K","1.66%"
"Nov 04, 2019","7.250","7.320","7.430","7.250","826.30K","-2.42%"
"Nov 01, 2019","7.430","7.290","7.450","7.280","431.34K","1.78%"
"Oct 31, 2019","7.300","7.210","7.330","7.140","564.77K","1.25%"
"Oct 30, 2019","7.210","7.460","7.480","7.130","676.33K","-3.48%"
