"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","12.79","12.65","12.79","12.56","199.99K","0.08%"
"Dec 30, 2019","12.78","12.92","12.92","12.72","576.46K","-0.93%"
"Dec 27, 2019","12.90","13.00","13.00","12.84","570.89K","0.86%"
"Dec 24, 2019","12.79","12.80","12.83","12.71","163.23K","-0.08%"
"Dec 23, 2019","12.80","12.83","12.84","12.76","1.08M","-0.31%"
"Dec 20, 2019","12.84","12.78","12.85","12.71","1.58M","0.63%"
"Dec 19, 2019","12.76","12.75","12.78","12.68","697.91K","0.16%"
"Dec 18, 2019","12.74","12.63","12.74","12.59","719.49K","1.11%"
"Dec 17, 2019","12.60","12.70","12.73","12.59","966.54K","-0.71%"
"Dec 16, 2019","12.69","12.75","12.78","12.65","1.08M","0.32%"
"Dec 13, 2019","12.65","12.70","12.74","12.62","2.34M","0.48%"
"Dec 12, 2019","12.59","12.84","12.84","12.59","589.19K","-1.64%"
"Dec 11, 2019","12.80","12.89","12.92","12.68","580.79K","-0.85%"
"Dec 10, 2019","12.91","12.92","13.03","12.81","684.58K","0.08%"
"Dec 09, 2019","12.90","12.98","12.98","12.81","486.65K","-0.54%"
"Dec 06, 2019","12.97","12.82","13.02","12.82","1.09M","1.25%"
"Dec 05, 2019","12.81","12.92","13.01","12.78","1.28M","-1.00%"
"Dec 04, 2019","12.94","12.87","12.95","12.82","1.09M","0.70%"
"Dec 03, 2019","12.85","12.79","12.97","12.79","743.24K","0.47%"
"Dec 02, 2019","12.79","12.99","13.04","12.74","928.14K","-1.39%"
"Nov 29, 2019","12.97","12.84","13.13","12.81","711.79K","1.17%"
"Nov 28, 2019","12.82","12.72","12.85","12.72","507.91K","0.31%"
"Nov 27, 2019","12.78","12.73","12.92","12.73","850.25K","0.39%"
"Nov 26, 2019","12.73","12.64","12.80","12.60","1.29M","0.63%"
"Nov 25, 2019","12.65","12.65","12.73","12.60","1.08M","0.00%"
"Nov 22, 2019","12.65","12.83","12.89","12.64","1.37M","-1.09%"
"Nov 21, 2019","12.79","13.10","13.10","12.79","1.20M","-2.37%"
"Nov 20, 2019","13.10","13.39","13.43","13.09","1.19M","-2.31%"
"Nov 19, 2019","13.41","13.36","13.42","13.33","835.30K","0.52%"
"Nov 18, 2019","13.34","13.28","13.35","13.12","1.47M","0.38%"
