"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","15.620","15.600","15.650","15.510","220.31K","-0.45%"
"Dec 30, 2019","15.690","15.580","15.870","15.530","523.51K","0.06%"
"Dec 27, 2019","15.680","16.030","16.220","15.660","609.28K","-1.13%"
"Dec 24, 2019","15.860","16.000","16.070","15.860","181.08K","-0.63%"
"Dec 23, 2019","15.960","16.040","16.260","15.840","486.70K","-1.42%"
"Dec 20, 2019","16.190","16.450","16.530","16.160","467.79K","-1.82%"
"Dec 19, 2019","16.490","16.490","16.490","16.280","479.90K","0.43%"
"Dec 18, 2019","16.420","16.390","16.450","16.200","452.57K","0.43%"
"Dec 17, 2019","16.350","16.570","16.590","16.230","737.74K","-1.92%"
"Dec 16, 2019","16.670","16.560","16.920","16.390","923.62K","2.27%"
"Dec 13, 2019","16.300","16.990","17.220","16.300","1.87M","-0.12%"
"Dec 12, 2019","16.320","15.920","16.370","15.590","984.86K","3.23%"
"Dec 11, 2019","15.810","15.800","15.920","15.610","588.23K","0.00%"
"Dec 10, 2019","15.810","16.030","16.040","15.580","697.00K","-2.04%"
"Dec 09, 2019","16.140","16.150","16.290","16.090","512.27K","0.25%"
"Dec 06, 2019","16.100","15.720","16.100","15.560","891.93K","3.40%"
"Dec 05, 2019","15.570","15.400","15.850","15.360","976.83K","1.43%"
"Dec 04, 2019","15.350","14.790","15.350","14.790","652.10K","3.72%"
"Dec 03, 2019","14.800","15.300","15.370","14.600","961.73K","-3.27%"
"Dec 02, 2019","15.300","15.690","15.920","15.260","726.22K","-1.61%"
"Nov 29, 2019","15.550","15.490","15.740","15.340","335.67K","-0.32%"
"Nov 28, 2019","15.600","15.630","15.630","15.420","388.65K","-0.45%"
"Nov 27, 2019","15.670","16.000","16.030","15.660","784.18K","-1.69%"
"Nov 26, 2019","15.940","15.880","15.940","15.620","623.49K","0.76%"
"Nov 25, 2019","15.820","15.600","15.880","15.600","851.93K","2.86%"
"Nov 22, 2019","15.380","14.500","15.410","14.480","1.37M","6.36%"
"Nov 21, 2019","14.460","14.560","14.620","14.320","904.33K","-2.49%"
"Nov 20, 2019","14.830","14.720","14.860","14.320","820.51K","0.41%"
"Nov 19, 2019","14.770","14.760","15.040","14.710","663.40K","0.68%"
"Nov 18, 2019","14.670","15.240","15.270","14.550","742.97K","-3.10%"
"Nov 15, 2019","15.140","15.020","15.250","14.920","784.58K","2.44%"
"Nov 14, 2019","14.780","15.120","15.120","14.770","983.58K","-2.95%"
"Nov 13, 2019","15.230","15.410","15.440","14.980","1.11M","-2.12%"
"Nov 12, 2019","15.560","15.700","15.820","15.360","974.92K","0.19%"
"Nov 11, 2019","15.530","15.230","15.600","15.070","830.04K","0.45%"
"Nov 08, 2019","15.460","15.460","15.760","15.210","1.29M","-0.06%"
"Nov 07, 2019","15.470","15.400","15.770","15.200","2.20M","6.69%"
"Nov 06, 2019","14.500","14.910","15.050","14.430","1.10M","-2.62%"
"Nov 05, 2019","14.890","14.590","14.990","14.500","1.06M","1.92%"
"Nov 04, 2019","14.610","14.130","14.670","14.050","1.73M","4.06%"
"Nov 01, 2019","14.040","13.400","14.100","13.370","1.05M","6.28%"
"Oct 31, 2019","13.210","13.710","13.710","12.880","1.23M","-3.51%"
"Oct 30, 2019","13.690","14.190","14.230","13.550","827.65K","-3.52%"
"Oct 29, 2019","14.190","14.280","14.330","14.070","634.51K","-0.56%"
"Oct 28, 2019","14.270","14.100","14.380","14.100","736.93K","1.64%"
"Oct 25, 2019","14.040","13.680","14.080","13.600","1.51M","3.62%"
"Oct 24, 2019","13.550","13.750","13.910","13.430","918.50K","-0.59%"
"Oct 23, 2019","13.630","13.220","13.850","13.140","1.09M","1.87%"
"Oct 22, 2019","13.380","13.610","13.820","13.220","1.07M","-1.11%"
"Oct 21, 2019","13.530","13.120","13.800","13.060","1.36M","2.66%"
"Oct 18, 2019","13.180","12.960","13.340","12.790","929.58K","0.76%"
"Oct 17, 2019","13.080","12.880","13.470","12.820","1.28M","-0.08%"
"Oct 16, 2019","13.090","13.100","13.260","12.820","1.09M","-0.68%"
"Oct 15, 2019","13.180","13.200","13.320","12.970","1.13M","0.61%"
"Oct 14, 2019","13.100","13.450","13.460","12.630","1.97M","-2.53%"
"Oct 11, 2019","13.440","12.800","13.490","12.770","1.92M","5.83%"
"Oct 10, 2019","12.700","12.040","12.710","12.020","1.30M","6.37%"
"Oct 09, 2019","11.940","11.800","12.150","11.730","1.09M","1.02%"
"Oct 08, 2019","11.820","12.250","12.330","11.700","1.11M","-2.80%"
"Oct 07, 2019","12.160","11.770","12.210","11.570","990.80K","3.23%"
"Oct 04, 2019","11.780","11.730","11.850","11.530","1.03M","-0.17%"
"Oct 03, 2019","11.800","12.040","12.040","11.560","1.22M","-1.58%"
"Oct 02, 2019","11.990","12.600","12.670","11.990","1.64M","-5.89%"
"Oct 01, 2019","12.740","13.100","13.230","12.670","834.02K","-1.32%"
"Sep 30, 2019","12.910","13.030","13.120","12.780","641.34K","-0.77%"
"Sep 27, 2019","13.010","12.760","13.070","12.740","765.54K","2.85%"
"Sep 26, 2019","12.650","13.120","13.270","12.650","990.86K","-3.58%"
"Sep 25, 2019","13.120","12.750","13.120","12.430","1.30M","2.50%"
"Sep 24, 2019","12.800","13.100","13.180","12.770","947.29K","-1.77%"
"Sep 23, 2019","13.030","13.660","13.660","12.920","1.53M","-5.72%"
"Sep 20, 2019","13.820","14.000","14.000","13.670","684.64K","-1.57%"
"Sep 19, 2019","14.040","14.450","14.500","14.040","1.44M","-4.81%"
"Sep 18, 2019","14.750","14.800","15.020","14.580","574.74K","0.07%"
"Sep 17, 2019","14.740","15.170","15.190","14.520","1.15M","-3.34%"
"Sep 16, 2019","15.250","15.490","15.490","15.100","737.56K","-2.06%"
"Sep 13, 2019","15.570","15.060","15.640","15.060","876.57K","3.46%"
"Sep 12, 2019","15.050","15.270","15.420","14.580","1.15M","-0.33%"
"Sep 11, 2019","15.100","15.000","15.260","14.890","945.43K","2.37%"
"Sep 10, 2019","14.750","14.330","14.790","14.240","859.33K","3.22%"
"Sep 09, 2019","14.290","13.910","14.300","13.760","475.71K","3.03%"
"Sep 06, 2019","13.870","13.960","14.020","13.640","471.76K","-0.14%"
"Sep 05, 2019","13.890","13.680","14.050","13.630","1.01M","3.19%"
"Sep 04, 2019","13.460","13.000","13.460","12.930","747.17K","6.07%"
"Sep 03, 2019","12.690","12.900","12.950","12.620","530.41K","-1.48%"
"Sep 02, 2019","12.880","13.190","13.280","12.780","533.80K","-1.68%"
"Aug 30, 2019","13.100","12.890","13.200","12.820","685.04K","1.63%"
"Aug 29, 2019","12.890","12.330","12.950","12.200","933.98K","3.95%"
"Aug 28, 2019","12.400","12.410","12.440","12.090","508.33K","0.00%"
"Aug 27, 2019","12.400","12.410","12.590","12.270","468.00K","-0.08%"
"Aug 26, 2019","12.410","12.050","12.560","12.030","650.68K","1.72%"
"Aug 23, 2019","12.200","12.580","12.740","12.110","747.30K","-2.40%"
"Aug 22, 2019","12.500","12.110","12.680","11.890","777.83K","2.97%"
"Aug 21, 2019","12.140","12.060","12.320","12.060","359.90K","1.59%"
"Aug 20, 2019","11.950","12.150","12.180","11.870","464.23K","-2.05%"
"Aug 19, 2019","12.200","12.020","12.330","11.930","629.55K","3.48%"
"Aug 16, 2019","11.790","11.650","11.790","11.480","818.62K","2.88%"
"Aug 15, 2019","11.460","11.590","11.660","11.200","950.82K","-0.52%"
"Aug 14, 2019","11.520","12.470","12.470","11.430","1.10M","-7.77%"
"Aug 13, 2019","12.490","11.810","12.650","11.640","904.08K","5.31%"
"Aug 12, 2019","11.860","12.200","12.350","11.810","579.64K","-1.66%"
"Aug 09, 2019","12.060","12.920","12.930","12.060","813.80K","-6.94%"
"Aug 08, 2019","12.960","12.680","12.980","12.570","478.13K","4.52%"
"Aug 07, 2019","12.400","12.540","12.720","12.230","546.35K","-0.80%"
"Aug 06, 2019","12.500","12.770","12.930","12.500","615.70K","-2.19%"
"Aug 05, 2019","12.780","12.950","12.960","12.600","952.98K","-4.34%"
"Aug 02, 2019","13.360","13.650","13.680","13.170","1.11M","-6.57%"
"Aug 01, 2019","14.300","14.390","14.940","13.920","639.77K","-1.58%"
"Jul 31, 2019","14.530","14.710","14.950","14.530","244.36K","-0.48%"
"Jul 30, 2019","14.600","15.100","15.170","14.480","527.76K","-2.99%"
"Jul 29, 2019","15.050","15.170","15.200","14.980","219.79K","-0.66%"
"Jul 26, 2019","15.150","15.420","15.430","15.060","194.88K","-1.75%"
"Jul 25, 2019","15.420","15.860","16.030","15.240","580.77K","-1.47%"
"Jul 24, 2019","15.650","15.960","15.970","15.580","387.81K","-1.39%"
"Jul 23, 2019","15.870","15.450","16.120","15.450","1.20M","4.41%"
"Jul 22, 2019","15.200","14.890","15.480","14.880","559.78K","2.36%"
"Jul 19, 2019","14.850","14.890","14.970","14.540","335.11K","0.95%"
"Jul 18, 2019","14.710","14.900","14.980","14.710","350.44K","-2.52%"
