"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","22.400","22.610","22.710","22.400","742.97K","-1.75%"
"Dec 30, 2019","22.800","22.800","22.890","22.690","670.94K","-0.31%"
"Dec 27, 2019","22.870","22.810","22.990","22.800","723.22K","0.26%"
"Dec 24, 2019","22.810","22.970","22.970","22.810","242.41K","-0.35%"
"Dec 23, 2019","22.890","22.940","23.050","22.860","1.11M","0.26%"
"Dec 20, 2019","22.830","22.750","23.130","22.730","4.84M","0.40%"
"Dec 19, 2019","22.740","22.590","22.770","22.420","1.07M","0.57%"
"Dec 18, 2019","22.610","22.960","23.160","22.490","1.40M","-1.31%"
"Dec 17, 2019","22.910","22.760","23.060","22.750","1.49M","0.66%"
"Dec 16, 2019","22.760","22.860","22.940","22.640","1.10M","-0.13%"
"Dec 13, 2019","22.790","22.720","22.980","22.370","1.17M","0.75%"
"Dec 12, 2019","22.620","22.840","22.870","22.570","1.35M","-0.83%"
"Dec 11, 2019","22.810","22.830","23.100","22.770","1.24M","0.40%"
"Dec 10, 2019","22.720","22.870","22.940","22.570","1.18M","-1.05%"
"Dec 09, 2019","22.960","22.900","23.050","22.860","1.26M","-0.04%"
"Dec 06, 2019","22.970","22.840","23.080","22.760","793.92K","0.61%"
"Dec 05, 2019","22.830","23.010","23.210","22.800","1.27M","-0.78%"
"Dec 04, 2019","23.010","22.990","23.110","22.780","1.35M","0.48%"
"Dec 03, 2019","22.900","23.000","23.080","22.760","1.06M","0.04%"
"Dec 02, 2019","22.890","23.640","23.680","22.890","1.27M","-3.01%"
"Nov 29, 2019","23.600","23.550","23.790","23.480","773.42K","0.43%"
"Nov 28, 2019","23.500","23.580","23.690","23.410","486.41K","-0.51%"
"Nov 27, 2019","23.620","23.600","23.850","23.540","948.63K","0.43%"
"Nov 26, 2019","23.520","23.750","23.760","23.380","4.01M","-0.97%"
"Nov 25, 2019","23.750","23.560","23.850","23.460","577.18K","0.93%"
"Nov 22, 2019","23.530","23.680","23.760","23.530","1.02M","-0.68%"
"Nov 21, 2019","23.690","23.700","23.920","23.640","799.38K","-0.29%"
"Nov 20, 2019","23.760","23.670","23.840","23.570","680.92K","0.13%"
"Nov 19, 2019","23.730","23.970","24.110","23.730","1.43M","-1.37%"
"Nov 18, 2019","24.060","23.800","24.080","23.690","2.20M","1.05%"
"Nov 15, 2019","23.810","23.800","24.100","23.680","1.12M","0.59%"
"Nov 14, 2019","23.670","23.800","24.100","23.670","1.84M","-0.84%"
"Nov 13, 2019","23.870","23.790","23.940","23.530","2.70M","0.08%"
"Nov 12, 2019","23.850","24.060","24.170","23.750","1.42M","-1.04%"
"Nov 11, 2019","24.100","23.930","24.150","23.810","1.59M","0.71%"
"Nov 08, 2019","23.930","23.820","24.100","23.730","1.21M","-1.72%"
"Nov 07, 2019","24.350","24.460","24.660","24.250","1.16M","-0.37%"
"Nov 06, 2019","24.440","24.050","24.480","23.890","1.00M","1.71%"
"Nov 05, 2019","24.030","23.870","24.030","23.700","1.54M","0.46%"
"Nov 04, 2019","23.920","24.160","24.160","23.800","3.59M","-0.37%"
"Nov 01, 2019","24.010","24.480","24.480","23.990","2.60M","-1.64%"
"Oct 31, 2019","24.410","24.270","24.980","24.260","2.02M","1.96%"
"Oct 30, 2019","23.940","23.950","24.060","23.490","1.40M","0.67%"
"Oct 29, 2019","23.780","23.550","23.840","23.500","1.39M","0.93%"
"Oct 28, 2019","23.560","23.750","23.750","23.540","796.09K","-0.30%"
"Oct 25, 2019","23.630","24.120","24.120","23.550","819.32K","-1.54%"
"Oct 24, 2019","24.000","24.070","24.140","23.890","782.45K","0.13%"
"Oct 23, 2019","23.970","24.060","24.130","23.890","828.29K","-0.62%"
"Oct 22, 2019","24.120","23.920","24.250","23.830","440.42K","0.58%"
"Oct 21, 2019","23.980","24.220","24.290","23.800","781.67K","-0.75%"
"Oct 18, 2019","24.160","24.120","24.280","24.070","708.34K","0.33%"
"Oct 17, 2019","24.080","24.140","24.490","24.000","1.67M","0.21%"
"Oct 16, 2019","24.030","24.250","24.390","23.920","1.21M","-0.91%"
"Oct 15, 2019","24.250","24.150","24.370","24.120","1.19M","0.50%"
"Oct 14, 2019","24.130","23.930","24.180","23.870","1.29M","0.79%"
"Oct 11, 2019","23.940","23.720","23.940","23.540","1.85M","0.93%"
"Oct 10, 2019","23.720","23.600","23.740","23.430","822.59K","0.30%"
"Oct 09, 2019","23.650","23.770","23.770","23.470","1.69M","-0.30%"
"Oct 08, 2019","23.720","24.000","24.000","23.680","1.58M","-0.84%"
"Oct 07, 2019","23.920","23.660","23.970","23.640","578.30K","1.36%"
"Oct 04, 2019","23.600","23.630","23.750","23.490","913.36K","0.47%"
"Oct 03, 2019","23.490","23.610","23.680","23.350","966.99K","-0.25%"
"Oct 02, 2019","23.550","24.380","24.380","23.550","1.32M","-3.21%"
"Oct 01, 2019","24.330","24.350","24.430","24.220","687.99K","-0.04%"
"Sep 30, 2019","24.340","24.160","24.480","24.120","903.58K","1.37%"
"Sep 27, 2019","24.010","24.110","24.280","23.960","704.66K","-0.50%"
