"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","42.840","43.344","44.400","40.800","294.90K","-0.83%"
"Dec 30, 2019","43.200","42.072","46.152","42.000","612.23K","3.45%"
"Dec 27, 2019","41.760","40.656","42.000","40.200","326.85K","6.36%"
"Dec 24, 2019","39.264","37.800","40.368","37.680","295.61K","2.89%"
"Dec 23, 2019","38.160","34.896","38.760","34.200","455.47K","9.73%"
"Dec 20, 2019","34.776","35.256","36.456","33.216","473.32K","-0.07%"
"Dec 19, 2019","34.800","29.592","36.360","29.184","850.73K","19.15%"
"Dec 18, 2019","29.208","29.856","29.904","28.584","107.68K","-2.09%"
"Dec 17, 2019","29.832","29.736","30.432","29.520","167.38K","0.73%"
"Dec 16, 2019","29.616","28.704","29.880","28.320","134.85K","4.05%"
"Dec 13, 2019","28.464","29.040","29.376","28.440","130.61K","-1.66%"
"Dec 12, 2019","28.944","27.864","29.952","27.600","331.31K","3.79%"
"Dec 11, 2019","27.888","28.200","28.200","27.360","42.12K","-1.11%"
"Dec 10, 2019","28.200","27.888","28.416","27.360","60.87K","0.69%"
"Dec 09, 2019","28.008","28.200","28.416","27.600","64.72K","-0.60%"
"Dec 06, 2019","28.176","28.152","28.680","27.720","89.22K","1.03%"
"Dec 05, 2019","27.888","27.384","28.320","27.360","115.97K","1.93%"
"Dec 04, 2019","27.360","26.928","27.360","26.688","54.70K","1.60%"
"Dec 03, 2019","26.928","27.336","27.336","26.160","70.60K","-0.09%"
"Dec 02, 2019","26.952","26.976","27.912","26.616","130.49K","1.17%"
"Nov 29, 2019","26.640","25.488","27.360","25.488","118.08K","3.26%"
"Nov 28, 2019","25.800","27.336","28.008","25.320","192.18K","-6.28%"
"Nov 27, 2019","27.528","25.680","27.696","25.344","356.29K","7.30%"
"Nov 26, 2019","25.656","23.784","25.656","23.784","334.34K","8.86%"
"Nov 25, 2019","23.568","23.508","23.724","23.004","29.46K","1.45%"
"Nov 22, 2019","23.232","24.072","24.480","22.560","109.66K","-3.20%"
"Nov 21, 2019","24.000","22.056","24.000","21.936","129.00K","9.23%"
"Nov 20, 2019","21.972","21.600","22.080","21.384","36.63K","1.50%"
"Nov 19, 2019","21.648","21.660","21.900","21.624","48.83K","-0.17%"
"Nov 18, 2019","21.684","21.624","22.056","21.624","24.96K","-1.09%"
"Nov 15, 2019","21.924","21.792","22.140","21.528","31.80K","1.61%"
"Nov 14, 2019","21.576","21.660","21.972","21.336","57.18K","-0.50%"
"Nov 13, 2019","21.684","21.960","22.512","21.120","63.03K","-2.43%"
"Nov 12, 2019","22.224","23.628","23.640","21.960","85.56K","-4.93%"
"Nov 11, 2019","23.376","23.208","23.964","23.100","58.55K","0.72%"
"Nov 08, 2019","23.208","22.692","23.220","22.476","36.52K","1.68%"
"Nov 07, 2019","22.824","22.320","23.004","22.320","34.69K","1.71%"
"Nov 06, 2019","22.440","22.068","22.476","21.960","24.45K","1.47%"
"Nov 05, 2019","22.116","23.040","23.040","21.984","37.37K","-2.74%"
