"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","17.925","18.115","18.115","17.860","411.07K","-0.83%"
"Dec 30, 2019","18.075","18.195","18.195","18.035","1.49M","-0.55%"
"Dec 27, 2019","18.175","18.110","18.210","18.030","820.33K","0.97%"
"Dec 24, 2019","18.000","18.045","18.045","17.970","279.37K","-0.25%"
"Dec 23, 2019","18.045","18.125","18.210","17.970","837.93K","-0.36%"
"Dec 20, 2019","18.110","17.860","18.115","17.840","3.11M","1.57%"
"Dec 19, 2019","17.830","17.600","17.835","17.595","2.27M","1.48%"
"Dec 18, 2019","17.570","17.775","17.890","17.550","1.32M","-0.93%"
"Dec 17, 2019","17.735","17.635","17.850","17.620","1.48M","0.31%"
"Dec 16, 2019","17.680","17.505","17.735","17.505","3.68M","1.12%"
"Dec 13, 2019","17.485","17.565","17.700","17.390","1.67M","0.00%"
"Dec 12, 2019","17.485","17.735","17.735","17.460","2.00M","-1.33%"
"Dec 11, 2019","17.720","17.585","17.750","17.535","2.45M","0.74%"
"Dec 10, 2019","17.590","17.435","17.590","17.375","8.30M","0.77%"
"Dec 09, 2019","17.455","17.610","17.630","17.430","821.58K","-0.94%"
"Dec 06, 2019","17.620","17.475","17.645","17.365","1.01M","1.00%"
"Dec 05, 2019","17.445","17.510","17.610","17.415","2.32M","-0.43%"
"Dec 04, 2019","17.520","17.375","17.545","17.330","1.10M","0.55%"
"Dec 03, 2019","17.425","17.300","17.450","17.280","2.17M","0.66%"
"Dec 02, 2019","17.310","17.715","17.735","17.235","2.17M","-2.48%"
"Nov 29, 2019","17.750","17.505","17.770","17.465","1.84M","1.57%"
"Nov 28, 2019","17.475","17.440","17.640","17.385","1.30M","0.78%"
"Nov 27, 2019","17.340","17.350","17.410","17.270","1.45M","0.61%"
"Nov 26, 2019","17.235","17.240","17.330","17.195","5.76M","-0.35%"
"Nov 25, 2019","17.295","17.250","17.370","17.145","1.65M","0.82%"
"Nov 22, 2019","17.155","17.250","17.325","17.155","1.05M","-0.26%"
"Nov 21, 2019","17.200","17.255","17.390","17.160","1.36M","-0.35%"
"Nov 20, 2019","17.260","17.160","17.330","17.120","1.86M","0.26%"
"Nov 19, 2019","17.215","17.300","17.425","17.130","1.73M","-0.72%"
"Nov 18, 2019","17.340","17.150","17.410","17.080","3.75M","1.34%"
"Nov 15, 2019","17.110","17.250","17.295","17.080","2.40M","-0.84%"
"Nov 14, 2019","17.255","17.420","17.560","17.255","3.34M","-1.06%"
"Nov 13, 2019","17.440","17.455","17.655","17.360","2.20M","-0.46%"
"Nov 12, 2019","17.520","17.700","17.795","17.500","2.04M","-1.43%"
"Nov 11, 2019","17.775","17.660","17.800","17.620","3.86M","-0.06%"
"Nov 08, 2019","17.785","17.955","18.045","17.655","1.99M","-0.92%"
"Nov 07, 2019","17.950","17.970","18.070","17.925","3.34M","-0.06%"
"Nov 06, 2019","17.960","18.000","18.000","17.650","1.56M","0.03%"
"Nov 05, 2019","17.955","17.980","18.095","17.850","1.86M","-0.31%"
"Nov 04, 2019","18.010","18.115","18.175","17.940","1.23M","-0.28%"
"Nov 01, 2019","18.060","18.085","18.160","17.940","1.50M","0.06%"
"Oct 31, 2019","18.050","18.570","18.900","17.895","2.62M","-2.96%"
"Oct 30, 2019","18.600","18.270","18.600","18.050","1.30M","1.83%"
"Oct 29, 2019","18.265","18.240","18.350","18.055","1.07M","-0.22%"
"Oct 28, 2019","18.305","18.370","18.370","18.210","750.75K","-0.22%"
"Oct 25, 2019","18.345","18.420","18.600","18.295","1.12M","-0.41%"
"Oct 24, 2019","18.420","18.350","18.600","18.345","1.25M","0.88%"
"Oct 23, 2019","18.260","18.100","18.270","18.100","953.68K","0.36%"
"Oct 22, 2019","18.195","18.010","18.195","17.980","648.31K","1.03%"
"Oct 21, 2019","18.010","18.150","18.165","17.940","3.93M","-0.41%"
"Oct 18, 2019","18.085","17.950","18.125","17.905","3.82M","0.98%"
"Oct 17, 2019","17.910","18.105","18.215","17.895","1.76M","-1.05%"
"Oct 16, 2019","18.100","18.070","18.155","17.965","2.83M","0.22%"
"Oct 15, 2019","18.060","18.075","18.140","17.970","2.15M","-0.06%"
"Oct 14, 2019","18.070","18.010","18.225","17.970","791.30K","0.39%"
"Oct 11, 2019","18.000","18.025","18.035","17.860","1.22M","0.50%"
"Oct 10, 2019","17.910","18.055","18.075","17.835","1.60M","-0.67%"
"Oct 09, 2019","18.030","18.035","18.150","17.995","1.17M","0.00%"
"Oct 08, 2019","18.030","18.170","18.180","17.990","1.95M","0.00%"
"Oct 07, 2019","18.030","18.085","18.180","18.005","1.37M","-0.30%"
"Oct 04, 2019","18.085","18.100","18.130","17.990","1.07M","0.36%"
"Oct 03, 2019","18.020","18.130","18.180","17.980","1.07M","0.11%"
"Oct 02, 2019","18.000","18.565","18.565","18.000","2.09M","-2.76%"
"Oct 01, 2019","18.510","18.635","18.670","18.415","1.06M","-0.67%"
"Sep 30, 2019","18.635","18.135","18.635","18.130","1.55M","2.62%"
"Sep 27, 2019","18.160","18.220","18.275","18.065","906.89K","-0.36%"
"Sep 26, 2019","18.225","18.040","18.225","17.990","1.08M","1.03%"
"Sep 25, 2019","18.040","18.270","18.325","17.970","1.60M","-1.20%"
"Sep 24, 2019","18.260","18.300","18.305","18.185","1.23M","-0.05%"
"Sep 23, 2019","18.270","18.415","18.485","18.210","922.90K","-0.22%"
"Sep 20, 2019","18.310","18.560","18.635","18.240","2.18M","-1.29%"
"Sep 19, 2019","18.550","18.575","18.770","18.470","1.35M","-0.24%"
"Sep 18, 2019","18.595","18.490","18.710","18.295","2.45M","0.57%"
"Sep 17, 2019","18.490","18.055","18.495","18.015","3.00M","2.72%"
"Sep 16, 2019","18.000","18.025","18.165","17.970","2.06M","-0.33%"
"Sep 13, 2019","18.060","18.360","18.370","18.025","1.14M","-1.50%"
"Sep 12, 2019","18.335","18.360","18.560","18.185","2.50M","0.14%"
"Sep 11, 2019","18.310","18.080","18.310","17.825","1.99M","1.69%"
"Sep 10, 2019","18.005","18.045","18.045","17.750","1.17M","0.14%"
"Sep 09, 2019","17.980","18.150","18.180","17.980","961.45K","-1.05%"
"Sep 06, 2019","18.170","18.305","18.320","18.140","1.12M","-0.76%"
"Sep 05, 2019","18.310","18.380","18.400","18.220","1.16M","0.05%"
"Sep 04, 2019","18.300","18.300","18.395","18.250","1.49M","-0.27%"
"Sep 03, 2019","18.350","18.160","18.380","18.070","1.19M","0.96%"
"Sep 02, 2019","18.175","18.070","18.280","18.050","676.13K","0.28%"
"Aug 30, 2019","18.125","17.855","18.135","17.840","1.55M","2.08%"
"Aug 29, 2019","17.755","17.780","17.975","17.745","700.03K","-0.39%"
"Aug 28, 2019","17.825","17.845","17.950","17.700","1.92M","-0.36%"
"Aug 27, 2019","17.890","17.610","17.900","17.485","1.83M","1.85%"
"Aug 26, 2019","17.565","17.400","17.580","17.390","451.48K","0.69%"
"Aug 23, 2019","17.445","17.595","17.650","17.445","2.61M","-0.29%"
"Aug 22, 2019","17.495","17.610","17.695","17.495","952.46K","-0.54%"
"Aug 21, 2019","17.590","17.600","17.660","17.485","557.11K","0.37%"
"Aug 20, 2019","17.525","17.740","17.850","17.525","871.63K","-1.68%"
"Aug 19, 2019","17.825","17.850","17.850","17.610","894.12K","0.25%"
"Aug 16, 2019","17.780","17.505","17.910","17.500","1.04M","1.46%"
"Aug 15, 2019","17.525","17.495","17.645","17.340","1.20M","0.34%"
"Aug 14, 2019","17.465","17.600","17.705","17.380","1.13M","-0.74%"
"Aug 13, 2019","17.595","17.585","17.835","17.560","1.08M","0.03%"
"Aug 12, 2019","17.590","17.650","17.680","17.560","1.03M","-0.06%"
"Aug 09, 2019","17.600","17.605","17.780","17.440","1.63M","-0.17%"
"Aug 08, 2019","17.630","17.755","17.805","17.540","1.13M","-0.31%"
"Aug 07, 2019","17.685","17.575","17.855","17.570","3.58M","0.88%"
"Aug 06, 2019","17.530","17.535","17.710","17.330","2.15M","-0.26%"
"Aug 05, 2019","17.575","17.515","17.730","17.485","1.41M","-0.40%"
"Aug 02, 2019","17.645","17.410","17.765","17.385","2.56M","0.83%"
"Aug 01, 2019","17.500","17.080","17.540","17.020","1.70M","2.34%"
"Jul 31, 2019","17.100","17.105","17.180","16.740","2.57M","0.47%"
"Jul 30, 2019","17.020","17.305","17.365","17.005","2.93M","-1.19%"
"Jul 29, 2019","17.225","17.200","17.500","17.200","1.69M","-0.17%"
"Jul 26, 2019","17.255","17.435","17.435","17.185","1.32M","-1.06%"
"Jul 25, 2019","17.440","17.405","17.775","17.275","1.34M","0.66%"
"Jul 24, 2019","17.325","17.300","17.470","17.185","1.17M","-0.06%"
"Jul 23, 2019","17.335","17.515","17.565","17.315","2.05M","-1.14%"
"Jul 22, 2019","17.535","17.605","17.645","17.380","2.54M","-0.82%"
"Jul 19, 2019","17.680","17.740","17.835","17.570","1.32M","0.14%"
