"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","13.197","13.358","13.358","13.197","2.34M","-1.38%"
"Dec 30, 2019","13.382","13.434","13.453","13.382","2.12M","-0.53%"
"Dec 27, 2019","13.453","13.410","13.514","13.386","3.11M","0.32%"
"Dec 24, 2019","13.410","13.410","13.410","13.301","1.33M","0.04%"
"Dec 23, 2019","13.405","13.301","13.405","13.282","4.13M","0.46%"
"Dec 20, 2019","13.344","13.221","13.353","13.221","23.26M","0.75%"
"Dec 19, 2019","13.244","13.230","13.263","13.178","6.46M","0.00%"
"Dec 18, 2019","13.244","13.225","13.372","13.211","9.32M","0.14%"
"Dec 17, 2019","13.225","13.315","13.382","13.221","6.69M","-0.60%"
"Dec 16, 2019","13.305","13.342","13.370","13.255","6.41M","0.52%"
"Dec 13, 2019","13.236","13.398","13.430","13.199","7.80M","-0.35%"
"Dec 12, 2019","13.282","13.296","13.342","13.102","8.79M","0.17%"
"Dec 11, 2019","13.259","13.315","13.365","13.255","5.58M","0.00%"
"Dec 10, 2019","13.259","13.310","13.342","13.148","5.61M","-0.76%"
"Dec 09, 2019","13.361","13.546","13.550","13.333","5.31M","-1.20%"
"Dec 06, 2019","13.523","13.292","13.569","13.255","6.19M","2.06%"
"Dec 05, 2019","13.250","13.315","13.398","13.241","9.16M","-0.07%"
"Dec 04, 2019","13.259","13.019","13.296","13.019","13.64M","1.81%"
"Dec 03, 2019","13.024","13.028","13.056","12.913","8.32M","-0.35%"
"Dec 02, 2019","13.070","13.222","13.319","13.010","6.75M","-1.01%"
"Nov 29, 2019","13.204","13.268","13.338","13.167","4.60M","-0.80%"
"Nov 28, 2019","13.310","13.384","13.421","13.292","4.69M","-0.66%"
"Nov 27, 2019","13.398","13.550","13.555","13.370","3.62M","-0.62%"
"Nov 26, 2019","13.481","13.573","13.573","13.444","16.49M","-0.61%"
"Nov 25, 2019","13.564","13.583","13.629","13.523","3.77M","0.55%"
"Nov 22, 2019","13.490","13.370","13.583","13.370","5.79M","1.07%"
"Nov 21, 2019","13.347","13.356","13.402","13.273","5.61M","-0.69%"
"Nov 20, 2019","13.439","13.444","13.481","13.287","4.84M","-0.48%"
"Nov 19, 2019","13.504","13.504","13.633","13.449","4.50M","-0.10%"
"Nov 18, 2019","13.518","13.564","13.661","13.472","4.97M","-0.41%"
"Nov 15, 2019","13.573","13.569","13.647","13.449","5.38M","0.65%"
"Nov 14, 2019","13.486","13.555","13.657","13.486","5.74M","-0.85%"
