"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","15.635","15.500","15.695","15.500","441.15K","-0.13%"
"Dec 30, 2019","15.655","15.700","15.770","15.630","1.02M","-0.38%"
"Dec 27, 2019","15.715","15.635","15.755","15.585","846.06K","0.22%"
"Dec 24, 2019","15.680","15.705","15.715","15.520","379.10K","-0.29%"
"Dec 23, 2019","15.725","15.545","15.760","15.520","943.30K","0.42%"
"Dec 20, 2019","15.660","15.705","15.730","15.490","1.89M","-0.41%"
"Dec 19, 2019","15.725","15.420","15.740","15.255","1.86M","1.22%"
"Dec 18, 2019","15.535","15.500","15.650","15.335","2.94M","0.06%"
"Dec 17, 2019","15.525","15.695","15.835","14.785","2.11M","-1.74%"
"Dec 16, 2019","15.800","15.295","15.820","15.260","2.60M","3.84%"
"Dec 13, 2019","15.215","15.090","15.340","15.080","2.28M","1.98%"
"Dec 12, 2019","14.920","14.550","14.950","14.505","3.61M","2.86%"
"Dec 11, 2019","14.505","14.245","14.545","14.245","2.70M","1.29%"
"Dec 10, 2019","14.320","14.490","14.525","14.055","1.26M","-1.14%"
"Dec 09, 2019","14.485","14.585","14.620","14.360","968.74K","-0.86%"
"Dec 06, 2019","14.610","14.350","14.640","14.340","1.68M","1.78%"
"Dec 05, 2019","14.355","14.435","14.600","14.270","1.49M","-0.42%"
"Dec 04, 2019","14.415","14.505","14.615","14.315","1.19M","-0.10%"
"Dec 03, 2019","14.430","14.390","14.550","14.255","1.53M","0.03%"
"Dec 02, 2019","14.425","14.505","14.730","14.325","1.50M","-0.41%"
"Nov 29, 2019","14.485","14.275","14.555","14.195","1.71M","1.08%"
"Nov 28, 2019","14.330","14.110","14.330","14.015","1.24M","1.56%"
"Nov 27, 2019","14.110","14.085","14.185","13.920","1.80M","0.39%"
"Nov 26, 2019","14.055","13.955","14.120","13.770","5.10M","0.39%"
"Nov 25, 2019","14.000","13.000","14.215","12.985","7.46M","8.49%"
"Nov 22, 2019","12.905","13.070","13.200","12.845","1.65M","-0.96%"
"Nov 21, 2019","13.030","13.185","13.305","12.980","1.42M","-1.99%"
"Nov 20, 2019","13.295","13.425","13.450","13.175","2.90M","-1.77%"
"Nov 19, 2019","13.535","13.360","13.580","13.360","1.04M","1.42%"
"Nov 18, 2019","13.345","13.640","13.700","13.220","4.55M","-1.98%"
"Nov 15, 2019","13.615","13.400","13.630","13.330","1.93M","1.72%"
"Nov 14, 2019","13.385","12.950","13.525","12.730","2.13M","4.24%"
"Nov 13, 2019","12.840","12.800","12.840","12.550","2.16M","0.04%"
"Nov 12, 2019","12.835","12.910","13.000","12.695","1.34M","-0.08%"
"Nov 11, 2019","12.845","12.585","12.925","12.585","1.67M","1.22%"
"Nov 08, 2019","12.690","12.480","12.710","12.270","1.73M","1.72%"
"Nov 07, 2019","12.475","12.010","12.590","12.010","4.10M","3.70%"
"Nov 06, 2019","12.030","11.845","12.085","11.630","3.44M","2.51%"
"Nov 05, 2019","11.735","11.825","11.980","10.950","9.74M","-8.68%"
"Nov 04, 2019","12.850","12.715","13.070","12.635","2.25M","1.66%"
"Nov 01, 2019","12.640","12.465","12.680","12.335","1.79M","2.56%"
"Oct 31, 2019","12.325","12.330","12.370","12.110","1.32M","-0.04%"
"Oct 30, 2019","12.330","12.195","12.330","12.100","2.15M","1.07%"
"Oct 29, 2019","12.200","12.590","12.630","12.150","1.82M","-2.94%"
"Oct 28, 2019","12.570","12.360","12.575","12.310","1.09M","1.82%"
"Oct 25, 2019","12.345","12.260","12.470","12.255","1.29M","0.73%"
"Oct 24, 2019","12.255","12.325","12.400","12.215","886.42K","-0.57%"
"Oct 23, 2019","12.325","12.260","12.415","12.250","1.37M","0.78%"
"Oct 22, 2019","12.230","12.330","12.400","12.180","1.33M","-0.81%"
"Oct 21, 2019","12.330","12.045","12.450","12.045","2.35M","1.99%"
"Oct 18, 2019","12.090","12.030","12.290","11.955","2.78M","0.12%"
"Oct 17, 2019","12.075","11.805","12.175","11.690","1.90M","2.16%"
"Oct 16, 2019","11.820","12.170","12.210","11.810","2.48M","-2.96%"
"Oct 15, 2019","12.180","12.250","12.335","12.115","1.33M","0.08%"
"Oct 14, 2019","12.170","12.035","12.200","11.960","1.37M","0.95%"
"Oct 11, 2019","12.055","11.660","12.055","11.660","4.97M","3.92%"
"Oct 10, 2019","11.600","11.520","11.615","11.300","3.27M","0.69%"
"Oct 09, 2019","11.520","11.490","11.745","11.465","2.08M","0.22%"
"Oct 08, 2019","11.495","11.750","11.845","11.380","1.39M","-1.96%"
"Oct 07, 2019","11.725","11.510","11.795","11.510","1.52M","1.87%"
"Oct 04, 2019","11.510","11.520","11.625","11.230","2.83M","-0.82%"
"Oct 03, 2019","11.605","11.890","12.045","11.575","1.71M","-2.40%"
"Oct 02, 2019","11.890","12.145","12.215","11.890","3.14M","-2.66%"
"Oct 01, 2019","12.215","12.475","12.660","12.150","2.73M","-1.89%"
"Sep 30, 2019","12.450","12.875","12.875","12.350","3.18M","-3.38%"
"Sep 27, 2019","12.885","12.975","13.040","12.715","2.01M","-0.46%"
"Sep 26, 2019","12.945","13.215","13.345","12.935","2.07M","-1.97%"
"Sep 25, 2019","13.205","13.250","13.335","13.060","1.09M","-1.20%"
"Sep 24, 2019","13.365","13.275","13.490","13.210","1.30M","1.14%"
"Sep 23, 2019","13.215","13.440","13.530","13.090","2.02M","-2.15%"
"Sep 20, 2019","13.505","14.030","14.080","13.420","3.85M","-4.32%"
"Sep 19, 2019","14.115","13.940","14.140","13.915","1.35M","1.00%"
"Sep 18, 2019","13.975","13.880","14.015","13.820","1.41M","0.72%"
"Sep 17, 2019","13.875","13.850","13.875","13.535","1.72M","0.47%"
"Sep 16, 2019","13.810","13.620","13.850","13.540","1.34M","1.06%"
"Sep 13, 2019","13.665","13.530","13.755","13.335","1.31M","1.07%"
"Sep 12, 2019","13.520","13.485","13.645","13.180","1.60M","0.60%"
"Sep 11, 2019","13.440","13.000","13.560","12.995","2.34M","4.11%"
"Sep 10, 2019","12.910","12.585","12.920","12.525","2.32M","2.58%"
"Sep 09, 2019","12.585","12.495","12.600","12.450","1.57M","1.45%"
"Sep 06, 2019","12.405","12.610","12.665","12.190","2.23M","-1.16%"
"Sep 05, 2019","12.550","12.540","12.715","12.520","1.48M","0.60%"
"Sep 04, 2019","12.475","12.360","12.610","12.350","865.79K","1.67%"
"Sep 03, 2019","12.270","12.315","12.340","12.150","909.24K","-0.45%"
"Sep 02, 2019","12.325","12.350","12.485","12.325","1.60M","-0.48%"
"Aug 30, 2019","12.385","12.250","12.500","12.210","1.14M","1.39%"
"Aug 29, 2019","12.215","12.100","12.225","11.960","1.59M","0.99%"
"Aug 28, 2019","12.095","12.120","12.215","11.980","1.01M","-1.22%"
"Aug 27, 2019","12.245","12.265","12.375","12.100","884.52K","0.20%"
"Aug 26, 2019","12.220","12.100","12.225","11.955","743.85K","0.04%"
"Aug 23, 2019","12.215","12.225","12.420","12.130","1.24M","0.25%"
"Aug 22, 2019","12.185","12.035","12.415","11.945","1.56M","0.83%"
"Aug 21, 2019","12.085","11.925","12.085","11.925","1.06M","1.55%"
"Aug 20, 2019","11.900","12.190","12.280","11.865","1.08M","-2.94%"
"Aug 19, 2019","12.260","12.060","12.295","11.990","1.11M","2.17%"
"Aug 16, 2019","12.000","12.000","12.040","11.775","1.35M","0.33%"
"Aug 15, 2019","11.960","12.070","12.210","11.710","1.38M","-0.75%"
"Aug 14, 2019","12.050","12.290","12.325","11.935","1.36M","-2.11%"
"Aug 13, 2019","12.310","12.250","12.485","12.030","1.60M","-0.36%"
"Aug 12, 2019","12.355","12.605","12.755","12.340","1.16M","-1.44%"
"Aug 09, 2019","12.535","12.680","12.775","12.480","1.19M","-1.26%"
"Aug 08, 2019","12.695","12.920","12.975","12.535","2.09M","-0.08%"
"Aug 07, 2019","12.705","12.740","12.870","12.525","1.76M","1.40%"
"Aug 06, 2019","12.530","12.230","12.750","12.230","2.12M","3.26%"
"Aug 05, 2019","12.135","12.425","12.620","11.950","2.95M","-3.69%"
"Aug 02, 2019","12.600","12.630","12.940","12.420","2.27M","-2.51%"
"Aug 01, 2019","12.925","12.650","13.115","12.410","2.57M","1.97%"
"Jul 31, 2019","12.675","13.130","13.150","12.265","5.24M","-0.82%"
"Jul 30, 2019","12.780","14.995","14.995","12.640","9.86M","-17.65%"
"Jul 29, 2019","15.520","15.500","15.630","15.375","1.15M","0.65%"
"Jul 26, 2019","15.420","15.710","15.720","15.300","1.25M","-1.91%"
"Jul 25, 2019","15.720","15.620","15.945","15.510","2.01M","1.09%"
"Jul 24, 2019","15.550","15.525","15.655","15.435","1.86M","0.00%"
"Jul 23, 2019","15.550","15.280","15.635","15.250","1.45M","2.00%"
"Jul 22, 2019","15.245","15.060","15.250","15.010","1.01M","0.46%"
"Jul 19, 2019","15.175","15.000","15.400","14.960","1.99M","2.85%"
"Jul 18, 2019","14.755","14.925","14.935","14.655","1.03M","-2.19%"
"Jul 17, 2019","15.085","15.145","15.295","14.990","1.20M","-0.53%"
"Jul 16, 2019","15.165","15.000","15.235","14.960","1.11M","1.10%"
"Jul 15, 2019","15.000","15.000","15.125","14.825","917.86K","0.10%"
"Jul 12, 2019","14.985","14.750","14.990","14.750","953.64K","0.91%"
"Jul 11, 2019","14.850","14.850","15.050","14.750","1.43M","0.00%"
"Jul 10, 2019","14.850","14.860","14.985","14.750","902.64K","-0.34%"
"Jul 09, 2019","14.900","14.695","14.940","14.500","1.20M","0.68%"
"Jul 08, 2019","14.800","14.740","14.925","14.740","959.09K","-0.24%"
"Jul 05, 2019","14.835","15.050","15.050","14.685","1.20M","-1.36%"
"Jul 04, 2019","15.040","15.055","15.190","14.845","724.85K","-0.40%"
