"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","6.800","6.870","6.870","6.660","267.28K","-0.51%"
"Dec 30, 2019","6.835","6.900","6.980","6.745","474.71K","-1.44%"
"Dec 27, 2019","6.935","6.800","6.940","6.800","377.46K","1.99%"
"Dec 24, 2019","6.800","6.720","6.840","6.720","164.77K","1.19%"
"Dec 23, 2019","6.720","6.750","6.760","6.675","251.05K","-0.37%"
"Dec 20, 2019","6.745","6.850","6.850","6.695","437.51K","-1.03%"
"Dec 19, 2019","6.815","6.730","6.820","6.635","287.02K","1.87%"
"Dec 18, 2019","6.690","6.830","6.850","6.675","273.54K","-1.69%"
"Dec 17, 2019","6.805","6.700","6.875","6.650","650.27K","1.87%"
"Dec 16, 2019","6.680","6.600","6.730","6.535","1.20M","1.29%"
"Dec 13, 2019","6.595","6.745","6.745","6.560","448.96K","-1.20%"
"Dec 12, 2019","6.675","6.545","6.780","6.540","761.57K","1.60%"
"Dec 11, 2019","6.570","6.595","6.595","6.500","196.87K","0.38%"
"Dec 10, 2019","6.545","6.670","6.670","6.525","212.66K","-1.21%"
"Dec 09, 2019","6.625","6.650","6.665","6.535","193.23K","-0.23%"
"Dec 06, 2019","6.640","6.480","6.640","6.480","383.39K","1.68%"
"Dec 05, 2019","6.530","6.630","6.685","6.450","659.23K","-1.06%"
"Dec 04, 2019","6.600","6.660","6.760","6.560","391.30K","0.15%"
"Dec 03, 2019","6.590","6.670","6.770","6.560","528.09K","-0.60%"
"Dec 02, 2019","6.630","6.930","6.935","6.630","333.37K","-3.14%"
"Nov 29, 2019","6.845","6.980","6.980","6.790","696.62K","-1.65%"
"Nov 28, 2019","6.960","6.800","6.965","6.780","386.01K","2.88%"
"Nov 27, 2019","6.765","6.710","6.785","6.625","483.43K","1.73%"
"Nov 26, 2019","6.650","6.650","6.720","6.580","273.42K","-0.15%"
"Nov 25, 2019","6.660","6.805","6.825","6.660","211.16K","-1.04%"
"Nov 22, 2019","6.730","6.850","6.850","6.670","298.13K","-0.81%"
"Nov 21, 2019","6.785","6.810","6.890","6.695","277.93K","0.22%"
"Nov 20, 2019","6.770","6.580","6.770","6.560","435.28K","2.50%"
"Nov 19, 2019","6.605","6.705","6.865","6.530","431.50K","-2.37%"
"Nov 18, 2019","6.765","6.800","6.960","6.705","487.96K","0.22%"
"Nov 15, 2019","6.750","6.960","6.960","6.265","1.96M","-1.89%"
"Nov 14, 2019","6.880","6.870","6.940","6.800","305.91K","0.51%"
"Nov 13, 2019","6.845","6.850","6.865","6.675","416.31K","-0.51%"
"Nov 12, 2019","6.880","7.045","7.045","6.800","389.25K","-1.43%"
"Nov 11, 2019","6.980","6.830","7.020","6.780","295.57K","1.97%"
"Nov 08, 2019","6.845","7.075","7.075","6.760","630.75K","-3.59%"
"Nov 07, 2019","7.100","7.085","7.150","7.000","320.08K","0.85%"
"Nov 06, 2019","7.040","7.150","7.190","6.960","432.87K","-0.85%"
"Nov 05, 2019","7.100","7.105","7.160","6.995","474.41K","-0.07%"
"Nov 04, 2019","7.105","7.145","7.340","7.060","1.14M","0.07%"
"Nov 01, 2019","7.100","6.960","7.190","6.920","696.56K","2.38%"
"Oct 31, 2019","6.935","6.805","6.935","6.770","527.91K","2.14%"
"Oct 30, 2019","6.790","6.650","6.800","6.650","261.70K","0.82%"
"Oct 29, 2019","6.735","6.810","6.845","6.680","225.52K","-0.66%"
"Oct 28, 2019","6.780","6.855","6.970","6.760","506.45K","-0.29%"
"Oct 25, 2019","6.800","6.925","6.925","6.760","257.92K","-1.02%"
"Oct 24, 2019","6.870","6.720","6.880","6.680","531.19K","2.61%"
"Oct 23, 2019","6.695","6.500","6.730","6.430","618.28K","2.92%"
"Oct 22, 2019","6.505","6.705","6.745","6.505","235.57K","-2.62%"
"Oct 21, 2019","6.680","6.555","6.725","6.470","535.12K","2.61%"
"Oct 18, 2019","6.510","6.545","6.630","6.415","649.96K","-1.06%"
"Oct 17, 2019","6.580","6.790","6.790","6.440","1.58M","-5.46%"
"Oct 16, 2019","6.960","7.145","7.145","6.860","1.18M","-1.56%"
"Oct 15, 2019","7.070","6.965","7.190","6.870","1.74M","1.58%"
"Oct 14, 2019","6.960","6.715","6.975","6.670","809.60K","3.96%"
"Oct 11, 2019","6.695","6.650","6.790","6.650","536.94K","-0.81%"
"Oct 10, 2019","6.750","6.775","6.775","6.550","568.47K","0.00%"
"Oct 09, 2019","6.750","6.795","6.800","6.610","500.85K","-0.44%"
"Oct 08, 2019","6.780","6.730","6.800","6.550","534.54K","1.19%"
"Oct 07, 2019","6.700","6.595","6.735","6.505","588.10K","1.21%"
"Oct 04, 2019","6.620","6.550","6.670","6.165","1.53M","2.32%"
"Oct 03, 2019","6.470","6.115","6.570","6.080","1.77M","4.61%"
"Oct 02, 2019","6.185","5.850","6.350","5.830","3.38M","9.66%"
"Oct 01, 2019","5.640","5.715","5.760","5.600","215.52K","-1.05%"
"Sep 30, 2019","5.700","5.515","5.715","5.490","384.76K","3.45%"
"Sep 27, 2019","5.510","5.685","5.730","5.510","388.96K","-2.99%"
"Sep 26, 2019","5.680","5.550","5.790","5.550","878.51K","3.27%"
"Sep 25, 2019","5.500","5.590","5.590","5.410","372.23K","-0.81%"
"Sep 24, 2019","5.545","5.485","5.600","5.460","195.39K","0.64%"
"Sep 23, 2019","5.510","5.750","5.750","5.490","398.12K","-2.48%"
"Sep 20, 2019","5.650","5.500","5.720","5.500","701.38K","1.62%"
"Sep 19, 2019","5.560","5.490","5.565","5.485","104.30K","0.54%"
"Sep 18, 2019","5.530","5.535","5.600","5.420","328.66K","-0.27%"
"Sep 17, 2019","5.545","5.685","5.770","5.460","550.32K","-3.23%"
"Sep 16, 2019","5.730","5.445","5.800","5.340","1.10M","6.41%"
"Sep 13, 2019","5.385","5.280","5.450","5.270","398.42K","2.18%"
"Sep 12, 2019","5.270","5.290","5.340","5.180","242.96K","-0.94%"
"Sep 11, 2019","5.320","5.290","5.360","5.270","124.41K","0.57%"
"Sep 10, 2019","5.290","5.380","5.380","5.235","225.36K","-0.94%"
"Sep 09, 2019","5.340","5.315","5.420","5.250","269.05K","0.95%"
"Sep 06, 2019","5.290","5.215","5.290","5.210","178.50K","0.38%"
"Sep 05, 2019","5.270","5.280","5.340","5.180","314.13K","0.96%"
"Sep 04, 2019","5.220","5.180","5.370","5.130","849.40K","2.35%"
"Sep 03, 2019","5.100","5.270","5.350","5.050","291.22K","-3.32%"
"Sep 02, 2019","5.275","5.355","5.485","5.140","420.88K","-2.31%"
"Aug 30, 2019","5.400","5.410","5.660","5.365","412.45K","1.41%"
"Aug 29, 2019","5.325","5.290","5.360","5.265","138.56K","0.85%"
"Aug 28, 2019","5.280","5.200","5.320","5.200","97.28K","0.09%"
"Aug 27, 2019","5.275","5.150","5.350","5.150","118.81K","1.44%"
"Aug 26, 2019","5.200","5.240","5.290","5.155","182.24K","-1.14%"
"Aug 23, 2019","5.260","5.285","5.380","5.240","97.25K","-0.94%"
"Aug 22, 2019","5.310","5.340","5.490","5.290","203.45K","-2.30%"
"Aug 21, 2019","5.435","5.390","5.440","5.345","163.67K","0.74%"
"Aug 20, 2019","5.395","5.390","5.440","5.310","187.77K","0.09%"
"Aug 19, 2019","5.390","5.215","5.440","5.215","296.72K","3.75%"
"Aug 16, 2019","5.195","5.150","5.215","5.025","324.82K","1.76%"
"Aug 15, 2019","5.105","5.125","5.165","4.950","455.08K","-1.83%"
"Aug 14, 2019","5.200","5.320","5.360","5.140","266.06K","-1.70%"
"Aug 13, 2019","5.290","5.350","5.390","5.120","505.23K","-2.49%"
"Aug 12, 2019","5.425","5.465","5.475","5.350","180.87K","-0.28%"
"Aug 09, 2019","5.440","5.535","5.535","5.440","140.56K","-1.27%"
"Aug 08, 2019","5.510","5.425","5.650","5.425","491.96K","1.94%"
"Aug 07, 2019","5.405","5.420","5.480","5.315","199.21K","1.03%"
"Aug 06, 2019","5.350","5.310","5.500","5.310","178.51K","0.28%"
"Aug 05, 2019","5.335","5.400","5.480","5.325","339.88K","-2.73%"
"Aug 02, 2019","5.485","5.600","5.700","5.420","528.76K","-1.35%"
"Aug 01, 2019","5.560","5.400","5.580","5.360","313.16K","3.44%"
"Jul 31, 2019","5.375","5.360","5.440","5.335","228.49K","0.28%"
"Jul 30, 2019","5.360","5.435","5.490","5.270","477.58K","-2.37%"
"Jul 29, 2019","5.490","5.380","5.540","5.360","396.99K","1.57%"
"Jul 26, 2019","5.405","5.500","5.535","5.350","532.99K","-2.96%"
"Jul 25, 2019","5.570","5.800","5.850","5.535","735.28K","-3.13%"
"Jul 24, 2019","5.750","6.000","6.125","5.530","2.17M","-4.56%"
"Jul 23, 2019","6.025","5.980","6.090","5.950","801.41K","1.01%"
"Jul 22, 2019","5.965","5.925","5.990","5.880","377.50K","2.14%"
"Jul 19, 2019","5.840","5.875","6.000","5.840","776.65K","0.00%"
"Jul 18, 2019","5.840","5.805","5.915","5.800","388.49K","-0.17%"
"Jul 17, 2019","5.850","5.785","5.905","5.680","666.71K","1.83%"
"Jul 16, 2019","5.745","5.830","5.985","5.605","1.20M","-1.46%"
"Jul 15, 2019","5.830","5.680","5.960","5.680","1.45M","2.10%"
"Jul 12, 2019","5.710","5.535","5.750","5.505","1.47M","2.33%"
"Jul 11, 2019","5.580","5.440","5.665","5.400","1.33M","3.53%"
"Jul 10, 2019","5.390","5.290","5.490","5.240","806.26K","1.79%"
"Jul 09, 2019","5.295","5.100","5.340","5.035","883.76K","2.92%"
"Jul 08, 2019","5.145","5.145","5.150","5.040","289.40K","0.29%"
"Jul 05, 2019","5.130","5.100","5.165","5.030","446.32K","0.79%"
"Jul 04, 2019","5.090","4.972","5.120","4.930","522.26K","1.09%"
"Jul 03, 2019","5.035","5.005","5.045","4.900","546.78K","-0.69%"
"Jul 02, 2019","5.070","5.000","5.075","4.900","264.57K","2.05%"
"Jul 01, 2019","4.968","5.120","5.210","4.950","562.31K","-1.33%"
"Jun 28, 2019","5.035","5.005","5.040","4.956","312.81K","-0.30%"
"Jun 27, 2019","5.050","5.055","5.125","4.950","989.83K","-1.17%"
"Jun 26, 2019","5.110","4.610","5.140","4.610","2.24M","12.75%"
"Jun 25, 2019","4.532","4.504","4.538","4.462","224.65K","-0.44%"
"Jun 24, 2019","4.552","4.504","4.630","4.502","207.54K","0.49%"
"Jun 21, 2019","4.530","4.480","4.560","4.350","623.48K","3.19%"
"Jun 20, 2019","4.390","4.064","4.410","4.064","517.91K","5.78%"
"Jun 19, 2019","4.150","4.150","4.240","4.002","744.61K","-0.95%"
"Jun 18, 2019","4.190","4.310","4.310","4.142","712.03K","-4.08%"
"Jun 17, 2019","4.368","4.556","4.556","4.330","439.45K","-3.32%"
"Jun 14, 2019","4.518","4.626","4.626","4.502","226.14K","-1.09%"
"Jun 13, 2019","4.568","4.662","4.662","4.522","230.48K","-1.25%"
"Jun 12, 2019","4.626","4.660","4.724","4.610","235.02K","-2.77%"
"Jun 11, 2019","4.758","4.660","4.770","4.612","422.46K","2.10%"
"Jun 10, 2019","4.660","4.444","4.694","4.444","330.09K","3.33%"
"Jun 07, 2019","4.510","4.620","4.622","4.500","299.33K","-1.61%"
"Jun 06, 2019","4.584","4.642","4.718","4.520","347.50K","-1.80%"
"Jun 05, 2019","4.668","4.710","4.810","4.640","496.22K","0.13%"
"Jun 04, 2019","4.662","4.678","4.732","4.600","244.34K","-0.09%"
"Jun 03, 2019","4.666","4.622","4.666","4.550","219.25K","0.13%"
"May 31, 2019","4.660","4.600","4.696","4.520","343.64K","-0.04%"
"May 30, 2019","4.662","4.750","4.764","4.632","185.55K","-0.93%"
"May 29, 2019","4.706","4.726","4.780","4.636","321.44K","-1.22%"
"May 28, 2019","4.764","4.720","4.764","4.592","508.76K","1.06%"
"May 27, 2019","4.714","4.550","4.720","4.498","356.21K","4.76%"
"May 24, 2019","4.500","4.460","4.548","4.410","287.35K","2.32%"
"May 23, 2019","4.398","4.600","4.600","4.398","403.58K","-4.60%"
"May 22, 2019","4.610","4.620","4.820","4.550","921.37K","0.44%"
"May 21, 2019","4.590","4.520","4.640","4.500","302.19K","1.64%"
"May 20, 2019","4.516","4.696","4.700","4.500","429.52K","-1.91%"
"May 17, 2019","4.604","4.634","4.700","4.570","232.10K","-1.62%"
"May 16, 2019","4.680","4.584","4.680","4.480","541.82K","3.54%"
"May 15, 2019","4.520","4.494","4.528","4.336","549.43K","0.09%"
"May 14, 2019","4.516","4.456","4.626","4.430","589.12K","1.67%"
"May 13, 2019","4.442","4.570","4.580","4.410","607.43K","-2.84%"
