"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","5.978","6.041","6.048","5.952","8.30M","-1.47%"
"Dec 30, 2019","6.067","6.121","6.167","6.067","15.71M","-1.47%"
"Dec 27, 2019","6.157","6.075","6.160","6.061","15.40M","0.03%"
"Dec 24, 2019","6.156","6.163","6.180","6.111","6.65M","-0.65%"
"Dec 23, 2019","6.196","6.240","6.259","6.169","55.63M","-1.21%"
"Dec 20, 2019","6.272","6.221","6.272","6.178","195.11M","0.85%"
"Dec 19, 2019","6.219","6.312","6.327","6.197","195.88M","-1.54%"
"Dec 18, 2019","6.316","6.346","6.366","6.309","162.03M","-0.63%"
"Dec 17, 2019","6.356","6.392","6.417","6.356","16.26M","-3.36%"
"Dec 16, 2019","6.577","6.516","6.584","6.490","55.22M","1.86%"
"Dec 13, 2019","6.457","6.518","6.546","6.449","16.07M","0.49%"
"Dec 12, 2019","6.425","6.507","6.511","6.405","15.08M","-1.01%"
"Dec 11, 2019","6.491","6.437","6.527","6.395","46.25M","0.27%"
"Dec 10, 2019","6.473","6.509","6.510","6.390","17.00M","-0.27%"
"Dec 09, 2019","6.491","6.588","6.591","6.491","11.09M","-1.56%"
"Dec 06, 2019","6.593","6.523","6.618","6.504","142.88M","1.22%"
"Dec 05, 2019","6.514","6.586","6.605","6.514","162.14M","-0.85%"
"Dec 04, 2019","6.569","6.444","6.585","6.422","104.65M","1.88%"
"Dec 03, 2019","6.448","6.555","6.568","6.435","43.11M","-1.16%"
"Dec 02, 2019","6.524","6.720","6.730","6.524","31.20M","-2.24%"
"Nov 29, 2019","6.674","6.576","6.712","6.557","16.87M","1.40%"
"Nov 28, 2019","6.582","6.575","6.636","6.547","13.72M","1.17%"
"Nov 27, 2019","6.506","6.438","6.525","6.404","12.43M","1.51%"
"Nov 26, 2019","6.409","6.485","6.493","6.409","13.35M","-1.23%"
"Nov 25, 2019","6.489","6.509","6.526","6.482","6.48M","-0.09%"
"Nov 22, 2019","6.494","6.459","6.526","6.442","11.96M","1.38%"
"Nov 21, 2019","6.406","6.396","6.444","6.384","11.13M","-0.49%"
