"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","47.100","47.900","47.900","47.100","19.41K","-1.88%"
"Dec 30, 2019","48.000","48.440","48.480","47.940","35.82K","-0.79%"
"Dec 27, 2019","48.380","47.920","48.900","47.920","44.39K","1.04%"
"Dec 24, 2019","47.880","49.160","49.160","47.820","25.57K","-2.05%"
"Dec 23, 2019","48.880","50.000","50.000","48.620","65.79K","-1.73%"
"Dec 20, 2019","49.740","49.000","49.740","48.800","129.89K","1.51%"
"Dec 19, 2019","49.000","48.700","49.000","48.500","157.04K","0.66%"
"Dec 18, 2019","48.680","48.640","48.880","48.400","77.55K","0.37%"
"Dec 17, 2019","48.500","48.500","48.720","47.760","82.89K","-0.37%"
"Dec 16, 2019","48.680","48.980","49.240","48.480","55.88K","0.08%"
"Dec 13, 2019","48.640","48.600","49.180","48.120","62.43K","0.45%"
"Dec 12, 2019","48.420","47.980","48.660","47.760","50.22K","0.96%"
"Dec 11, 2019","47.960","48.420","48.420","47.520","63.00K","-0.42%"
"Dec 10, 2019","48.160","48.740","48.740","47.700","60.20K","-1.11%"
"Dec 09, 2019","48.700","48.960","48.960","48.440","40.24K","-0.12%"
"Dec 06, 2019","48.760","48.740","48.820","47.980","51.42K","0.12%"
"Dec 05, 2019","48.700","48.600","48.940","48.500","108.11K","0.00%"
"Dec 04, 2019","48.700","47.560","48.740","47.420","116.21K","2.61%"
"Dec 03, 2019","47.460","47.500","47.560","46.880","114.98K","0.34%"
"Dec 02, 2019","47.300","48.580","48.720","47.200","56.46K","-2.15%"
"Nov 29, 2019","48.340","48.720","49.260","48.340","70.16K","-1.39%"
"Nov 28, 2019","49.020","47.800","49.020","47.800","66.75K","2.42%"
"Nov 27, 2019","47.860","48.360","48.400","47.820","54.48K","-0.75%"
"Nov 26, 2019","48.220","47.700","48.300","47.600","73.74K","1.13%"
"Nov 25, 2019","47.680","47.860","47.900","47.240","135.69K","0.08%"
"Nov 22, 2019","47.640","47.100","47.660","46.960","126.89K","1.40%"
"Nov 21, 2019","46.980","47.760","47.880","46.880","148.40K","-1.84%"
"Nov 20, 2019","47.860","47.700","47.980","47.340","76.84K","0.25%"
"Nov 19, 2019","47.740","47.780","47.980","47.580","52.93K","-0.04%"
"Nov 18, 2019","47.760","48.000","48.060","47.400","43.64K","0.08%"
"Nov 15, 2019","47.720","48.000","48.000","47.220","66.11K","-0.54%"
"Nov 14, 2019","47.980","48.000","48.160","47.720","41.25K","-0.04%"
"Nov 13, 2019","48.000","48.480","48.680","47.760","91.37K","-0.99%"
"Nov 12, 2019","48.480","49.460","49.460","48.040","78.57K","-1.82%"
"Nov 11, 2019","49.380","50.000","50.000","48.940","166.44K","0.73%"
"Nov 08, 2019","49.020","49.560","49.560","48.720","109.82K","-1.09%"
"Nov 07, 2019","49.560","48.780","49.700","48.700","160.87K","1.39%"
"Nov 06, 2019","48.880","48.480","48.880","48.240","83.52K","0.62%"
"Nov 05, 2019","48.580","48.200","49.160","47.920","96.19K","0.16%"
"Nov 04, 2019","48.500","49.000","49.020","48.100","56.88K","-0.78%"
"Nov 01, 2019","48.880","48.920","49.100","48.600","69.36K","0.62%"
"Oct 31, 2019","48.580","48.060","48.720","47.540","184.56K","1.42%"
"Oct 30, 2019","47.900","47.600","47.980","47.100","137.36K","0.67%"
"Oct 29, 2019","47.580","47.340","47.920","46.860","156.99K","-0.08%"
"Oct 28, 2019","47.620","49.180","49.740","47.620","236.03K","-3.95%"
"Oct 25, 2019","49.580","44.000","49.660","44.000","552.68K","17.10%"
"Oct 24, 2019","42.340","42.000","43.280","41.860","131.70K","1.15%"
"Oct 23, 2019","41.860","41.740","42.600","41.740","114.76K","-0.29%"
"Oct 22, 2019","41.980","41.840","42.780","41.380","128.63K","-0.14%"
"Oct 21, 2019","42.040","42.060","42.840","41.680","472.88K","-0.24%"
"Oct 18, 2019","42.140","42.000","42.580","41.820","107.42K","-0.28%"
"Oct 17, 2019","42.260","42.660","43.100","42.240","84.12K","-0.89%"
"Oct 16, 2019","42.640","42.320","42.980","41.920","71.83K","0.57%"
"Oct 15, 2019","42.400","42.080","42.720","41.920","85.27K","0.90%"
"Oct 14, 2019","42.020","42.300","42.300","41.100","104.60K","-0.99%"
"Oct 11, 2019","42.440","41.660","42.440","41.220","132.57K","2.07%"
"Oct 10, 2019","41.580","41.540","41.800","41.240","108.79K","0.19%"
"Oct 09, 2019","41.500","41.360","41.780","41.140","76.13K","0.78%"
"Oct 08, 2019","41.180","40.840","41.460","40.440","108.91K","1.18%"
"Oct 07, 2019","40.700","40.560","40.880","40.180","138.43K","0.74%"
"Oct 04, 2019","40.400","40.840","40.840","40.200","84.73K","-0.59%"
"Oct 03, 2019","40.640","40.700","40.840","40.140","145.06K","-0.15%"
"Oct 02, 2019","40.700","42.500","42.500","40.640","118.70K","-3.87%"
"Oct 01, 2019","42.340","43.200","43.340","42.300","75.53K","-1.53%"
"Sep 30, 2019","43.000","42.340","43.060","42.280","91.29K","1.46%"
"Sep 27, 2019","42.380","42.160","42.740","41.780","63.04K","1.19%"
"Sep 26, 2019","41.880","41.480","42.160","41.380","101.70K","1.36%"
"Sep 25, 2019","41.320","42.300","42.300","40.900","133.39K","-2.50%"
"Sep 24, 2019","42.380","42.740","43.020","42.340","55.81K","-0.38%"
"Sep 23, 2019","42.540","43.400","43.700","42.540","88.63K","-2.65%"
"Sep 20, 2019","43.700","43.580","43.800","42.920","276.26K","0.64%"
"Sep 19, 2019","43.420","43.500","44.460","43.240","118.03K","0.00%"
"Sep 18, 2019","43.420","43.120","43.660","43.100","108.57K","0.23%"
"Sep 17, 2019","43.320","42.880","43.400","42.780","102.61K","0.74%"
"Sep 16, 2019","43.000","43.680","43.680","42.860","93.04K","-1.65%"
"Sep 13, 2019","43.720","43.760","44.160","43.200","89.47K","0.23%"
"Sep 12, 2019","43.620","45.200","45.540","43.240","133.38K","-3.11%"
"Sep 11, 2019","45.020","45.100","45.380","44.900","135.32K","0.22%"
"Sep 10, 2019","44.920","44.060","44.980","43.840","70.67K","2.18%"
"Sep 09, 2019","43.960","44.060","44.480","43.840","58.48K","-0.09%"
"Sep 06, 2019","44.000","44.540","44.980","44.000","90.25K","-1.35%"
"Sep 05, 2019","44.600","44.400","44.880","44.160","70.86K","1.00%"
"Sep 04, 2019","44.160","43.800","44.200","43.800","67.29K","1.42%"
"Sep 03, 2019","43.540","43.540","43.840","43.300","76.23K","0.14%"
"Sep 02, 2019","43.480","42.440","43.480","42.440","62.72K","2.60%"
"Aug 30, 2019","42.380","42.480","42.620","42.220","166.16K","0.00%"
"Aug 29, 2019","42.380","42.040","42.500","41.940","90.29K","1.19%"
"Aug 28, 2019","41.880","42.380","42.520","41.840","89.97K","-1.32%"
"Aug 27, 2019","42.440","42.340","42.760","42.180","96.18K","0.14%"
"Aug 26, 2019","42.380","42.000","42.680","41.940","53.08K","0.62%"
"Aug 23, 2019","42.120","42.860","43.000","42.120","67.77K","-0.80%"
"Aug 22, 2019","42.460","42.880","43.080","42.440","57.37K","-1.30%"
"Aug 21, 2019","43.020","42.800","43.320","42.800","98.46K","0.99%"
"Aug 20, 2019","42.600","43.560","43.960","42.600","84.00K","-2.34%"
"Aug 19, 2019","43.620","43.100","43.660","43.040","82.02K","1.21%"
"Aug 16, 2019","43.100","42.620","43.360","42.620","87.65K","1.22%"
"Aug 15, 2019","42.580","42.920","42.960","42.000","53.32K","-0.61%"
"Aug 14, 2019","42.840","43.160","43.420","42.660","101.37K","-0.93%"
"Aug 13, 2019","43.240","42.960","43.620","42.560","115.27K","0.42%"
"Aug 12, 2019","43.060","43.780","44.020","42.960","55.68K","-1.24%"
"Aug 09, 2019","43.600","44.700","44.740","43.340","66.99K","-2.68%"
"Aug 08, 2019","44.800","44.420","44.880","44.380","47.47K","1.91%"
"Aug 07, 2019","43.960","44.200","44.320","43.520","79.28K","0.23%"
"Aug 06, 2019","43.860","45.340","45.620","43.860","84.52K","-3.09%"
"Aug 05, 2019","45.260","45.800","46.040","45.060","80.81K","-2.12%"
"Aug 02, 2019","46.240","46.380","47.160","46.180","153.82K","-2.53%"
"Aug 01, 2019","47.440","44.460","47.580","44.300","176.31K","7.04%"
"Jul 31, 2019","44.320","44.500","44.500","40.120","789.08K","-2.51%"
"Jul 30, 2019","45.460","47.320","47.320","45.280","168.01K","-4.09%"
"Jul 29, 2019","47.400","47.300","47.400","47.000","79.56K","0.64%"
"Jul 26, 2019","47.100","47.160","47.200","46.800","72.31K","0.13%"
"Jul 25, 2019","47.040","46.800","47.220","46.640","96.14K","0.60%"
"Jul 24, 2019","46.760","46.620","46.960","46.480","132.47K","-0.21%"
"Jul 23, 2019","46.860","46.900","47.440","46.720","112.01K","0.43%"
"Jul 22, 2019","46.660","46.960","46.960","46.480","71.08K","-0.72%"
"Jul 19, 2019","47.000","47.200","47.440","46.800","194.44K","0.04%"
"Jul 18, 2019","46.980","46.700","47.080","46.440","63.86K","0.17%"
"Jul 17, 2019","46.900","47.300","47.300","46.880","58.09K","-0.72%"
"Jul 16, 2019","47.240","47.380","47.520","47.040","95.15K","-0.38%"
"Jul 15, 2019","47.420","46.820","47.420","46.820","127.01K","0.89%"
"Jul 12, 2019","47.000","46.580","47.100","46.580","63.05K","0.69%"
"Jul 11, 2019","46.680","46.520","46.860","46.500","197.25K","-0.04%"
"Jul 10, 2019","46.700","46.600","46.780","46.440","99.11K","-0.21%"
"Jul 09, 2019","46.800","46.500","46.840","46.440","98.51K","0.65%"
"Jul 08, 2019","46.500","46.600","46.820","46.440","93.30K","-0.21%"
"Jul 05, 2019","46.600","46.700","46.920","46.460","86.94K","-0.60%"
"Jul 04, 2019","46.880","46.980","47.080","46.800","86.97K","0.04%"
"Jul 03, 2019","46.860","46.800","47.220","46.600","183.38K","0.90%"
"Jul 02, 2019","46.440","46.540","46.680","46.200","69.30K","-0.21%"
"Jul 01, 2019","46.540","46.160","46.600","46.120","104.18K","1.04%"
"Jun 28, 2019","46.060","45.700","46.140","45.540","105.63K","0.44%"
"Jun 27, 2019","45.860","45.720","45.860","45.240","79.91K","0.57%"
"Jun 26, 2019","45.600","46.640","46.640","45.480","116.17K","-1.43%"
"Jun 25, 2019","46.260","46.200","46.600","45.440","169.99K","0.39%"
"Jun 24, 2019","46.080","45.740","46.080","45.700","182.13K","0.74%"
"Jun 21, 2019","45.740","45.600","45.940","45.440","174.27K","0.53%"
"Jun 20, 2019","45.500","45.000","45.600","45.000","125.63K","1.56%"
"Jun 19, 2019","44.800","45.140","45.140","44.320","104.67K","-0.67%"
"Jun 18, 2019","45.100","45.100","45.380","44.600","60.03K","0.22%"
"Jun 17, 2019","45.000","45.240","45.240","44.780","74.36K","-0.18%"
"Jun 14, 2019","45.080","45.300","45.460","44.940","67.86K","-0.53%"
"Jun 13, 2019","45.320","45.560","45.700","45.260","123.43K","-0.48%"
"Jun 12, 2019","45.540","45.320","45.680","45.320","102.72K","0.04%"
"Jun 11, 2019","45.520","45.340","45.720","45.320","55.64K","0.26%"
"Jun 10, 2019","45.400","45.120","45.560","45.120","33.02K","0.62%"
"Jun 07, 2019","45.120","44.960","45.400","44.800","105.71K","0.45%"
